ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td
1,1950,1950-09-17,1,24.133,DET,@,GNB,W 45-7,7,16,2.29,0,0,0,,0
2,1950,1950-09-24,2,24.140,DET,,PIT,W 10-7,5,14,2.80,0,1,7,7.00,0
3,1950,1950-09-29,3,24.145,DET,@,NYY,L 21-44,1,1,1.00,0,0,0,,0
4,1950,1950-10-15,5,24.161,DET,,RAM,L 28-30,4,-2,-0.50,0,0,0,,0
5,1950,1950-10-22,6,24.168,DET,@,SFO,L 27-28,8,49,6.13,0,0,0,,0
6,1950,1950-10-29,7,24.175,DET,@,RAM,L 24-65,4,2,0.50,0,1,2,2.00,0
7,1950,1950-12-03,11,24.210,DET,@,BAL,W 45-21,2,2,1.00,0,0,0,,0
8,1951,1951-09-30,1,25.146,CRD,,PHI,L 14-17,1,-5,-5.00,0,0,0,,0
9,1951,1951-10-07,2,25.153,CRD,,CHI,W 28-14,9,33,3.67,0,0,0,,0
10,1951,1951-10-21,4,25.167,CRD,@,WAS,L 3-7,2,7,3.50,0,0,0,,0
11,1951,1951-11-11,7,25.188,CRD,@,RAM,L 21-45,1,3,3.00,0,0,0,,0
