ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td
1,1950,1950-09-17,1,23.052,GNB,,DET,L 7-45,5,14,2.80,0,0,0,,0
2,1950,1950-09-24,2,23.059,GNB,,WAS,W 35-21,9,26,2.89,1,0,0,,0
3,1950,1950-10-01,3,23.066,GNB,,CHI,W 31-21,7,19,2.71,0,1,9,9.00,0
4,1950,1950-10-08,4,23.073,GNB,,NYY,L 31-44,10,167,16.70,1,1,20,20.00,0
5,1950,1950-10-15,5,23.080,GNB,@,CHI,L 14-28,9,89,9.89,1,1,9,9.00,0
6,1950,1950-10-19,6,23.084,GNB,@,NYY,L 17-35,8,22,2.75,0,2,35,17.50,0
7,1950,1950-11-05,7,23.101,GNB,@,BAL,L 21-41,7,27,3.86,1,4,44,11.00,0
8,1950,1950-11-12,8,23.108,GNB,,RAM,L 14-45,10,24,2.40,0,3,25,8.33,0
9,1950,1950-11-19,9,23.115,GNB,@,DET,L 21-24,6,22,3.67,0,1,6,6.00,0
10,1950,1950-11-26,10,23.122,GNB,,SFO,W 25-21,7,67,9.57,1,0,0,,0
11,1950,1950-12-03,11,23.129,GNB,@,RAM,L 14-51,3,2,0.67,0,2,15,7.50,0
12,1950,1950-12-10,12,23.136,GNB,@,SFO,L 14-30,3,1,0.33,0,2,98,49.00,1
13,1951,1951-09-30,1,24.065,GNB,,CHI,L 20-31,0,0,,0,2,17,8.50,0
14,1951,1951-10-07,2,24.072,GNB,,PIT,W 35-33,10,43,4.30,1,1,5,5.00,0
15,1951,1951-10-14,3,24.079,GNB,,PHI,W 37-24,15,53,3.53,0,0,0,,0
16,1951,1951-10-21,4,24.086,GNB,,RAM,L 0-28,4,-2,-0.50,0,3,47,15.67,0
17,1951,1951-10-28,5,24.093,GNB,@,NYY,W 29-27,4,5,1.25,0,1,7,7.00,0
18,1951,1951-11-04,6,24.100,GNB,,DET,L 17-24,3,7,2.33,0,4,27,6.75,0
19,1951,1951-11-11,7,24.107,GNB,@,PIT,L 7-28,1,0,0.00,0,0,0,,0
20,1951,1951-11-22,9,24.118,GNB,@,DET,L 35-52,1,5,5.00,0,0,0,,0
21,1951,1951-12-02,10,24.128,GNB,,NYY,L 28-31,5,9,1.80,0,1,1,1.00,0
22,1951,1951-12-16,12,24.142,GNB,@,RAM,L 14-42,1,3,3.00,0,3,66,22.00,1
23,1952,1952-10-05,2,25.070,GNB,,WAS,W 35-20,8,17,2.13,0,0,0,,0
24,1952,1952-10-12,3,25.077,GNB,,RAM,L 28-30,2,-3,-1.50,0,0,0,,0
25,1952,1952-10-18,4,25.083,GNB,@,DTX,W 24-14,1,-2,-2.00,0,0,0,,0
26,1952,1952-11-09,7,25.105,GNB,@,CHI,W 41-28,5,45,9.00,0,0,0,,0
27,1952,1952-11-23,9,25.119,GNB,,DTX,W 42-14,1,2,2.00,0,0,0,,0
