ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks
1,1985,1985-09-08,1,23.251,KAN,@,NOR,W 47-27,0,0,,0,2,10,5.00,0,0.0
2,1985,1985-09-12,2,23.255,KAN,,RAI,W 36-20,0,0,,0,4,41,10.25,0,0.0
3,1985,1985-09-22,3,23.265,KAN,@,MIA,L 0-31,0,0,,0,1,8,8.00,0,0.0
4,1985,1985-09-29,4,23.272,KAN,,SEA,W 28-7,0,0,,0,2,25,12.50,0,0.0
5,1985,1985-10-06,5,23.279,KAN,@,RAI,L 10-19,0,0,,0,3,18,6.00,0,0.0
6,1985,1985-10-13,6,23.286,KAN,@,SDG,L 20-31,0,0,,0,3,32,10.67,0,0.0
7,1985,1985-10-20,7,23.293,KAN,,RAM,L 0-16,0,0,,0,4,17,4.25,0,0.0
8,1985,1985-10-27,8,23.300,KAN,,DEN,L 10-30,2,30,15.00,0,2,19,9.50,0,0.0
9,1985,1985-11-03,9,23.307,KAN,@,HOU,L 20-23,0,0,,0,2,19,9.50,0,0.0
10,1985,1985-11-10,10,23.314,KAN,,PIT,L 28-36,5,132,26.40,0,3,15,5.00,0,0.0
11,1985,1985-11-17,11,23.321,KAN,@,SFO,L 3-31,1,22,22.00,0,2,21,10.50,0,0.0
12,1985,1985-11-24,12,23.328,KAN,,IND,W 20-7,1,12,12.00,0,6,103,17.17,0,0.0
13,1985,1985-12-01,13,23.335,KAN,@,SEA,L 6-24,1,22,22.00,0,1,2,2.00,0,0.0
14,1985,1985-12-08,14,23.342,KAN,,ATL,W 38-10,1,19,19.00,0,3,23,7.67,0,0.5
15,1985,1985-12-14,15,23.348,KAN,@,DEN,L 13-14,0,0,,0,3,19,6.33,0,0.0
16,1985,1985-12-22,16,23.356,KAN,,SDG,W 38-34,2,32,16.00,0,2,9,4.50,0,0.0
17,1987,1987-10-18,5,25.291,KAN,,DEN,L 17-26,2,37,18.50,0,0,0,,0,0.0
