ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1973,1973-09-16,1,22.165,DEN,,CIN,W 28-10,,,,,,,,,,
2,1973,1973-10-22,6,22.201,DEN,,OAK,T 23-23,,,,,,,,,,
3,1973,1973-11-04,8,22.214,DEN,@,STL,T 17-17,,,,,,,,,,
4,1973,1973-11-18,10,22.228,DEN,@,PIT,W 23-13,,,,,,,,,,
5,1973,1973-11-25,11,22.235,DEN,,KAN,W 14-10,,,,,,,,,,
6,1973,1973-12-02,12,22.242,DEN,,DAL,L 10-22,,,,,,,,,,
7,1973,1973-12-09,13,22.249,DEN,@,SDG,W 42-28,,,,,,,,,,
8,1973,1973-12-16,14,22.256,DEN,@,OAK,L 17-21,,,,,,,,,,
9,1974,1974-09-15,1,23.164,DEN,,RAM,L 10-17,,,,,,,,,,
10,1974,1974-09-22,2,23.171,DEN,,PIT,T 35-35,0,0,,0,0,0,0.0,1,39,0
11,1974,1974-09-30,3,23.179,DEN,@,WAS,L 3-30,,,,,,,,,,
12,1974,1974-10-06,4,23.185,DEN,@,KAN,W 17-14,,,,,,,,,,
13,1974,1974-10-13,5,23.192,DEN,,NOR,W 33-17,,,,,,,,,,
14,1974,1974-10-20,6,23.199,DEN,,SDG,W 27-7,,,,,,,,,,
15,1974,1974-10-27,7,23.206,DEN,@,CLE,L 21-23,,,,,,,,,,
16,1974,1974-11-03,8,23.213,DEN,,OAK,L 17-28,,,,,,,,,,
17,1974,1974-11-18,10,23.228,DEN,,KAN,L 34-42,,,,,,,,,,
18,1974,1974-11-24,11,23.234,DEN,@,OAK,W 20-17,,,,,,,,,,
19,1974,1974-11-28,12,23.238,DEN,@,DET,W 31-27,,,,,,,,,,
20,1974,1974-12-08,13,23.248,DEN,,HOU,W 37-14,,,,,,,,,,
21,1974,1974-12-15,14,23.255,DEN,@,SDG,L 0-17,,,,,,,,,,
22,1975,1975-09-21,1,24.170,DEN,,KAN,W 37-33,,,,,,,,,,
23,1975,1975-09-29,2,24.178,DEN,,GNB,W 23-13,,,,,,,,,,
24,1975,1975-10-05,3,24.184,DEN,@,BUF,L 14-38,,,,,,,,,,
25,1975,1975-10-12,4,24.191,DEN,@,PIT,L 9-20,,,,,,,,,,
26,1975,1975-10-19,5,24.198,DEN,,CLE,W 16-15,,,,,,,,,,
27,1975,1975-10-26,6,24.205,DEN,@,KAN,L 13-26,0,0,,0,0,0,0.0,1,0,0
28,1975,1975-11-02,7,24.212,DEN,,OAK,L 17-42,,,,,,,,,,
29,1975,1975-11-09,8,24.219,DEN,,CIN,L 16-17,,,,,,,,,,
30,1975,1975-11-16,9,24.226,DEN,@,SDG,W 27-17,,,,,,,,,,
31,1975,1975-11-23,10,24.233,DEN,@,ATL,L 21-35,,,,,,,,,,
32,1975,1975-11-30,11,24.240,DEN,,SDG,W 13-10,,,,,,,,,,
33,1975,1975-12-08,12,24.248,DEN,@,OAK,L 10-17,0,0,,0,0,0,0.0,1,0,0
34,1975,1975-12-14,13,24.254,DEN,,PHI,W 25-10,,,,,,,,,,
35,1975,1975-12-20,14,24.260,DEN,@,MIA,L 13-14,,,,,,,,,,
36,1976,1976-09-12,1,25.161,DEN,@,CIN,L 7-17,,,,,,,,,,
37,1976,1976-09-19,2,25.168,DEN,,NYJ,W 46-3,,,,,,,,,,
38,1976,1976-09-26,3,25.175,DEN,,CLE,W 44-13,0,0,,0,0,0,0.0,2,22,0
39,1976,1976-10-03,4,25.182,DEN,,SDG,W 26-0,,,,,,,,,,
40,1976,1976-10-10,5,25.189,DEN,@,HOU,L 3-17,,,,,,,,,,
