ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1979,1979-09-02,1,22.140,BAL,@,KAN,L 0-14,,0,0,,0,,,3,98,32.67,0,9,47,5.22,0,0,0,0.0,0,0,0
2,1979,1979-09-09,2,22.147,BAL,,TAM,L 26-29,,0,0,,0,,,3,57,19.00,0,2,-2,-1.00,0,0,0,0.0,0,0,0
3,1979,1979-09-16,3,22.154,BAL,@,CLE,L 10-13,,0,0,,0,,,3,70,23.33,0,5,38,7.60,0,0,0,0.0,0,0,0
4,1979,1979-09-23,4,22.161,BAL,@,PIT,L 13-17,,0,0,,0,,,4,91,22.75,0,3,26,8.67,0,0,0,0.0,1,-1,0
5,1979,1979-09-30,5,22.168,BAL,,BUF,L 13-31,,0,0,,0,,,3,63,21.00,0,3,15,5.00,0,0,0,0.0,0,0,0
6,1979,1979-10-07,6,22.175,BAL,,NYJ,W 10-8,,0,0,,0,,,1,41,41.00,0,1,12,12.00,0,0,0,0.0,0,0,0
7,1979,1979-10-14,7,22.182,BAL,,HOU,L 16-28,,0,0,,0,,,5,140,28.00,0,2,36,18.00,0,0,0,0.0,0,0,0
8,1979,1979-10-21,8,22.189,BAL,@,BUF,W 14-13,,0,0,,0,,,1,19,19.00,0,2,9,4.50,0,0,0,0.0,0,0,0
9,1979,1979-10-28,9,22.196,BAL,,NWE,W 31-26,,0,0,,0,,,6,122,20.33,0,1,17,17.00,0,0,0,0.0,0,0,0
10,1979,1979-11-04,10,22.203,BAL,,CIN,W 38-28,,0,0,,0,,,3,58,19.33,0,2,18,9.00,0,0,0,0.0,0,0,0
11,1979,1979-11-11,11,22.210,BAL,@,MIA,L 0-19,,0,0,,0,,,2,41,20.50,0,2,9,4.50,0,0,0,0.0,0,0,0
12,1979,1979-11-18,12,22.217,BAL,@,NWE,L 21-50,,0,0,,0,,,7,124,17.71,0,1,75,75.00,1,1,6,0.0,0,0,0
13,1979,1979-11-25,13,22.224,BAL,,MIA,L 24-28,,0,0,,0,,,3,98,32.67,0,3,10,3.33,0,0,0,0.0,0,0,0
14,1979,1979-12-02,14,22.231,BAL,@,NYJ,L 17-30,,0,0,,0,,,4,66,16.50,0,3,9,3.00,0,0,0,0.0,0,0,0
15,1979,1979-12-09,15,22.238,BAL,,KAN,L 7-10,,0,0,,0,,,0,0,,0,3,17,5.67,0,0,0,0.0,0,0,0
16,1979,1979-12-16,16,22.245,BAL,@,NYG,W 31-7,,0,0,,0,,,2,38,19.00,0,2,16,8.00,0,0,0,0.0,0,0,0
17,1980,1980-09-07,1,23.145,BAL,@,NYJ,W 17-14,,0,0,,0,,,0,0,,0,4,32,8.00,0,0,0,0.0,1,29,0
18,1980,1980-09-14,2,23.152,BAL,,PIT,L 17-20,,0,0,,0,,,2,39,19.50,0,1,8,8.00,0,0,0,0.0,0,0,0
19,1980,1980-09-21,3,23.159,BAL,@,HOU,L 16-21,,0,0,,0,,,4,90,22.50,0,0,0,,0,0,0,0.0,1,21,0
20,1980,1980-09-28,4,23.166,BAL,,NYJ,W 35-21,,0,0,,0,,,0,0,,0,2,12,6.00,0,0,0,0.0,0,0,0
21,1980,1980-10-05,5,23.173,BAL,@,MIA,W 30-17,,0,0,,0,,,0,0,,0,2,19,9.50,0,0,0,0.0,0,0,0
22,1980,1980-10-12,6,23.180,BAL,@,BUF,W 17-12,,0,0,,0,,,0,0,,0,1,4,4.00,0,0,0,0.0,0,0,0
23,1980,1980-10-19,7,23.187,BAL,,NWE,L 21-37,,0,0,,0,,,5,106,21.20,0,1,13,13.00,0,0,0,0.0,0,0,0
24,1980,1980-10-26,8,23.194,BAL,,STL,L 10-17,,0,0,,0,,,2,30,15.00,0,4,15,3.75,0,0,0,0.0,0,0,0
25,1980,1980-11-02,9,23.201,BAL,@,KAN,W 31-24,,0,0,,0,,,3,71,23.67,0,4,37,9.25,0,0,0,0.0,1,1,0
26,1980,1980-11-09,10,23.208,BAL,,CLE,L 27-28,,0,0,,0,,,0,0,,0,1,11,11.00,0,0,0,0.0,0,0,0
27,1980,1980-11-16,11,23.215,BAL,@,DET,W 10-9,,,,,,,,,,,,,,,,,,,,,
28,1980,1980-11-23,12,23.222,BAL,@,NWE,L 21-47,,0,0,,0,,,4,85,21.25,0,2,30,15.00,0,0,0,0.0,0,0,0
29,1980,1980-11-30,13,23.229,BAL,,BUF,W 28-24,,0,0,,0,,,3,95,31.67,0,1,6,6.00,0,0,0,0.0,0,0,0
30,1980,1980-12-07,14,23.236,BAL,@,CIN,L 33-34,,0,0,,0,,,2,41,20.50,0,0,0,,0,0,0,0.0,0,0,0
31,1980,1980-12-14,15,23.243,BAL,,MIA,L 14-24,,0,0,,0,,,2,77,38.50,0,0,0,,0,0,0,0.0,1,14,0
32,1980,1980-12-21,16,23.250,BAL,,KAN,L 28-38,,0,0,,0,,,6,109,18.17,0,0,0,,0,0,0,0.0,0,0,0
33,1981,1981-09-06,1,24.144,BAL,@,NWE,W 29-28,,0,0,,0,,,0,0,,0,0,0,,0,0,0,0.0,1,31,0
34,1981,1981-09-13,2,24.151,BAL,,BUF,L 3-35,,,,,,,,0,0,,0,,,,,,,,,,
35,1981,1981-09-20,3,24.158,BAL,@,DEN,L 10-28,,,,,,,,0,0,,0,,,,,,,,,,
36,1981,1981-09-27,4,24.165,BAL,,MIA,L 28-31,,,,,,,,0,0,,0,,,,,,,,,,
37,1981,1981-10-04,5,24.172,BAL,@,BUF,L 17-23,,,,,,,,0,0,,0,,,,,,,,,,
38,1981,1981-10-11,6,24.179,BAL,,CIN,L 19-41,,0,0,,0,,,1,35,35.00,0,0,0,,0,0,0,0.0,0,0,0
39,1981,1981-10-18,7,24.186,BAL,,SDG,L 14-43,,,,,,,,0,0,,0,,,,,,,,,,
40,1981,1981-10-25,8,24.193,BAL,@,CLE,L 28-42,,,,,,,,0,0,,0,,,,,,,,,,
41,1981,1981-11-01,9,24.200,BAL,@,MIA,L 10-27,,,,,,,,0,0,,0,,,,,,,,,,
42,1981,1981-11-08,10,24.207,BAL,,NYJ,L 14-41,,,,,,,,0,0,,0,,,,,,,,,,
43,1981,1981-11-22,12,24.221,BAL,,STL,L 24-35,,,,,,,,0,0,,0,,,,,,,,,,
44,1981,1981-11-29,13,24.228,BAL,@,NYJ,L 0-25,,,,,,,,0,0,,0,,,,,,,,,,
45,1981,1981-12-06,14,24.235,BAL,,DAL,L 13-37,,0,0,,0,,,0,0,,0,0,0,,0,0,0,0.0,1,4,0
46,1981,1981-12-20,16,24.249,BAL,,NWE,W 23-21,,,,,,,,0,0,,0,,,,,,,,,,
47,1982,1982-09-12,1,25.150,BAL,,NWE,L 13-24,,0,0,,0,,,0,0,,0,3,16,5.33,0,0,0,0.0,0,0,0
