ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,2010,2010-09-12,1,23.105,NYG,,CAR,W 31-18,,0,0,,0,2,86,43.00,1
2,2010,2010-09-19,2,23.112,NYG,@,IND,L 14-38,,0,0,,0,6,271,45.17,0
3,2010,2010-09-26,3,23.119,NYG,,TEN,L 10-29,,,,,,,,,
4,2010,2010-10-03,4,23.126,NYG,,CHI,W 17-3,,0,0,,0,7,294,42.00,0
5,2010,2010-10-10,5,23.133,NYG,@,HOU,W 34-10,,0,0,,0,4,197,49.25,0
6,2010,2010-10-17,6,23.140,NYG,,DET,W 28-20,,1,0,0.00,0,6,280,46.67,0
7,2010,2010-10-25,7,23.148,NYG,@,DAL,W 41-35,,0,0,,0,3,165,55.00,0
8,2010,2010-11-07,8,23.161,NYG,@,SEA,W 41-7,,0,0,,0,1,50,50.00,0
9,2010,2010-11-14,9,23.168,NYG,,DAL,L 20-33,,0,0,,0,4,169,42.25,0
10,2010,2010-11-21,10,23.175,NYG,@,PHI,L 17-27,,0,0,,0,4,208,52.00,0
11,2010,2010-11-28,11,23.182,NYG,,JAX,W 24-20,,0,0,,0,3,149,49.67,0
12,2010,2010-12-05,12,23.189,NYG,,WAS,W 31-7,,0,0,,0,7,309,44.14,0
13,2010,2010-12-13,13,23.197,NYG,@,MIN,W 21-3,,0,0,,0,7,324,46.29,0
14,2010,2010-12-19,14,23.203,NYG,,PHI,L 31-38,,0,0,,0,7,258,36.86,0
15,2010,2010-12-26,15,23.210,NYG,@,GNB,L 17-45,,0,0,,0,4,169,42.25,0
16,2010,2011-01-02,16,23.217,NYG,@,WAS,W 17-14,,0,0,,0,7,291,41.57,0
