ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,def_int,def_int_yds,def_int_td
1,1973,1973-09-16,1,22.124,CHI,,DAL,L 17-20,,,
2,1973,1973-09-23,2,22.131,CHI,,MIN,L 13-22,,,
3,1973,1973-09-30,3,22.138,CHI,@,DEN,W 33-14,,,
4,1973,1973-10-07,4,22.145,CHI,@,NOR,L 16-21,,,
5,1973,1973-10-14,5,22.152,CHI,@,ATL,L 6-46,,,
6,1973,1973-10-21,6,22.159,CHI,,NWE,L 10-13,,,
7,1973,1973-10-28,7,22.166,CHI,,HOU,W 35-14,,,
8,1973,1973-11-04,8,22.173,CHI,@,GNB,W 31-17,,,
9,1973,1973-11-12,9,22.181,CHI,@,KAN,L 7-19,,,
10,1973,1973-11-18,10,22.187,CHI,,DET,L 7-30,,,
11,1973,1973-11-25,11,22.194,CHI,@,MIN,L 13-31,,,
12,1973,1973-12-02,12,22.201,CHI,,RAM,L 0-26,,,
13,1973,1973-12-09,13,22.208,CHI,@,DET,L 7-40,,,
14,1973,1973-12-16,14,22.215,CHI,,GNB,L 0-21,,,
15,1974,1974-09-15,1,23.123,CHI,,DET,W 17-9,,,
16,1974,1974-09-22,2,23.130,CHI,,NYJ,L 21-23,,,
17,1974,1974-09-29,3,23.137,CHI,@,MIN,L 7-11,,,
18,1974,1974-10-06,4,23.144,CHI,,NOR,W 24-10,,,
19,1974,1974-10-13,5,23.151,CHI,@,ATL,L 10-13,,,
20,1974,1974-10-21,6,23.159,CHI,,GNB,W 10-9,,,
21,1974,1974-10-27,7,23.165,CHI,@,BUF,L 6-16,,,
22,1974,1974-11-03,8,23.172,CHI,,MIN,L 0-17,,,
23,1974,1974-11-10,9,23.179,CHI,@,GNB,L 3-20,,,
24,1974,1974-11-17,10,23.186,CHI,,SFO,L 0-34,,,
25,1974,1974-11-24,11,23.193,CHI,@,DET,L 17-34,,,
26,1974,1974-12-01,12,23.200,CHI,,NYG,W 16-13,,,
27,1974,1974-12-08,13,23.207,CHI,@,SDG,L 21-28,,,
28,1974,1974-12-15,14,23.214,CHI,@,WAS,L 0-42,,,
29,1975,1975-09-21,1,24.129,CHI,,BAL,L 7-35,,,
30,1975,1975-09-28,2,24.136,CHI,,PHI,W 15-13,,,
31,1975,1975-10-05,3,24.143,CHI,@,MIN,L 3-28,,,
32,1975,1975-10-12,4,24.150,CHI,@,DET,L 7-27,,,
33,1975,1975-10-19,5,24.157,CHI,@,PIT,L 3-34,,,
34,1975,1975-10-27,6,24.165,CHI,,MIN,L 9-13,,,
35,1975,1975-11-02,7,24.171,CHI,,MIA,L 13-46,,,
36,1975,1975-11-09,8,24.178,CHI,,GNB,W 27-14,,,
37,1975,1975-11-16,9,24.185,CHI,@,SFO,L 3-31,,,
38,1975,1975-11-23,10,24.192,CHI,@,RAM,L 10-38,,,
39,1975,1975-11-30,11,24.199,CHI,@,GNB,L 7-28,,,
40,1975,1975-12-07,12,24.206,CHI,,DET,W 25-21,,,
41,1975,1975-12-14,13,24.213,CHI,,STL,L 20-34,,,
42,1975,1975-12-21,14,24.220,CHI,@,NOR,W 42-17,,,
43,1976,1976-09-12,1,25.120,CHI,,DET,W 10-3,,,
44,1976,1976-09-19,2,25.127,CHI,@,SFO,W 19-12,,,
45,1976,1976-09-26,3,25.134,CHI,,ATL,L 0-10,,,
46,1976,1976-10-03,4,25.141,CHI,,WAS,W 33-7,,,
47,1976,1976-10-10,5,25.148,CHI,@,MIN,L 19-20,,,
48,1976,1976-10-17,6,25.155,CHI,@,RAM,L 12-20,,,
49,1976,1976-10-24,7,25.162,CHI,@,DAL,L 21-31,,,
50,1976,1976-10-31,8,25.169,CHI,,MIN,W 14-13,,,
51,1976,1976-11-07,9,25.176,CHI,,OAK,L 27-28,,,
52,1976,1976-11-14,10,25.183,CHI,,GNB,W 24-13,,,
53,1976,1976-11-21,11,25.190,CHI,@,DET,L 10-14,1,8,0
54,1976,1976-11-28,12,25.197,CHI,@,GNB,W 16-10,,,
55,1976,1976-12-05,13,25.204,CHI,@,SEA,W 34-7,,,
56,1976,1976-12-12,14,25.211,CHI,,DEN,L 14-28,,,
57,1977,1977-09-18,1,26.126,CHI,,DET,W 30-20,,,
58,1977,1977-10-10,4,26.148,CHI,,RAM,W 24-23,,,
59,1977,1977-10-16,5,26.154,CHI,@,MIN,L 16-22,,,
60,1977,1977-10-23,6,26.161,CHI,,ATL,L 10-16,,,
61,1978,1978-09-02,1,27.110,TAM,,NYG,L 13-19,,,
62,1978,1978-09-09,2,27.117,TAM,,DET,L 7-15,,,
63,1978,1978-09-17,3,27.125,TAM,@,MIN,W 16-10,,,
64,1978,1978-10-01,5,27.139,TAM,,MIN,L 7-24,,,
65,1978,1978-10-08,6,27.146,TAM,@,KAN,W 30-13,,,
66,1978,1978-10-15,7,27.153,TAM,@,NYG,L 14-17,,,
67,1978,1978-10-22,8,27.160,TAM,,CHI,W 33-19,,,
68,1978,1978-10-29,9,27.167,TAM,@,GNB,L 7-9,,,
69,1978,1978-11-19,12,27.188,TAM,,BUF,W 31-10,,,
70,1978,1978-11-26,13,27.195,TAM,@,CHI,L 3-14,,,
71,1978,1978-12-03,14,27.202,TAM,,GNB,L 7-17,,,
72,1978,1978-12-17,16,27.216,TAM,,NOR,L 10-17,,,
73,1979,1979-09-01,1,28.109,TAM,,DET,W 31-16,,,
74,1979,1979-09-09,2,28.117,TAM,@,BAL,W 29-26,,,
75,1979,1979-09-16,3,28.124,TAM,@,GNB,W 21-10,,,
76,1979,1979-09-23,4,28.131,TAM,,RAM,W 21-6,,,
77,1979,1979-09-30,5,28.138,TAM,@,CHI,W 17-13,,,
78,1979,1979-10-07,6,28.145,TAM,@,NYG,L 14-17,,,
79,1979,1979-10-14,7,28.152,TAM,,NOR,L 14-42,,,
80,1979,1979-10-21,8,28.159,TAM,,GNB,W 21-3,,,
81,1979,1979-10-28,9,28.166,TAM,@,MIN,W 12-10,,,
82,1979,1979-11-04,10,28.173,TAM,@,ATL,L 14-17,,,
83,1979,1979-11-11,11,28.180,TAM,@,DET,W 16-14,,,
84,1979,1979-11-18,12,28.187,TAM,,NYG,W 31-3,,,
85,1979,1979-11-25,13,28.194,TAM,,MIN,L 22-23,,,
86,1979,1979-12-02,14,28.201,TAM,,CHI,L 0-14,,,
87,1979,1979-12-09,15,28.208,TAM,@,SFO,L 7-23,,,
88,1979,1979-12-16,16,28.215,TAM,,KAN,W 3-0,,,
