ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1972,1972-09-17,1,21.329,NOR,@,RAM,L 14-34,,,,,,,,,,,,,,,,,,,,,,,,
2,1972,1972-09-25,2,21.337,NOR,,KAN,L 17-20,,,,,,,,,,,,,,,,,,,,,,,,
3,1972,1972-10-01,3,21.343,NOR,,SFO,L 2-37,,,,,,,,,,,,,,,,,,,,,,,,
4,1972,1972-10-08,4,21.350,NOR,@,NYG,L 21-45,0,0,,0,0,0,,0,0,0,,0,0,,,1,2,2.00,0,0,0,0,0,0
5,1972,1972-10-15,5,21.357,NOR,,ATL,L 14-21,,,,,,,,,,,,,,,,,,,,,,,,
6,1972,1972-10-22,6,21.364,NOR,@,SFO,T 20-20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,1,0,0
7,1972,1972-10-29,7,22.005,NOR,,PHI,W 21-3,0,0,,0,0,0,,0,0,0,,0,0,,,1,5,5.00,0,0,0,1,0,0
8,1972,1972-11-05,8,22.012,NOR,@,MIN,L 6-37,0,0,,0,0,0,,0,0,0,,0,0,,,1,0,0.00,0,0,0,0,0,0
9,1972,1972-11-12,9,22.019,NOR,@,ATL,L 20-36,0,0,,0,0,0,,0,0,0,,0,0,,,1,9,9.00,0,0,0,0,0,0
10,1972,1972-11-26,11,22.033,NOR,,RAM,W 19-16,0,0,,0,0,0,,0,0,0,,0,0,,,2,7,3.50,0,0,0,0,0,0
11,1972,1972-12-03,12,22.040,NOR,@,NYJ,L 17-18,0,0,,0,0,0,,0,0,0,,0,0,,,1,10,10.00,0,0,0,1,0,0
12,1972,1972-12-10,13,22.047,NOR,,NWE,L 10-17,0,0,,0,0,0,,0,0,0,,0,0,,,1,5,5.00,0,0,0,0,0,0
13,1972,1972-12-17,14,22.054,NOR,,GNB,L 20-30,0,0,,0,0,0,,0,0,0,,0,0,,,1,5,5.00,0,0,0,0,0,0
14,1973,1973-09-16,1,22.327,NOR,,ATL,L 7-62,,,,,,,,,,,,,,,,,,,,,,,,
15,1973,1973-09-24,2,22.335,NOR,@,DAL,L 3-40,,,,,,,,,,,,,,,,,,,,,,,,
16,1973,1973-09-30,3,22.341,NOR,@,BAL,L 10-14,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,1,13,0
17,1973,1973-10-07,4,22.348,NOR,,CHI,W 21-16,,,,,,,,,,,,,,,,,,,,,,,,
18,1973,1973-10-14,5,22.355,NOR,,DET,W 20-13,,,,,,,,,,,,,,,,,,,,,,,,
19,1973,1973-10-21,6,22.362,NOR,@,SFO,L 0-40,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,1,0,0
20,1973,1973-10-28,7,23.004,NOR,,WAS,W 19-3,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,1,20,0
21,1973,1973-11-04,8,23.011,NOR,,BUF,W 13-0,,,,,,,,,,,,,,,,,,,,,,,,
22,1973,1973-11-11,9,23.018,NOR,@,RAM,L 7-29,,,,,,,,,,,,,,,,,,,,,,,,
23,1973,1973-11-18,10,23.025,NOR,@,SDG,L 14-17,,,,,,,,,,,,,,,,,,,,,,,,
24,1973,1973-12-02,12,23.039,NOR,@,GNB,L 10-30,,,,,,,,,,,,,,,,,,,,,,,,
25,1973,1973-12-09,13,23.046,NOR,,SFO,W 16-10,,,,,,,,,,,,,,,,,,,,,,,,
26,1973,1973-12-16,14,23.053,NOR,@,ATL,L 10-14,1,8,8.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0
27,1974,1974-09-15,1,23.326,NOR,,SFO,L 13-17,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,1,17,0
28,1974,1974-09-22,2,23.333,NOR,@,RAM,L 0-24,,,,,,,,,,,,,,,,,,,,,,,,
29,1974,1974-09-29,3,23.340,NOR,,ATL,W 14-13,,,,,,,,,,,,,,,,,,,,,,,,
30,1974,1974-10-06,4,23.347,NOR,@,CHI,L 10-24,,,,,,,,,,,,,,,,,,,,,,,,
31,1974,1974-10-13,5,23.354,NOR,@,DEN,L 17-33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,1,21,0
32,1974,1974-10-20,6,23.361,NOR,@,ATL,W 13-3,,,,,,,,,,,,,,,,,,,,,,,,
33,1974,1974-10-27,7,24.003,NOR,,PHI,W 14-10,,,,,,,,,,,,,,,,,,,,,,,,
34,1974,1974-11-03,8,24.010,NOR,@,DET,L 14-19,,,,,,,,,,,,,,,,,,,,,,,,
35,1974,1974-11-25,11,24.032,NOR,,PIT,L 7-28,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,1,5,0
36,1974,1974-12-01,12,24.038,NOR,@,MIN,L 9-29,,,,,,,,,,,,,,,,,,,,,,,,
37,1974,1974-12-08,13,24.045,NOR,,STL,W 14-0,,,,,,,,,,,,,,,,,,,,,,,,
38,1974,1974-12-15,14,24.052,NOR,@,SFO,L 21-35,,,,,,,,,,,,,,,,,,,,,,,,
39,1975,1975-09-21,1,24.332,NOR,@,WAS,L 3-41,0,0,,0,0,0,,0,0,0,,0,0,,,3,30,10.00,0,0,0,0,0,0
40,1975,1975-09-28,2,24.339,NOR,,CIN,L 0-21,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,1,26,0
41,1975,1975-10-05,3,24.346,NOR,@,ATL,L 7-14,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,1,29,0
42,1975,1975-10-12,4,24.353,NOR,,GNB,W 20-19,,,,,,,,,,,,,,,,,,,,,,,,
43,1975,1975-10-19,5,24.360,NOR,@,SFO,L 21-35,0,0,,0,0,0,,0,0,0,,0,0,,,1,3,3.00,0,0,0,2,28,0
44,1975,1975-11-30,11,25.037,NOR,@,CLE,L 16-17,,,,,,,,,,,,,,,,,,,,,,,,
45,1975,1975-12-07,12,25.044,NOR,,RAM,L 7-14,0,0,,0,0,0,,0,0,0,,0,0,,,2,23,11.50,0,0,0,0,0,0
46,1975,1975-12-14,13,25.051,NOR,@,NYG,L 14-28,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,6.00,0,0,0,0,0,0
47,1975,1975-12-21,14,25.058,NOR,,CHI,L 17-42,0,0,,0,0,0,,0,0,0,,0,0,,,3,8,2.67,0,0,0,1,0,0
