ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,sacks,tackles_solo,tackles_assists
1,2006,2006-09-10,1,22.240,NYJ,@,TEN,W 23-16,*,,,,,,0.0%,,,,
2,2006,2006-09-17,2,22.247,NYJ,,NWE,L 17-24,*,,,,,,0.0%,,,,
3,2006,2006-09-24,3,22.254,NYJ,@,BUF,W 28-20,*,0,,,,,0.0%,,,,
4,2006,2006-10-01,4,22.261,NYJ,,IND,L 28-31,*,1,,,,,0.0%,,,,
5,2006,2006-10-08,5,22.268,NYJ,@,JAX,L 0-41,*,,,,,,0.0%,,,,
6,2006,2006-10-15,6,22.275,NYJ,,MIA,W 20-17,*,,,,,,0.0%,,,,
7,2006,2006-10-22,7,22.282,NYJ,,DET,W 31-24,*,,,,,,0.0%,,,,
8,2006,2006-10-29,8,22.289,NYJ,@,CLE,L 13-20,*,,,,,,0.0%,,,,
9,2006,2006-11-12,9,22.303,NYJ,@,NWE,W 17-14,*,,,,,,0.0%,,,,
10,2006,2006-11-19,10,22.310,NYJ,,CHI,L 0-10,*,0,,,,,0.0%,,,,
11,2006,2006-11-26,11,22.317,NYJ,,HOU,W 26-11,*,,,,,,0.0%,,,,
12,2006,2006-12-03,12,22.324,NYJ,@,GNB,W 38-10,*,,,,,,0.0%,,,,
13,2006,2006-12-10,13,22.331,NYJ,,BUF,L 13-31,*,,,,,,0.0%,,,,
14,2006,2006-12-17,14,22.338,NYJ,@,MIN,W 26-13,*,0,,,,,0.0%,,,,
15,2006,2006-12-25,15,22.346,NYJ,@,MIA,W 13-10,*,,,,,,0.0%,,,,
16,2006,2006-12-31,16,22.352,NYJ,,OAK,W 23-3,*,,,,,,0.0%,,,,
17,2007,2007-09-09,1,23.239,NYJ,,NWE,L 14-38,*,,,,,,0.0%,,,,
18,2007,2007-09-16,2,23.246,NYJ,@,BAL,L 13-20,*,1,1,-3,-3.00,0,100.0%,-3.00,0.0,,
19,2007,2007-09-23,3,23.253,NYJ,,MIA,W 31-28,*,,,,,,0.0%,,,,
20,2007,2007-09-30,4,23.260,NYJ,@,BUF,L 14-17,*,,,,,,0.0%,,,,
21,2007,2007-10-07,5,23.267,NYJ,@,NYG,L 24-35,*,,,,,,0.0%,,,,
22,2007,2007-10-14,6,23.274,NYJ,,PHI,L 9-16,*,,,,,,0.0%,,,,
23,2007,2007-10-21,7,23.281,NYJ,@,CIN,L 31-38,*,,,,,,0.0%,,,,
24,2007,2007-10-28,8,23.288,NYJ,,BUF,L 3-13,*,,,,,,0.0%,,,,
25,2007,2007-11-04,9,23.295,NYJ,,WAS,L 20-23,*,,,,,,0.0%,,,,
26,2007,2007-11-18,10,23.309,NYJ,,PIT,W 19-16,*,,,,,,0.0%,,,,
27,2007,2007-11-22,11,23.313,NYJ,@,DAL,L 3-34,*,,,,,,0.0%,,,,
28,2007,2007-12-02,12,23.323,NYJ,@,MIA,W 40-13,*,,,,,,0.0%,,,,
29,2007,2007-12-09,13,23.330,NYJ,,CLE,L 18-24,*,,,,,,0.0%,,,,
30,2007,2007-12-16,14,23.337,NYJ,@,NWE,L 10-20,*,,,,,,0.0%,,,,
31,2007,2007-12-23,15,23.344,NYJ,@,TEN,L 6-10,*,0,,,,,0.0%,,,,
32,2007,2007-12-30,16,23.351,NYJ,,KAN,W 13-10,*,,,,,,0.0%,,,,
33,2008,2008-09-07,1,24.238,NYJ,@,MIA,W 20-14,*,0,,,,,0.0%,,,,
34,2008,2008-09-14,2,24.245,NYJ,,NWE,L 10-19,*,,,,,,0.0%,,,,
35,2008,2008-09-22,3,24.253,NYJ,@,SDG,L 29-48,*,,,,,,0.0%,,,,
36,2008,2008-09-28,4,24.259,NYJ,,ARI,W 56-35,*,0,,,,,0.0%,,,,
37,2008,2008-10-12,5,24.273,NYJ,,CIN,W 26-14,*,,,,,,0.0%,,,,
38,2008,2008-10-19,6,24.280,NYJ,@,OAK,L 13-16,*,,,,,,0.0%,,,,
39,2008,2008-10-26,7,24.287,NYJ,,KAN,W 28-24,*,,,,,,0.0%,,,,
40,2008,2008-11-02,8,24.294,NYJ,@,BUF,W 26-17,*,,,,,,0.0%,,,,
41,2008,2008-11-09,9,24.301,NYJ,,STL,W 47-3,*,,,,,,0.0%,,,,
42,2008,2008-11-13,10,24.305,NYJ,@,NWE,W 34-31,*,,,,,,0.0%,,,,
43,2008,2008-11-23,11,24.315,NYJ,@,TEN,W 34-13,*,,,,,,0.0%,,,,
44,2008,2008-11-30,12,24.322,NYJ,,DEN,L 17-34,*,,,,,,0.0%,,,,
45,2008,2008-12-07,13,24.329,NYJ,@,SFO,L 14-24,*,,,,,,0.0%,,,,
46,2008,2008-12-14,14,24.336,NYJ,,BUF,W 31-27,*,,,,,,0.0%,,,,
47,2008,2008-12-21,15,24.343,NYJ,@,SEA,L 3-13,*,0,,,,,0.0%,,,,
48,2008,2008-12-28,16,24.350,NYJ,,MIA,L 17-24,*,,,,,,0.0%,,,,
49,2009,2009-09-13,1,25.243,NYJ,@,HOU,W 24-7,*,,,,,,0.0%,,,,
50,2009,2009-09-20,2,25.250,NYJ,,NWE,W 16-9,*,,0,0,,0,0.0%,,0.0,1,0
51,2009,2009-09-27,3,25.257,NYJ,,TEN,W 24-17,*,0,0,0,,0,0.0%,,0.0,1,0
52,2009,2009-10-04,4,25.264,NYJ,@,NOR,L 10-24,*,,,,,,0.0%,,,,
53,2009,2009-10-12,5,25.272,NYJ,@,MIA,L 27-31,*,,,,,,0.0%,,,,
54,2009,2009-10-18,6,25.278,NYJ,,BUF,L 13-16,*,,,,,,0.0%,,,,
55,2009,2009-10-25,7,25.285,NYJ,@,OAK,W 38-0,*,,,,,,0.0%,,,,
56,2009,2009-11-01,8,25.292,NYJ,,MIA,L 25-30,*,,,,,,0.0%,,,,
57,2009,2009-11-15,9,25.306,NYJ,,JAX,L 22-24,*,,,,,,0.0%,,,,
58,2009,2009-11-22,10,25.313,NYJ,@,NWE,L 14-31,*,,,,,,0.0%,,,,
59,2009,2009-11-29,11,25.320,NYJ,,CAR,W 17-6,*,0,,,,,0.0%,,,,
60,2009,2009-12-03,12,25.324,NYJ,@,BUF,W 19-13,*,,,,,,0.0%,,,,
61,2009,2009-12-13,13,25.334,NYJ,@,TAM,W 26-3,*,,,,,,0.0%,,,,
62,2009,2009-12-20,14,25.341,NYJ,,ATL,L 7-10,*,,,,,,0.0%,,,,
63,2009,2009-12-27,15,25.348,NYJ,@,IND,W 29-15,*,,,,,,0.0%,,,,
64,2009,2010-01-03,16,25.355,NYJ,,CIN,W 37-0,*,,,,,,0.0%,,,,
65,2010,2010-09-13,1,26.243,NYJ,,BAL,L 9-10,*,,,,,,0.0%,,,,
66,2010,2010-09-19,2,26.249,NYJ,,NWE,W 28-14,*,,,,,,0.0%,,,,
67,2010,2010-09-26,3,26.256,NYJ,@,MIA,W 31-23,*,,,,,,0.0%,,,,
68,2010,2010-10-03,4,26.263,NYJ,@,BUF,W 38-14,*,0,,,,,0.0%,,,,
69,2010,2010-10-11,5,26.271,NYJ,,MIN,W 29-20,*,,,,,,0.0%,,,,
70,2010,2010-10-17,6,26.277,NYJ,@,DEN,W 24-20,*,,0,0,,0,0.0%,,0.0,1,0
71,2010,2010-10-31,7,26.291,NYJ,,GNB,L 0-9,*,0,,,,,0.0%,,,,
72,2010,2010-11-07,8,26.298,NYJ,@,DET,W 23-20,*,,,,,,0.0%,,,,
73,2010,2010-11-14,9,26.305,NYJ,@,CLE,W 26-20,*,,,,,,0.0%,,,,
74,2010,2010-11-21,10,26.312,NYJ,,HOU,W 30-27,*,,,,,,0.0%,,,,
75,2010,2010-11-25,11,26.316,NYJ,,CIN,W 26-10,*,,,,,,0.0%,,,,
76,2010,2010-12-06,12,26.327,NYJ,@,NWE,L 3-45,*,,,,,,0.0%,,,,
77,2010,2010-12-12,13,26.333,NYJ,,MIA,L 6-10,*,,,,,,0.0%,,,,
78,2010,2010-12-19,14,26.340,NYJ,@,PIT,W 22-17,*,,,,,,0.0%,,,,
79,2010,2010-12-26,15,26.347,NYJ,@,CHI,L 34-38,*,,,,,,0.0%,,,,
80,2010,2011-01-02,16,26.354,NYJ,,BUF,W 38-7,*,,,,,,0.0%,,,,
81,2011,2011-09-11,1,27.241,NYJ,,DAL,W 27-24,*,,,,,,0.0%,,,,
82,2011,2011-09-18,2,27.248,NYJ,,JAX,W 32-3,*,,,,,,0.0%,,,,
83,2011,2011-10-09,5,27.269,NYJ,@,NWE,L 21-30,*,,,,,,0.0%,,,,
84,2011,2011-10-17,6,27.277,NYJ,,MIA,W 24-6,*,,,,,,0.0%,,,,
85,2011,2011-10-23,7,27.283,NYJ,,SDG,W 27-21,*,0,,,,,0.0%,,,,
86,2011,2011-11-06,8,27.297,NYJ,@,BUF,W 27-11,*,,,,,,0.0%,,,,
87,2011,2011-11-13,9,27.304,NYJ,,NWE,L 16-37,*,,,,,,0.0%,,,,
88,2011,2011-11-17,10,27.308,NYJ,@,DEN,L 13-17,*,,0,0,,0,0.0%,,0.0,0,0
89,2011,2011-11-27,11,27.318,NYJ,,BUF,W 28-24,*,,,,,,0.0%,,,,
90,2011,2011-12-04,12,27.325,NYJ,@,WAS,W 34-19,*,,,,,,0.0%,,,,
91,2011,2011-12-11,13,27.332,NYJ,,KAN,W 37-10,*,,,,,,0.0%,,,,
92,2011,2011-12-18,14,27.339,NYJ,@,PHI,L 19-45,*,,,,,,0.0%,,,,
93,2011,2011-12-24,15,27.345,NYJ,,NYG,L 14-29,*,,0,0,,0,0.0%,,0.0,1,0
94,2011,2012-01-01,16,27.353,NYJ,@,MIA,L 17-19,*,,,,,,0.0%,,,,
95,2012,2012-09-09,1,28.240,NYJ,,BUF,W 48-28,*,0,,,,,0.0%,,,,
96,2012,2012-09-16,2,28.247,NYJ,@,PIT,L 10-27,*,,,,,,0.0%,,,,
97,2012,2012-09-23,3,28.254,NYJ,@,MIA,W 23-20,*,,,,,,0.0%,,,,
98,2012,2012-09-30,4,28.261,NYJ,,SFO,L 0-34,*,,0,0,,0,0.0%,,0.0,0,0
99,2012,2012-10-08,5,28.269,NYJ,,HOU,L 17-23,*,,,,,,0.0%,,,,
100,2012,2012-10-14,6,28.275,NYJ,,IND,W 35-9,*,,,,,,0.0%,,,,
101,2012,2012-10-21,7,28.282,NYJ,@,NWE,L 26-29,*,,,,,,0.0%,,,,
102,2012,2012-10-28,8,28.289,NYJ,,MIA,L 9-30,*,,,,,,0.0%,,,,
103,2012,2012-11-11,9,28.303,NYJ,@,SEA,L 7-28,*,,,,,,0.0%,,,,
104,2012,2012-11-18,10,28.310,NYJ,@,STL,W 27-13,*,,,,,,0.0%,,,,
105,2012,2012-11-22,11,28.314,NYJ,,NWE,L 19-49,*,,,,,,0.0%,,,,
106,2012,2012-12-02,12,28.324,NYJ,,ARI,W 7-6,*,,,,,,0.0%,,,,
107,2012,2012-12-09,13,28.331,NYJ,@,JAX,W 17-10,*,,,,,,0.0%,,,,
108,2012,2012-12-17,14,28.339,NYJ,@,TEN,L 10-14,*,,,,,,0.0%,,,,
109,2012,2012-12-23,15,28.345,NYJ,,SDG,L 17-27,*,,,,,,0.0%,,,,
110,2012,2012-12-30,16,28.352,NYJ,@,BUF,L 9-28,*,,,,,,0.0%,,,,
111,2013,2013-09-08,1,29.238,NYJ,,TAM,W 18-17,*,,0,0,,0,0.0%,,0.0,1,0
112,2013,2013-09-12,2,29.242,NYJ,@,NWE,L 10-13,*,0,,,,,0.0%,,,,
113,2013,2013-09-22,3,29.252,NYJ,,BUF,W 27-20,*,,0,0,,0,0.0%,,0.0,1,1
114,2013,2013-09-29,4,29.259,NYJ,@,TEN,L 13-38,*,,,,,,0.0%,,,,
115,2013,2013-10-07,5,29.267,NYJ,@,ATL,W 30-28,*,,,,,,0.0%,,,,
116,2013,2013-10-13,6,29.273,NYJ,,PIT,L 6-19,*,,,,,,0.0%,,,,
117,2013,2013-10-20,7,29.280,NYJ,,NWE,W 30-27,*,,,,,,0.0%,,,,
118,2013,2013-10-27,8,29.287,NYJ,@,CIN,L 9-49,*,,,,,,0.0%,,,,
119,2013,2013-11-03,9,29.294,NYJ,,NOR,W 26-20,*,,,,,,0.0%,,,,
120,2013,2013-11-17,10,29.308,NYJ,@,BUF,L 14-37,*,,,,,,0.0%,,,,
121,2013,2013-11-24,11,29.315,NYJ,@,BAL,L 3-19,*,,0,0,,0,0.0%,,0.0,0,0
122,2013,2013-12-01,12,29.322,NYJ,,MIA,L 3-23,*,,,,,,0.0%,,,,
123,2013,2013-12-08,13,29.329,NYJ,,OAK,W 37-27,*,,,,,,0.0%,,,,
124,2013,2013-12-15,14,29.336,NYJ,@,CAR,L 20-30,*,,,,,,0.0%,,,,
125,2013,2013-12-22,15,29.343,NYJ,,CLE,W 24-13,*,,,,,,0.0%,,,,
