ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1989,1989-09-10,1,22.135,MIA,,BUF,L 24-27,,3,3,100.0,1,1,100.0,0,6,0,0,,0
2,1989,1989-09-17,2,22.142,MIA,@,NWE,W 24-10,,3,3,100.0,1,1,100.0,0,6,0,0,,0
3,1989,1989-09-24,3,22.149,MIA,,NYJ,L 33-40,,3,4,75.0,2,3,66.7,0,9,0,0,,0
4,1989,1989-10-01,4,22.156,MIA,@,HOU,L 7-39,,1,1,100.0,,,,0,1,,,,
5,1989,1989-10-08,5,22.163,MIA,,CLE,W 13-10,,1,1,100.0,2,4,50.0,0,7,0,0,,0
6,1989,1989-10-15,6,22.170,MIA,@,CIN,W 20-13,,2,2,100.0,2,2,100.0,0,8,0,0,,0
7,1989,1989-10-22,7,22.177,MIA,,GNB,W 23-20,,2,2,100.0,3,3,100.0,0,11,0,0,,0
8,1989,1989-10-29,8,22.184,MIA,@,BUF,L 17-31,,2,2,100.0,1,1,100.0,0,5,0,0,,0
9,1989,1989-11-05,9,22.191,MIA,,IND,W 19-13,,2,2,100.0,1,1,100.0,0,5,0,0,,0
10,1989,1989-11-12,10,22.198,MIA,@,NYJ,W 31-23,,4,4,100.0,1,3,33.3,0,7,0,0,,0
11,1989,1989-11-19,11,22.205,MIA,@,DAL,W 17-14,,2,2,100.0,1,1,100.0,0,5,0,0,,0
12,1989,1989-11-26,12,22.212,MIA,,PIT,L 14-34,,2,2,100.0,,,,0,2,,,,
13,1989,1989-12-03,13,22.219,MIA,@,KAN,L 21-26,,3,3,100.0,,,,0,3,,,,
14,1989,1989-12-10,14,22.226,MIA,,NWE,W 31-10,,4,4,100.0,1,1,100.0,0,7,0,0,,0
15,1989,1989-12-17,15,22.233,MIA,@,IND,L 13-42,,1,1,100.0,2,3,66.7,0,7,0,0,,0
16,1989,1989-12-24,16,22.240,MIA,,KAN,L 24-27,,3,3,100.0,1,2,50.0,0,6,0,0,,0
17,1990,1990-09-09,1,23.134,MIA,@,NWE,W 27-24,,3,3,100.0,2,2,100.0,0,9,0,0,,0
18,1990,1990-09-16,2,23.141,MIA,,BUF,W 30-7,,3,3,100.0,3,3,100.0,0,12,0,0,,0
19,1990,1990-09-23,3,23.148,MIA,@,NYG,L 3-20,,,,,1,1,100.0,0,3,0,0,,0
20,1990,1990-09-30,4,23.155,MIA,@,PIT,W 28-6,,4,4,100.0,,,,0,4,,,,
21,1990,1990-10-07,5,23.162,MIA,,NYJ,W 20-16,,2,2,100.0,,,,0,2,,,,
22,1990,1990-10-18,6,23.173,MIA,,NWE,W 17-10,,2,2,100.0,1,1,100.0,0,5,0,0,,0
23,1990,1990-10-28,7,23.183,MIA,@,IND,W 27-7,,3,3,100.0,2,2,100.0,0,9,0,0,,0
24,1990,1990-11-04,8,23.190,MIA,,PHO,W 23-3,,2,2,100.0,3,3,100.0,0,11,0,0,,0
25,1990,1990-11-11,9,23.197,MIA,@,NYJ,W 17-3,,2,2,100.0,1,2,50.0,0,5,0,0,,0
26,1990,1990-11-19,10,23.205,MIA,,RAI,L 10-13,,1,1,100.0,1,1,100.0,0,4,0,0,,0
27,1990,1990-11-25,11,23.211,MIA,@,CLE,W 30-13,,3,3,100.0,1,2,50.0,0,6,0,0,,0
28,1990,1990-12-02,12,23.218,MIA,@,WAS,L 20-42,,2,2,100.0,2,2,100.0,0,8,0,0,,0
29,1990,1990-12-09,13,23.225,MIA,,PHI,W 23-20,,2,2,100.0,3,3,100.0,0,11,0,0,,0
30,1990,1990-12-16,14,23.232,MIA,,SEA,W 24-17,,3,3,100.0,1,1,100.0,0,6,0,0,,0
31,1990,1990-12-23,15,23.239,MIA,@,BUF,L 14-24,,2,2,100.0,,1,0.0,0,2,0,0,,0
32,1990,1990-12-30,16,23.246,MIA,,IND,W 23-17,,3,3,100.0,,1,0.0,0,3,0,0,,0
33,1991,1991-09-15,3,24.140,MIA,@,DET,L 13-17,,1,1,100.0,2,2,100.0,0,7,0,0,,0
34,1991,1991-09-22,4,24.147,MIA,,GNB,W 16-13,,1,1,100.0,3,3,100.0,0,10,0,0,,0
35,1991,1991-09-29,5,24.154,MIA,@,NYJ,L 23-41,,2,2,100.0,3,3,100.0,0,11,0,0,,0
36,1991,1991-10-06,6,24.161,MIA,@,NWE,W 20-10,,2,2,100.0,2,3,66.7,0,8,0,0,,0
37,1991,1991-10-13,7,24.168,MIA,@,KAN,L 7-42,,1,1,100.0,,,,0,1,,,,
38,1991,1991-10-20,8,24.175,MIA,,HOU,L 13-17,,1,1,100.0,2,2,100.0,0,7,0,0,,0
39,1991,1991-11-03,9,24.189,MIA,@,IND,W 10-6,,1,1,100.0,1,3,33.3,0,4,0,0,,0
40,1991,1991-11-10,10,24.196,MIA,,NWE,W 30-20,,3,3,100.0,3,4,75.0,0,12,0,0,,0
41,1991,1991-11-18,11,24.204,MIA,,BUF,L 27-41,,3,3,100.0,2,2,100.0,0,9,0,0,,0
42,1991,1991-11-24,12,24.210,MIA,@,CHI,W 16-13,,1,1,100.0,3,3,100.0,0,10,0,0,,0
43,1991,1991-12-01,13,24.217,MIA,,TAM,W 33-14,,3,3,100.0,4,4,100.0,0,15,0,0,,0
44,1991,1991-12-09,14,24.225,MIA,,CIN,W 37-13,,4,4,100.0,3,3,100.0,0,13,0,0,,0
45,1991,1991-12-15,15,24.231,MIA,@,SDG,L 30-38,,3,4,75.0,1,1,100.0,0,6,0,0,,0
46,1991,1991-12-22,16,24.238,MIA,,NYJ,L 20-23,,2,2,100.0,2,4,50.0,0,8,2,85,42.50,0
47,1992,1992-09-14,1,25.139,MIA,@,CLE,W 27-23,,3,3,100.0,2,2,100.0,0,9,2,90,45.00,0
48,1992,1992-09-20,2,25.145,MIA,,RAM,W 26-10,,2,2,100.0,4,5,80.0,0,14,0,0,,0
49,1992,1992-09-27,3,25.152,MIA,@,SEA,W 19-17,,1,1,100.0,4,4,100.0,0,13,0,0,,0
50,1992,1992-10-04,4,25.159,MIA,@,BUF,W 37-10,,4,4,100.0,3,3,100.0,0,13,0,0,,0
51,1992,1992-10-11,5,25.166,MIA,,ATL,W 21-17,,3,3,100.0,,2,0.0,0,3,0,0,,0
52,1992,1992-10-18,6,25.173,MIA,,NWE,W 38-17,,5,5,100.0,1,1,100.0,0,8,0,0,,0
53,1992,1992-10-25,7,25.180,MIA,,IND,L 20-31,,2,3,66.7,,,,0,2,,,,
54,1992,1992-11-01,8,25.187,MIA,@,NYJ,L 14-26,,2,2,100.0,,,,0,2,,,,
55,1992,1992-11-08,9,25.194,MIA,@,IND,W 28-0,,4,4,100.0,,1,0.0,0,4,0,0,,0
56,1992,1992-11-16,10,25.202,MIA,,BUF,L 20-26,,2,2,100.0,2,3,66.7,0,8,0,0,,0
57,1992,1992-11-22,11,25.208,MIA,,HOU,W 19-16,,1,1,100.0,4,4,100.0,0,13,0,0,,0
58,1992,1992-11-29,12,25.215,MIA,@,NOR,L 13-24,,1,1,100.0,2,3,66.7,0,7,0,0,,0
59,1992,1992-12-06,13,25.222,MIA,@,SFO,L 3-27,,,,,1,1,100.0,0,3,0,0,,0
60,1992,1992-12-14,14,25.230,MIA,,RAI,W 20-7,,2,2,100.0,2,3,66.7,0,8,0,0,,0
61,1992,1992-12-20,15,25.236,MIA,,NYJ,W 19-17,,1,2,50.0,2,2,100.0,0,7,0,0,,0
62,1992,1992-12-27,16,25.243,MIA,@,NWE,W 16-13,,1,1,100.0,3,3,100.0,0,10,0,0,,0
63,1993,1993-09-05,1,26.130,MIA,@,IND,W 24-20,,3,3,100.0,1,1,100.0,0,6,0,0,,0
64,1993,1993-09-12,2,26.137,MIA,,NYJ,L 14-24,,2,2,100.0,,1,0.0,0,2,0,0,,0
65,1993,1993-09-26,3,26.151,MIA,@,BUF,W 22-13,,1,1,100.0,3,4,75.0,0,10,0,0,,0
66,1993,1993-10-04,4,26.159,MIA,,WAS,W 17-10,,2,2,100.0,1,1,100.0,0,5,0,0,,0
67,1993,1993-10-10,5,26.165,MIA,@,CLE,W 24-14,,3,3,100.0,1,2,50.0,0,6,0,0,,0
68,1993,1993-10-24,6,26.179,MIA,,IND,W 41-27,,5,5,100.0,2,3,66.7,0,11,0,0,,0
69,1993,1993-10-31,7,26.186,MIA,,KAN,W 30-10,,3,3,100.0,1,1,100.0,0,6,0,0,,0
70,1993,1993-11-07,8,26.193,MIA,@,NYJ,L 10-27,,1,1,100.0,1,1,100.0,0,4,0,0,,0
71,1993,1993-11-14,9,26.200,MIA,@,PHI,W 19-14,,1,1,100.0,2,2,100.0,0,7,0,0,,0
72,1993,1993-11-21,10,26.207,MIA,,NWE,W 17-13,,2,2,100.0,1,1,100.0,0,5,0,0,,0
73,1993,1993-11-25,11,26.211,MIA,@,DAL,W 16-14,,1,1,100.0,3,5,60.0,0,10,0,0,,0
74,1993,1993-12-05,12,26.221,MIA,,NYG,L 14-19,,2,2,100.0,,1,0.0,0,2,0,0,,0
75,1993,1993-12-13,13,26.229,MIA,,PIT,L 20-21,,2,2,100.0,2,3,66.7,0,8,0,0,,0
76,1993,1993-12-19,14,26.235,MIA,,BUF,L 34-47,,4,4,100.0,2,2,100.0,0,10,0,0,,0
77,1993,1993-12-27,15,26.243,MIA,@,SDG,L 20-45,,2,2,100.0,2,2,100.0,0,8,0,0,,0
