ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1978,1978-09-03,1,24.086,PIT,@,BUF,W 28-17,0,0,,0,4,156,39.00,0
2,1978,1978-09-10,2,24.093,PIT,,SEA,W 21-10,0,0,,0,3,125,41.67,0
3,1978,1978-09-17,3,24.100,PIT,@,CIN,W 28-3,0,0,,0,4,175,43.75,0
4,1978,1978-09-24,4,24.107,PIT,,CLE,W 15-9,0,0,,0,6,214,35.67,0
5,1978,1978-10-01,5,24.114,PIT,@,NYJ,W 28-17,0,0,,0,2,86,43.00,0
6,1978,1978-10-08,6,24.121,PIT,,ATL,W 31-7,0,0,,0,2,71,35.50,0
7,1978,1978-10-15,7,24.128,PIT,@,CLE,W 34-14,0,0,,0,5,199,39.80,0
8,1978,1978-10-23,8,24.136,PIT,,HOU,L 17-24,0,0,,0,3,124,41.33,0
9,1978,1978-10-29,9,24.142,PIT,,KAN,W 27-24,0,0,,0,4,173,43.25,0
10,1978,1978-11-05,10,24.149,PIT,,NOR,W 20-14,0,0,,0,1,28,28.00,0
11,1978,1978-11-12,11,24.156,PIT,@,RAM,L 7-10,0,0,,0,7,290,41.43,0
12,1978,1978-11-19,12,24.163,PIT,,CIN,W 7-6,0,0,,0,7,264,37.71,0
13,1978,1978-11-27,13,24.171,PIT,@,SFO,W 24-7,0,0,,0,3,127,42.33,0
14,1978,1978-12-03,14,24.177,PIT,@,HOU,W 13-3,0,0,,0,5,201,40.20,0
15,1978,1978-12-09,15,24.183,PIT,,BAL,W 35-13,0,0,,0,4,131,32.75,0
16,1978,1978-12-16,16,24.190,PIT,@,DEN,W 21-17,0,0,,0,6,278,46.33,0
17,1979,1979-09-03,1,25.086,PIT,@,NWE,W 16-13,0,0,,0,7,281,40.14,0
18,1979,1979-09-09,2,25.092,PIT,,HOU,W 38-7,0,0,,0,7,281,40.14,0
19,1979,1979-09-16,3,25.099,PIT,@,STL,W 24-21,0,0,,0,6,250,41.67,0
20,1979,1979-09-23,4,25.106,PIT,,BAL,W 17-13,0,0,,0,4,182,45.50,0
21,1979,1979-09-30,5,25.113,PIT,@,PHI,L 14-17,0,0,,0,4,164,41.00,0
22,1979,1979-10-07,6,25.120,PIT,@,CLE,W 51-35,0,0,,0,5,180,36.00,0
23,1979,1979-10-14,7,25.127,PIT,@,CIN,L 10-34,0,0,,0,4,174,43.50,0
24,1979,1979-10-22,8,25.135,PIT,,DEN,W 42-7,0,0,,0,1,56,56.00,0
25,1979,1979-10-28,9,25.141,PIT,,DAL,W 14-3,0,0,,0,9,347,38.56,0
26,1979,1979-11-04,10,25.148,PIT,,WAS,W 38-7,0,0,,0,1,31,31.00,0
27,1979,1979-11-11,11,25.155,PIT,@,KAN,W 30-3,0,0,,0,4,156,39.00,0
28,1979,1979-11-18,12,25.162,PIT,@,SDG,L 7-35,0,0,,0,5,173,34.60,0
29,1979,1979-11-25,13,25.169,PIT,,CLE,W 33-30,0,0,,0,1,35,35.00,0
30,1979,1979-12-02,14,25.176,PIT,,CIN,W 37-17,0,0,,0,2,63,31.50,0
31,1979,1979-12-10,15,25.184,PIT,@,HOU,L 17-20,0,0,,0,4,184,46.00,0
32,1979,1979-12-16,16,25.190,PIT,,BUF,W 28-0,0,0,,0,4,176,44.00,0
33,1980,1980-09-07,1,26.090,PIT,,HOU,W 31-17,0,0,,0,4,171,42.75,0
34,1980,1980-09-14,2,26.097,PIT,@,BAL,W 20-17,0,0,,0,3,126,42.00,0
35,1980,1980-09-21,3,26.104,PIT,@,CIN,L 28-30,0,0,,0,1,53,53.00,0
36,1980,1980-09-28,4,26.111,PIT,,CHI,W 38-3,0,0,,0,2,66,33.00,0
37,1980,1980-10-05,5,26.118,PIT,@,MIN,W 23-17,0,0,,0,3,103,34.33,0
38,1980,1980-10-12,6,26.125,PIT,,CIN,L 16-17,1,17,17.00,0,1,45,45.00,0
39,1980,1980-10-20,7,26.133,PIT,,OAK,L 34-45,0,0,,0,2,66,33.00,0
40,1980,1980-10-26,8,26.139,PIT,@,CLE,L 26-27,0,0,,0,6,216,36.00,0
41,1980,1980-11-02,9,26.146,PIT,,GNB,W 22-20,0,0,,0,4,179,44.75,0
42,1980,1980-11-09,10,26.153,PIT,@,TAM,W 24-21,0,0,,0,8,356,44.50,0
43,1980,1980-11-16,11,26.160,PIT,,CLE,W 16-13,0,0,,0,4,163,40.75,0
44,1980,1980-11-23,12,26.167,PIT,@,BUF,L 13-28,0,0,,0,6,245,40.83,0
45,1980,1980-11-30,13,26.174,PIT,,MIA,W 23-10,0,0,,0,4,151,37.75,0
46,1980,1980-12-04,14,26.178,PIT,@,HOU,L 0-6,0,0,,0,5,223,44.60,0
