ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2010,2010-09-13,1,21.019,KAN,,SDG,W 21-14,,1,0,0.00,0,4,2,9,4.50,0,50.0%,2.25,0,0,,0,3,100,33.33,1,,1,6,0.0,0,0
2,2010,2010-09-19,2,21.025,KAN,@,CLE,W 16-14,,1,3,3.00,0,3,0,0,,0,0.0%,0.00,2,39,19.50,0,0,0,,0,,0,0,0.0,0,0
3,2010,2010-09-26,3,21.032,KAN,,SFO,W 31-10,*,2,-1,-0.50,0,3,3,69,23.00,1,100.0%,23.00,1,17,17.00,0,3,42,14.00,0,,1,6,0.0,0,0
4,2010,2010-10-10,4,21.046,KAN,@,IND,L 9-19,,1,3,3.00,0,4,2,15,7.50,0,50.0%,3.75,6,141,23.50,0,0,0,,0,,0,0,0.0,0,0
5,2010,2010-10-17,5,21.053,KAN,@,HOU,L 31-35,*,2,27,13.50,0,4,3,13,4.33,0,75.0%,3.25,1,18,18.00,0,1,4,4.00,0,,0,0,0.0,0,0
6,2010,2010-10-24,6,21.060,KAN,,JAX,W 42-20,*,4,28,7.00,0,5,5,41,8.20,0,100.0%,8.20,0,0,,0,0,0,,0,,0,0,0.0,0,0
7,2010,2010-12-05,12,21.102,KAN,,DEN,W 10-6,*,5,11,2.20,0,3,2,25,12.50,0,66.7%,8.33,3,60,20.00,0,2,6,3.00,0,,0,0,0.0,0,0
8,2010,2010-12-12,13,21.109,KAN,@,SDG,L 0-31,*,0,0,,0,0,0,0,,0,0.0%,,3,62,20.67,0,1,11,11.00,0,,0,0,0.0,0,0
9,2010,2010-12-19,14,21.116,KAN,@,STL,W 27-13,,1,-4,-4.00,0,4,1,7,7.00,0,25.0%,1.75,4,62,15.50,0,3,39,13.00,0,,0,0,0.0,0,0
10,2010,2010-12-26,15,21.123,KAN,,TEN,W 34-14,*,1,4,4.00,0,2,2,15,7.50,0,100.0%,7.50,3,50,16.67,0,0,0,,0,,0,0,0.0,0,0
11,2010,2011-01-02,16,21.130,KAN,,OAK,L 10-31,*,0,0,,0,7,1,15,15.00,0,14.3%,2.14,3,78,26.00,0,0,0,,0,,0,0,0.0,0,0
12,2011,2011-09-11,1,22.017,KAN,,BUF,L 7-41,,4,42,10.50,0,5,5,25,5.00,0,100.0%,5.00,4,92,23.00,0,0,0,,0,,0,0,0.0,0,0
13,2011,2011-09-18,2,22.024,KAN,@,DET,L 3-48,*,8,51,6.38,0,5,4,-2,-0.50,0,80.0%,-0.40,3,69,23.00,0,0,0,,0,,0,0,0.0,2,0
14,2011,2011-09-25,3,22.031,KAN,@,SDG,L 17-20,,9,45,5.00,0,6,5,17,3.40,0,83.3%,2.83,1,29,29.00,0,0,0,,0,,0,0,0.0,0,0
15,2011,2011-10-02,4,22.038,KAN,,MIN,W 22-17,*,7,26,3.71,0,4,3,12,4.00,0,75.0%,3.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
16,2011,2011-10-09,5,22.045,KAN,@,IND,W 28-24,,4,8,2.00,0,2,1,10,10.00,0,50.0%,5.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
17,2011,2011-10-23,6,22.059,KAN,@,OAK,W 28-0,,10,38,3.80,0,2,1,-3,-3.00,0,50.0%,-1.50,0,0,,0,0,0,,0,,0,0,0.0,0,0
18,2011,2011-10-31,7,22.067,KAN,,SDG,W 23-20,,6,0,0.00,0,3,3,28,9.33,0,100.0%,9.33,5,137,27.40,0,1,6,6.00,0,,0,0,0.0,1,0
19,2011,2011-11-06,8,22.073,KAN,,MIA,L 3-31,,7,36,5.14,0,4,1,8,8.00,0,25.0%,2.00,3,53,17.67,0,2,30,15.00,0,,0,0,0.0,0,0
