ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring
1,1982,1982-09-12,1,22.140,BAL,,NWE,L 13-24,,6,18,33.33,103,0,1,30.6,0,0,5.72,3.22,0,0,,0,0,0
2,1982,1982-12-26,8,22.245,BAL,@,SDG,L 26-44,,6,9,66.67,65,0,0,87.7,1,7,7.22,7.22,0,0,,0,0,0
3,1982,1983-01-02,9,22.252,BAL,,MIA,L 7-34,,5,10,50.00,29,0,1,16.7,2,28,2.90,-1.60,1,3,3.00,0,0,0
4,1984,1984-09-23,4,24.151,IND,@,MIA,L 7-44,,3,9,33.33,10,0,1,2.8,2,13,1.11,-3.89,1,7,7.00,0,0,0
5,1984,1984-10-07,6,24.165,IND,,WAS,L 7-35,,1,6,16.67,14,0,0,39.6,2,22,2.33,2.33,1,10,10.00,0,0,0
6,1984,1984-10-14,7,24.172,IND,@,PHI,L 7-16,,3,4,75.00,13,0,1,38.5,0,0,3.25,-8.00,0,0,,0,0,0
7,1984,1984-11-11,11,24.200,IND,@,NYJ,W 9-5,,2,3,66.67,21,0,0,86.8,1,8,7.00,7.00,3,23,7.67,0,0,0
8,1984,1984-11-18,12,24.207,IND,,NWE,L 17-50,*,16,32,50.00,188,1,1,65.6,7,59,5.88,5.09,4,59,14.75,1,1,6
9,1984,1984-11-25,13,24.214,IND,@,RAI,L 7-21,*,10,27,37.04,125,0,1,36.8,6,44,4.63,2.96,4,20,5.00,0,0,0
10,1984,1984-12-02,14,24.221,IND,@,BUF,L 15-21,*,11,28,39.29,135,1,1,51.9,2,10,4.82,3.93,5,21,4.20,0,0,0
11,1984,1984-12-09,15,24.228,IND,,MIA,L 17-35,*,1,3,33.33,8,0,1,2.8,0,0,2.67,-12.33,0,0,,0,0,0
12,1984,1984-12-16,16,24.235,IND,@,NWE,L 10-16,*,15,28,53.57,188,1,1,71.7,3,14,6.71,5.82,1,5,5.00,0,0,0
13,1985,1985-09-08,1,25.136,IND,@,PIT,L 3-45,*,12,25,48.00,107,0,2,26.6,2,6,4.28,0.68,2,13,6.50,0,0,0
