ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1999,2000-01-02,16,23.186,PHI,,STL,W 38-31,,,,,
2,2000,2000-09-03,1,24.065,PHI,@,DAL,W 41-14,,,,,
3,2000,2000-09-10,2,24.072,PHI,,NYG,L 18-33,,,,,
4,2000,2000-09-17,3,24.079,PHI,@,GNB,L 3-6,,,,,
5,2000,2000-09-24,4,24.086,PHI,@,NOR,W 21-7,,1,0,0.00,0
6,2000,2000-10-01,5,24.093,PHI,,ATL,W 38-10,,,,,
7,2000,2000-10-08,6,24.100,PHI,,WAS,L 14-17,,,,,
8,2000,2000-10-15,7,24.107,PHI,@,ARI,W 33-14,,,,,
9,2000,2000-10-22,8,24.114,PHI,,CHI,W 13-9,,,,,
10,2000,2000-10-29,9,24.121,PHI,@,NYG,L 7-24,,,,,
11,2000,2000-11-05,10,24.128,PHI,,DAL,W 16-13,,,,,
12,2000,2000-11-12,11,24.135,PHI,@,PIT,W 26-23,,,,,
13,2000,2000-11-19,12,24.142,PHI,,ARI,W 34-9,,,,,
14,2000,2000-11-26,13,24.149,PHI,@,WAS,W 23-20,,,,,
15,2000,2000-12-03,14,24.156,PHI,,TEN,L 13-15,,,,,
16,2000,2000-12-10,15,24.163,PHI,@,CLE,W 35-24,,,,,
17,2000,2000-12-24,16,24.177,PHI,,CIN,W 16-7,,,,,
18,2002,2002-09-08,1,26.070,BUF,,NYJ,L 31-37,,,,,
19,2002,2002-09-15,2,26.077,BUF,@,MIN,W 45-39,,,,,
20,2002,2002-09-22,3,26.084,BUF,@,DEN,L 23-28,,,,,
21,2002,2002-09-29,4,26.091,BUF,,CHI,W 33-27,,,,,
22,2002,2002-10-06,5,26.098,BUF,,OAK,L 31-49,,,,,
23,2002,2002-10-13,6,26.105,BUF,@,HOU,W 31-24,,,,,
24,2002,2002-10-20,7,26.112,BUF,@,MIA,W 23-10,,,,,
25,2002,2002-10-27,8,26.119,BUF,,DET,W 24-17,,,,,
26,2002,2002-11-03,9,26.126,BUF,,NWE,L 7-38,,,,,
27,2002,2002-11-17,10,26.140,BUF,@,KAN,L 16-17,,,,,
28,2002,2002-11-24,11,26.147,BUF,@,NYJ,L 13-31,,,,,
29,2002,2002-12-01,12,26.154,BUF,,MIA,W 38-21,,,,,
30,2002,2002-12-08,13,26.161,BUF,@,NWE,L 17-27,,,,,
31,2002,2002-12-15,14,26.168,BUF,,SDG,W 20-13,,,,,
