ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result
1,1978,1978-10-08,6,23.039,NWE,,PHI,W 24-14
2,1978,1978-10-15,7,23.046,NWE,@,CIN,W 10-3
3,1978,1978-10-29,9,23.060,NWE,,NYJ,W 55-21
4,1978,1978-11-19,12,23.081,NWE,@,NYJ,W 19-17
5,1978,1978-11-26,13,23.088,NWE,@,BAL,W 35-14
6,1978,1978-12-03,14,23.095,NWE,@,DAL,L 10-17
7,1978,1978-12-10,15,23.102,NWE,,BUF,W 26-24
8,1978,1978-12-18,16,23.110,NWE,@,MIA,L 3-23
9,1979,1979-09-03,1,24.004,NWE,,PIT,L 13-16
10,1979,1979-09-09,2,24.010,NWE,,NYJ,W 56-3
11,1979,1979-09-16,3,24.017,NWE,@,CIN,W 20-14
12,1979,1979-09-23,4,24.024,NWE,,SDG,W 27-21
13,1979,1979-10-01,5,24.032,NWE,@,GNB,L 14-27
14,1979,1979-10-07,6,24.038,NWE,,DET,W 24-17
15,1979,1979-10-14,7,24.045,NWE,@,CHI,W 27-7
16,1979,1979-10-21,8,24.052,NWE,,MIA,W 28-13
17,1979,1979-10-28,9,24.059,NWE,@,BAL,L 26-31
18,1979,1979-11-04,10,24.066,NWE,@,BUF,W 26-6
19,1980,1980-09-07,1,25.008,NYG,@,STL,W 41-35
20,1980,1980-09-14,2,25.015,NYG,,WAS,L 21-23
21,1980,1980-09-22,3,25.023,NYG,@,PHI,L 3-35
22,1980,1980-09-28,4,25.029,NYG,,RAM,L 7-28
23,1980,1980-10-05,5,25.036,NYG,@,DAL,L 3-24
24,1980,1980-10-12,6,25.043,NYG,,PHI,L 16-31
25,1980,1980-10-19,7,25.050,NYG,@,SDG,L 7-44
26,1980,1980-10-26,8,25.057,NYG,,DEN,L 9-14
27,1980,1980-11-02,9,25.064,NYG,@,TAM,L 13-30
28,1980,1980-11-09,10,25.071,NYG,,DAL,W 38-35
29,1980,1980-11-16,11,25.078,NYG,,GNB,W 27-21
30,1980,1980-11-23,12,25.085,NYG,@,SFO,L 0-12
31,1980,1980-11-30,13,25.092,NYG,,STL,L 7-23
