ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring
1,1992,1992-09-06,1,23.152,SFO,@,NYG,W 31-14,,13,100,7.69,0,6,5,50,10.00,0,83.3%,8.33,0,0,,0,0,0,,0,,,,0,0
2,1992,1992-09-13,2,23.159,SFO,,BUF,L 31-34,,16,83,5.19,0,4,4,22,5.50,0,100.0%,5.50,0,0,,0,0,0,,0,,,,0,0
3,1992,1992-09-20,3,23.166,SFO,@,NYJ,W 31-14,,17,55,3.24,1,2,1,4,4.00,0,50.0%,2.00,0,0,,0,0,0,,0,,,,1,6
4,1992,1992-09-27,4,23.173,SFO,@,NOR,W 16-10,,18,76,4.22,0,7,7,52,7.43,0,100.0%,7.43,0,0,,0,0,0,,0,,,,0,0
5,1992,1992-10-04,5,23.180,SFO,,RAM,W 27-24,,20,83,4.15,1,2,2,26,13.00,0,100.0%,13.00,0,0,,0,0,0,,0,,,,1,6
6,1992,1992-10-11,6,23.187,SFO,@,NWE,W 24-12,,19,104,5.47,1,9,8,84,10.50,1,88.9%,9.33,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,2,12
7,1992,1992-10-18,7,23.194,SFO,,ATL,W 56-17,,15,75,5.00,3,4,3,57,19.00,0,75.0%,14.25,0,0,,0,0,0,,0,,,,3,18
8,1992,1992-11-01,8,23.208,SFO,@,PHO,L 14-24,,7,36,5.14,1,4,3,48,16.00,0,75.0%,12.00,0,0,,0,0,0,,0,,,,1,6
9,1992,1992-11-09,9,23.216,SFO,@,ATL,W 41-3,,19,75,3.95,0,3,3,25,8.33,1,100.0%,8.33,0,0,,0,0,0,,0,,,,1,6
10,1992,1992-11-15,10,23.222,SFO,,NOR,W 21-20,,21,115,5.48,0,3,3,11,3.67,0,100.0%,3.67,0,0,,0,0,0,,0,,,,0,0
11,1992,1992-11-22,11,23.229,SFO,@,RAM,W 27-10,,26,163,6.27,2,6,3,16,5.33,0,50.0%,2.67,0,0,,0,0,0,,0,,,,2,12
12,1992,1992-11-29,12,23.236,SFO,,PHI,W 20-14,,5,20,4.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,,,0,0
13,1992,1992-12-19,15,23.256,SFO,,TAM,W 21-14,,7,13,1.86,0,,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,0,0
14,1992,1992-12-28,16,23.265,SFO,,DET,W 24-6,,3,15,5.00,0,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,,,,0,0
15,1993,1993-09-05,1,24.151,SFO,@,PIT,W 24-13,,14,46,3.29,0,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,,,,,0,0
16,1993,1993-09-13,2,24.159,SFO,@,CLE,L 13-23,,13,83,6.38,0,5,4,47,11.75,0,80.0%,9.40,0,0,,0,0,0,,,,,,0,0
17,1993,1993-09-19,3,24.165,SFO,,ATL,W 37-30,,19,112,5.89,1,,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,1,6
18,1993,1993-09-26,4,24.172,SFO,@,NOR,L 13-16,,25,135,5.40,0,2,2,8,4.00,0,100.0%,4.00,0,0,,0,0,0,,,,,,0,0
19,1993,1993-10-03,5,24.179,SFO,,MIN,W 38-19,,9,8,0.89,1,4,1,28,28.00,0,25.0%,7.00,0,0,,0,0,0,,,,,,1,6
20,1993,1993-10-17,6,24.193,SFO,@,DAL,L 17-26,,8,32,4.00,0,4,2,31,15.50,0,50.0%,7.75,0,0,,0,0,0,,,,,,0,0
21,1993,1993-10-24,7,24.200,SFO,,PHO,W 28-14,,20,95,4.75,1,3,2,17,8.50,0,66.7%,5.67,0,0,,0,0,0,,,,,,1,6
22,1993,1993-10-31,8,24.207,SFO,,RAM,W 40-17,,19,56,2.95,1,5,5,35,7.00,0,100.0%,7.00,0,0,,0,0,0,,,,,,1,6
