ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1971,1971-09-19,1,23.114,NYG,@,GNB,W 42-40,0,0,,0,0,0,,0,0,0,,0,0,,,5,164,32.80,0
2,1971,1971-09-26,2,23.121,NYG,,WAS,L 3-30,0,0,,0,0,0,,0,0,0,,0,0,,,9,381,42.33,0
3,1971,1971-10-03,3,23.128,NYG,@,STL,W 21-20,0,0,,0,0,0,,0,0,0,,0,0,,,5,209,41.80,0
4,1971,1971-10-11,4,23.136,NYG,@,DAL,L 13-20,0,0,,0,0,0,,0,0,0,,0,0,,,5,214,42.80,0
5,1971,1971-10-17,5,23.142,NYG,,BAL,L 7-31,0,0,,0,1,1,100.00,18,0,0,118.7,0,0,18.00,18.00,2,93,46.50,0
6,1971,1971-10-24,6,23.149,NYG,@,PHI,L 7-23,0,0,,0,0,0,,0,0,0,,0,0,,,3,113,37.67,0
7,1971,1971-10-31,7,23.156,NYG,,MIN,L 10-17,0,0,,0,0,0,,0,0,0,,0,0,,,9,399,44.33,0
8,1971,1971-11-07,8,23.163,NYG,,SDG,W 35-17,0,0,,0,0,0,,0,0,0,,0,0,,,4,130,32.50,0
9,1971,1971-11-14,9,23.170,NYG,@,ATL,W 21-17,0,0,,0,0,0,,0,0,0,,0,0,,,4,199,49.75,0
10,1971,1971-11-21,10,23.177,NYG,@,PIT,L 13-17,0,0,,0,0,0,,0,0,0,,0,0,,,2,63,31.50,0
11,1971,1971-11-28,11,23.184,NYG,,STL,L 7-24,0,0,,0,0,0,,0,0,0,,0,0,,,4,157,39.25,0
12,1971,1971-12-05,12,23.191,NYG,@,WAS,L 7-23,0,0,,0,0,0,,0,0,0,,0,0,,,3,111,37.00,0
13,1971,1971-12-12,13,23.198,NYG,,DAL,L 14-42,0,0,,0,0,0,,0,0,0,,0,0,,,6,249,41.50,0
14,1971,1971-12-19,14,23.205,NYG,,PHI,L 28-41,0,0,,0,0,0,,0,0,0,,0,0,,,5,199,39.80,0
15,1972,1972-09-17,1,24.112,NYG,@,DET,L 16-30,0,0,,0,0,0,,0,0,0,,0,0,,,4,171,42.75,0
16,1972,1972-09-24,2,24.119,NYG,,DAL,L 14-23,0,0,,0,0,0,,0,0,0,,0,0,,,3,154,51.33,0
17,1972,1972-10-02,3,24.127,NYG,@,PHI,W 27-12,0,0,,0,0,0,,0,0,0,,0,0,,,3,141,47.00,0
18,1972,1972-10-08,4,24.133,NYG,,NOR,W 45-21,0,0,,0,0,0,,0,0,0,,0,0,,,3,90,30.00,0
19,1972,1972-10-15,5,24.140,NYG,@,SFO,W 23-17,0,0,,0,0,0,,0,0,0,,0,0,,,1,49,49.00,0
20,1972,1972-10-22,6,24.147,NYG,,STL,W 27-21,0,0,,0,0,0,,0,0,0,,0,0,,,3,78,26.00,1
21,1972,1972-10-29,7,24.154,NYG,,WAS,L 16-23,1,17,17.00,0,0,0,,0,0,0,,0,0,,,3,132,44.00,0
22,1972,1972-11-05,8,24.161,NYG,,DEN,W 29-17,0,0,,0,0,0,,0,0,0,,0,0,,,5,215,43.00,0
23,1972,1972-11-12,9,24.168,NYG,@,WAS,L 13-27,0,0,,0,0,0,,0,0,0,,0,0,,,5,233,46.60,0
24,1972,1972-11-19,10,24.175,NYG,@,STL,W 13-7,0,0,,0,0,0,,0,0,0,,0,0,,,4,176,44.00,0
25,1972,1972-11-26,11,24.182,NYG,,PHI,W 62-10,0,0,,0,0,0,,0,0,0,,0,0,,,2,88,44.00,0
26,1972,1972-12-03,12,24.189,NYG,@,CIN,L 10-13,0,0,,0,0,0,,0,0,0,,0,0,,,6,280,46.67,0
27,1972,1972-12-10,13,24.196,NYG,,MIA,L 13-23,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,2,85,42.50,0
28,1972,1972-12-17,14,24.203,NYG,@,DAL,W 23-3,0,0,,0,0,0,,0,0,0,,0,0,,,3,114,38.00,0
29,1973,1973-09-16,1,25.111,NYG,,HOU,W 34-14,0,0,,0,0,0,,0,0,0,,0,0,,,1,48,48.00,0
30,1973,1973-09-23,2,25.118,NYG,,PHI,T 23-23,0,0,,0,0,0,,0,0,0,,0,0,,,4,181,45.25,0
31,1973,1973-09-30,3,25.125,NYG,@,CLE,L 10-12,0,0,,0,0,0,,0,0,0,,0,0,,,8,324,40.50,0
32,1973,1973-10-07,4,25.132,NYG,,GNB,L 14-16,0,0,,0,0,0,,0,0,0,,0,0,,,5,196,39.20,0
33,1973,1973-10-14,5,25.139,NYG,,WAS,L 3-21,,,,,,,,,,,,,,,,,,,
34,1973,1973-10-21,6,25.146,NYG,@,DAL,L 28-45,,,,,,,,,,,,,,,,,,,
35,1973,1973-10-28,7,25.153,NYG,@,STL,L 27-35,0,0,,0,0,0,,0,0,0,,0,0,,,3,128,42.67,0
36,1973,1973-11-04,8,25.160,NYG,@,OAK,L 0-42,0,0,,0,0,0,,0,0,0,,0,0,,,9,424,47.11,0
37,1973,1973-11-11,9,25.167,NYG,,DAL,L 10-23,0,0,,0,0,0,,0,0,0,,0,0,,,4,121,30.25,0
38,1973,1973-11-18,10,25.174,NYG,,STL,W 24-13,0,0,,0,0,0,,0,0,0,,0,0,,,6,225,37.50,1
39,1973,1973-11-25,11,25.181,NYG,@,PHI,L 16-20,0,0,,0,0,0,,0,0,0,,0,0,,,1,32,32.00,0
40,1973,1973-12-02,12,25.188,NYG,@,WAS,L 24-27,0,0,,0,0,0,,0,0,0,,0,0,,,8,347,43.38,0
41,1973,1973-12-10,13,25.196,NYG,@,RAM,L 6-40,0,0,,0,0,0,,0,0,0,,0,0,,,6,286,47.67,0
42,1973,1973-12-16,14,25.202,NYG,,MIN,L 7-31,0,0,,0,0,0,,0,0,0,,0,0,,,1,35,35.00,0
43,1974,1974-09-22,2,26.117,NOR,@,RAM,L 0-24,0,0,,0,0,0,,0,0,0,,0,0,,,8,347,43.38,0
44,1974,1974-09-29,3,26.124,NOR,,ATL,W 14-13,0,0,,0,0,0,,0,0,0,,0,0,,,7,328,46.86,0
45,1974,1974-10-06,4,26.131,NOR,@,CHI,L 10-24,0,0,,0,0,0,,0,0,0,,0,0,,,6,250,41.67,0
46,1974,1974-10-13,5,26.138,NOR,@,DEN,L 17-33,0,0,,0,0,0,,0,0,0,,0,0,,,3,96,32.00,0
47,1974,1974-10-20,6,26.145,NOR,@,ATL,W 13-3,0,0,,0,0,0,,0,0,0,,0,0,,,10,401,40.10,0
48,1974,1974-10-27,7,26.152,NOR,,PHI,W 14-10,0,0,,0,0,0,,0,0,0,,0,0,,,7,301,43.00,0
49,1974,1974-11-03,8,26.159,NOR,@,DET,L 14-19,0,0,,0,0,0,,0,0,0,,0,0,,,4,170,42.50,0
50,1974,1974-11-10,9,26.166,NOR,,MIA,L 0-21,0,0,,0,0,0,,0,0,0,,0,0,,,7,309,44.14,0
51,1974,1974-11-17,10,26.173,NOR,,RAM,W 20-7,0,0,,0,0,0,,0,0,0,,0,0,,,6,285,47.50,0
52,1974,1974-11-25,11,26.181,NOR,,PIT,L 7-28,0,0,,0,0,0,,0,0,0,,0,0,,,7,291,41.57,0
53,1974,1974-12-01,12,26.187,NOR,@,MIN,L 9-29,0,0,,0,0,0,,0,0,0,,0,0,,,8,275,34.38,0
54,1974,1974-12-08,13,26.194,NOR,,STL,W 14-0,0,0,,0,0,0,,0,0,0,,0,0,,,8,338,42.25,0
55,1974,1974-12-15,14,26.201,NOR,@,SFO,L 21-35,0,0,,0,0,0,,0,0,0,,0,0,,,7,313,44.71,0
56,1975,1975-09-21,1,27.116,NOR,@,WAS,L 3-41,0,0,,0,0,0,,0,0,0,,0,0,,,8,295,36.88,1
57,1975,1975-09-28,2,27.123,NOR,,CIN,L 0-21,0,0,,0,0,0,,0,0,0,,0,0,,,8,304,38.00,0
58,1975,1975-10-05,3,27.130,NOR,@,ATL,L 7-14,0,0,,0,0,0,,0,0,0,,0,0,,,7,298,42.57,0
59,1975,1975-10-12,4,27.137,NOR,,GNB,W 20-19,0,0,,0,0,0,,0,0,0,,0,0,,,5,227,45.40,0
60,1975,1975-10-19,5,27.144,NOR,@,SFO,L 21-35,0,0,,0,0,0,,0,0,0,,0,0,,,6,206,34.33,1
61,1975,1975-10-26,6,27.151,NOR,@,RAM,L 14-38,0,0,,0,0,0,,0,0,0,,0,0,,,4,144,36.00,0
62,1975,1975-11-02,7,27.158,NOR,,ATL,W 23-7,0,0,,0,0,0,,0,0,0,,0,0,,,4,201,50.25,0
63,1975,1975-11-09,8,27.165,NOR,@,OAK,L 10-48,0,0,,0,0,0,,0,0,0,,0,0,,,5,210,42.00,0
64,1975,1975-11-16,9,27.172,NOR,,MIN,L 7-20,0,0,,0,0,0,,0,0,0,,0,0,,,12,515,42.92,0
