ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1966,1966-10-16,5,22.350,CHI,,GNB,L 0-17,1,5,5.00,0,0,0,,0,0,0,,0,0,0
2,1966,1966-11-27,11,23.027,CHI,,ATL,W 23-6,2,7,3.50,0,0,0,,0,0,0,,0,0,0
3,1967,1967-09-17,1,23.321,CHI,@,PIT,L 13-41,3,12,4.00,0,2,3,1.50,0,0,0,,0,0,0
4,1967,1967-10-01,3,23.335,CHI,@,MIN,W 17-7,9,52,5.78,0,1,12,12.00,0,0,0,,0,0,0
5,1967,1967-10-08,4,23.342,CHI,,BAL,L 3-24,3,-2,-0.67,0,0,0,,0,0,0,,0,0,0
6,1967,1967-10-15,5,23.349,CHI,,DET,W 14-3,12,34,2.83,0,2,6,3.00,0,0,0,,0,0,0
7,1967,1967-10-22,6,23.356,CHI,@,CLE,L 0-24,4,11,2.75,0,3,32,10.67,0,0,0,,0,0,0
8,1967,1967-10-29,7,23.363,CHI,,RAM,L 17-28,0,0,,0,1,6,6.00,0,0,0,,0,0,0
9,1967,1967-11-05,8,24.005,CHI,@,DET,W 27-13,15,39,2.60,0,3,41,13.67,0,0,0,,0,0,0
10,1967,1967-11-12,9,24.012,CHI,,NYG,W 34-7,6,45,7.50,0,0,0,,0,0,0,,0,0,0
11,1967,1967-11-19,10,24.019,CHI,,STL,W 30-3,4,41,10.25,0,1,3,3.00,0,0,0,,0,0,0
12,1967,1967-11-26,11,24.026,CHI,,GNB,L 13-17,6,24,4.00,0,0,0,,0,0,0,,0,0,0
13,1967,1967-12-03,12,24.033,CHI,@,SFO,W 28-14,16,38,2.38,0,0,0,,0,0,0,,0,0,0
14,1967,1967-12-10,13,24.040,CHI,,MIN,T 10-10,4,22,5.50,0,0,0,,0,0,0,,0,0,0
15,1967,1967-12-17,14,24.047,CHI,@,ATL,W 23-14,5,1,0.20,0,0,0,,0,0,0,,0,0,0
16,1968,1968-09-15,1,24.320,CHI,,WAS,L 28-38,5,26,5.20,1,4,45,11.25,0,0,0,,0,1,6
17,1968,1968-09-22,2,24.327,CHI,@,DET,L 0-42,4,12,3.00,0,1,6,6.00,0,0,0,,0,0,0
18,1968,1968-09-29,3,24.334,CHI,@,MIN,W 27-17,9,42,4.67,0,0,0,,0,0,0,,0,0,0
19,1968,1968-10-06,4,24.341,CHI,@,BAL,L 7-28,1,1,1.00,0,1,4,4.00,0,0,0,,0,0,0
20,1968,1968-10-13,5,24.348,CHI,,DET,L 10-28,0,0,,0,1,8,8.00,0,0,0,,0,0,0
21,1968,1968-10-20,6,24.355,CHI,@,PHI,W 29-16,2,18,9.00,0,0,0,,0,0,0,,0,0,0
22,1968,1968-10-27,7,24.362,CHI,,MIN,W 26-24,3,8,2.67,0,0,0,,0,0,0,,0,0,0
23,1968,1968-11-03,8,25.003,CHI,@,GNB,W 13-10,5,7,1.40,0,2,19,9.50,0,0,0,,0,0,0
24,1968,1968-11-10,9,25.010,CHI,,SFO,W 27-19,18,67,3.72,0,4,54,13.50,0,0,0,,0,0,0
25,1968,1968-11-17,10,25.017,CHI,,ATL,L 13-16,8,19,2.38,0,7,92,13.14,0,0,0,,0,0,0
26,1968,1968-11-24,11,25.024,CHI,,DAL,L 3-34,10,31,3.10,0,5,43,8.60,0,0,0,,0,0,0
27,1968,1968-12-01,12,25.031,CHI,@,NOR,W 23-17,21,112,5.33,0,0,0,,0,0,0,,0,0,0
28,1968,1968-12-08,13,25.038,CHI,@,RAM,W 17-16,22,62,2.82,1,3,20,6.67,0,0,0,,0,1,6
29,1968,1968-12-15,14,25.045,CHI,,GNB,L 27-28,15,45,3.00,0,0,0,,0,0,0,,0,0,0
30,1969,1969-09-21,1,25.325,CHI,@,GNB,L 0-17,2,9,4.50,0,3,38,12.67,0,1,15,15.00,0,0,0
31,1969,1969-09-28,2,25.332,CHI,@,STL,L 17-20,4,7,1.75,0,3,39,13.00,0,1,3,3.00,0,0,0
32,1969,1969-10-05,3,25.339,CHI,@,NYG,L 24-28,3,18,6.00,0,2,10,5.00,0,2,4,2.00,0,0,0
33,1969,1969-10-12,4,25.346,CHI,,MIN,L 0-31,1,7,7.00,0,2,7,3.50,0,0,0,,0,0,0
34,1969,1969-10-19,5,25.353,CHI,@,DET,L 7-13,0,0,,0,0,0,,0,1,3,3.00,0,0,0
35,1969,1969-10-26,6,25.360,CHI,,RAM,L 7-9,4,7,1.75,0,1,5,5.00,0,1,-1,-1.00,0,0,0
36,1969,1969-11-02,7,26.002,CHI,@,MIN,L 14-31,7,37,5.29,1,2,11,5.50,0,0,0,,0,1,6
37,1969,1969-11-09,8,26.009,CHI,,PIT,W 38-7,12,31,2.58,0,2,20,10.00,1,3,19,6.33,0,1,6
38,1969,1969-11-16,9,26.016,CHI,@,ATL,L 31-48,12,32,2.67,1,2,13,6.50,0,0,0,,0,1,6
