ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,tackles_solo,tackles_assists
1,2006,2006-12-25,15,25.030,DAL,,PHI,L 7-23,,,,,,,,
2,2008,2008-12-28,16,27.033,STL,@,ATL,L 27-31,,,,,,,,
3,2009,2009-09-13,1,27.292,STL,@,SEA,L 0-28,,,,,,,,
4,2009,2009-09-20,2,27.299,STL,@,WAS,L 7-9,,,,,,,,
5,2009,2009-09-27,3,27.306,STL,,GNB,L 17-36,,0,0,,0,0.0,0,0
6,2009,2009-10-04,4,27.313,STL,@,SFO,L 0-35,,1,0,0.00,0,0.0,1,0
7,2009,2009-10-11,5,27.320,STL,,MIN,L 10-38,,0,0,,0,0.0,0,0
8,2009,2009-10-18,6,27.327,STL,@,JAX,L 20-23,,0,0,,0,0.0,0,0
9,2009,2009-10-25,7,27.334,STL,,IND,L 6-42,*,0,0,,0,0.0,2,0
10,2009,2009-11-01,8,27.341,STL,@,DET,W 17-10,*,1,-2,-2.00,0,0.0,3,1
11,2009,2009-11-15,9,27.355,STL,,NOR,L 23-28,*,0,0,,0,0.0,5,0
12,2009,2009-11-22,10,27.362,STL,,ARI,L 13-21,*,0,0,,0,0.0,2,0
13,2009,2009-11-29,11,28.004,STL,,SEA,L 17-27,*,0,0,,0,0.0,4,0
14,2009,2009-12-06,12,28.011,STL,@,CHI,L 9-17,*,0,0,,0,0.0,1,0
15,2009,2009-12-13,13,28.018,STL,@,TEN,L 7-47,,0,0,,0,0.0,2,0
16,2009,2009-12-20,14,28.025,STL,,HOU,L 13-16,*,0,0,,0,0.0,1,1
17,2010,2010-10-31,8,28.340,STL,,CAR,W 20-10,,0,0,,0,0.0,1,0
18,2010,2010-12-05,12,29.010,STL,@,ARI,W 19-6,,0,0,,0,0.0,0,0
19,2010,2010-12-12,13,29.017,STL,@,NOR,L 13-31,*,0,0,,0,0.0,4,2
20,2010,2010-12-19,14,29.024,STL,,KAN,L 13-27,,0,0,,0,0.0,0,0
21,2010,2010-12-26,15,29.031,STL,,SFO,W 25-17,,,,,,,,
22,2010,2011-01-02,16,29.038,STL,@,SEA,L 6-16,,0,0,,0,0.0,0,1
