ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2009,2009-11-23,10,23.091,HOU,,TEN,L 17-20,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,,0,0,0.0,0,1
2,2009,2009-12-06,12,23.104,HOU,@,JAX,L 18-23,,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,,
3,2009,2009-12-13,13,23.111,HOU,,SEA,W 34-7,,13,34,2.62,0,4,4,54,13.50,0,100.0%,13.50,0,0,,0,0,0,,,,,,,0,0,0.0,0,0
4,2009,2009-12-20,14,23.118,HOU,@,STL,W 16-13,,2,7,3.50,0,1,1,13,13.00,0,100.0%,13.00,0,0,,0,0,0,,,,,,,0,0,0.0,0,0
5,2009,2009-12-27,15,23.125,HOU,@,MIA,W 27-20,,19,97,5.11,1,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,,1,6,0.0,0,0
6,2009,2010-01-03,16,23.132,HOU,,NWE,W 34-27,*,20,119,5.95,2,4,3,26,8.67,0,75.0%,6.50,0,0,,0,0,0,,,,,,,2,12,0.0,0,0
7,2010,2010-09-12,1,24.019,HOU,,IND,W 34-24,*,33,231,7.00,3,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,,,,,,3,18,0.0,0,0
8,2010,2010-09-19,2,24.026,HOU,@,WAS,W 30-27,*,19,69,3.63,0,4,3,69,23.00,0,75.0%,17.25,0,0,,0,0,0,,,,,,,0,0,0.0,0,0
9,2010,2010-09-26,3,24.033,HOU,,DAL,L 13-27,*,17,106,6.24,0,5,4,20,5.00,0,80.0%,4.00,0,0,,0,0,0,,,,,,,0,0,0.0,0,0
10,2010,2010-10-03,4,24.040,HOU,@,OAK,W 31-24,,17,133,7.82,1,4,3,56,18.67,1,75.0%,14.00,0,0,,0,0,0,,,,,,,2,12,0.0,0,0
11,2010,2010-10-10,5,24.047,HOU,,NYG,L 10-34,*,11,25,2.27,0,4,2,2,1.00,0,50.0%,0.50,0,0,,0,0,0,,,,,,,0,0,0.0,0,0
12,2010,2010-10-17,6,24.054,HOU,,KAN,W 35-31,*,18,71,3.94,2,6,6,26,4.33,0,100.0%,4.33,0,0,,0,0,0,,,,,,,2,12,0.0,0,0
13,2010,2010-11-01,7,24.069,HOU,@,IND,L 17-30,*,15,102,6.80,1,9,9,65,7.22,0,100.0%,7.22,0,0,,0,0,0,,,,,,,1,6,0.0,0,0
14,2010,2010-11-07,8,24.075,HOU,,SDG,L 23-29,*,27,127,4.70,2,6,4,70,17.50,0,66.7%,11.67,0,0,,0,0,0,,,,,,,2,12,0.0,0,0
