ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1995,1995-09-03,1,23.328,BUF,@,DEN,L 7-22,,,,,,0.0%,,0,0,,0
2,1995,1995-09-10,2,23.335,BUF,,CAR,W 31-9,,,,,,0.0%,,0,0,,0
3,1995,1995-10-08,5,23.363,BUF,,NYJ,W 29-10,,,,,,0.0%,,0,0,,0
4,1995,1995-10-15,6,24.005,BUF,,SEA,W 27-21,,,,,,0.0%,,0,0,,0
5,1995,1995-10-23,7,24.013,BUF,@,NWE,L 14-27,0,,,,,0.0%,,0,0,,0
6,1995,1995-10-29,8,24.019,BUF,@,MIA,L 6-23,,,,,,0.0%,,0,0,,0
7,1995,1995-11-05,9,24.026,BUF,@,IND,W 16-10,0,,,,,0.0%,,0,0,,0
8,1995,1995-11-12,10,24.033,BUF,,ATL,W 23-17,,,,,,0.0%,,0,0,,0
9,1995,1995-11-26,12,24.047,BUF,,NWE,L 25-35,,,,,,0.0%,,0,0,,0
10,1995,1995-12-03,13,24.054,BUF,@,SFO,L 17-27,,,,,,0.0%,,0,0,,0
11,1995,1995-12-10,14,24.061,BUF,@,STL,W 45-27,,,,,,0.0%,,0,0,,0
12,1995,1995-12-17,15,24.068,BUF,,MIA,W 23-20,0,0,0,,0,0.0%,,1,13,13.00,0
13,1995,1995-12-24,16,24.075,BUF,,HOU,L 17-28,,,,,,0.0%,,0,0,,0
14,1996,1996-09-01,1,24.327,BUF,@,NYG,W 23-20,,0,0,,0,0.0%,,,,,
15,1996,1996-09-08,2,24.334,BUF,,NWE,W 17-10,,0,0,,0,0.0%,,,,,
16,1996,1996-09-16,3,24.342,BUF,@,PIT,L 6-24,,0,0,,0,0.0%,,,,,
17,1996,1996-09-22,4,24.348,BUF,,DAL,W 10-7,1,1,0,0.00,0,100.0%,0.00,0,0,,0
18,1996,1996-10-06,5,24.362,BUF,,IND,W 16-13,,0,0,,0,0.0%,,,,,
19,1996,1996-10-13,6,25.003,BUF,,MIA,L 7-21,,0,0,,0,0.0%,,,,,
20,1996,1996-10-20,7,25.010,BUF,@,NYJ,W 25-22,,0,0,,0,0.0%,,,,,
21,1996,1996-10-27,8,25.017,BUF,@,NWE,L 25-28,0,0,0,,0,0.0%,,,,,
22,1996,1996-11-03,9,25.024,BUF,,WAS,W 38-13,,0,0,,0,0.0%,,,,,
23,1996,1996-11-10,10,25.031,BUF,@,PHI,W 24-17,1,0,0,,0,0.0%,0.00,,,,
24,1996,1996-11-17,11,25.038,BUF,,CIN,W 31-17,,0,0,,0,0.0%,,,,,
25,1996,1996-11-24,12,25.045,BUF,,NYJ,W 35-10,,0,0,,0,0.0%,,,,,
26,1996,1996-12-01,13,25.052,BUF,@,IND,L 10-13,,0,0,,0,0.0%,,,,,
27,1996,1996-12-08,14,25.059,BUF,@,SEA,L 18-26,,0,0,,0,0.0%,,,,,
28,1996,1996-12-16,15,25.067,BUF,@,MIA,L 14-16,,0,0,,0,0.0%,,,,,
29,1996,1996-12-22,16,25.073,BUF,,KAN,W 20-9,0,0,0,,0,0.0%,,,,,
30,1997,1997-08-31,1,25.325,BUF,,MIN,L 13-34,,,,,,0.0%,,,,,
31,1997,1997-09-07,2,25.332,BUF,@,NYJ,W 28-22,,,,,,0.0%,,,,,
32,1997,1997-09-14,3,25.339,BUF,@,KAN,L 16-22,,,,,,0.0%,,,,,
33,1997,1997-09-21,4,25.346,BUF,,IND,W 37-35,,,,,,0.0%,,,,,
34,1997,1997-10-05,5,25.360,BUF,,DET,W 22-13,,,,,,0.0%,,,,,
35,1997,1997-10-12,6,26.002,BUF,@,NWE,L 6-33,,,,,,0.0%,,,,,
36,1997,1997-10-20,7,26.010,BUF,@,IND,W 9-6,,,,,,0.0%,,,,,
37,1997,1997-10-26,8,26.016,BUF,,DEN,L 20-23,,,,,,0.0%,,,,,
38,1997,1997-11-02,9,26.023,BUF,,MIA,W 9-6,,,,,,0.0%,,,,,
39,1997,1997-11-09,10,26.030,BUF,,NWE,L 10-31,,,,,,0.0%,,,,,
40,1997,1997-11-17,11,26.038,BUF,@,MIA,L 13-30,,,,,,0.0%,,,,,
41,1997,1997-11-23,12,26.044,BUF,@,TEN,L 14-31,,,,,,0.0%,,,,,
42,1997,1997-11-30,13,26.051,BUF,,NYJ,W 20-10,,,,,,0.0%,,,,,
43,1997,1997-12-07,14,26.058,BUF,@,CHI,L 3-20,,,,,,0.0%,,,,,
44,1997,1997-12-14,15,26.065,BUF,,JAX,L 14-20,,,,,,0.0%,,,,,
45,1997,1997-12-20,16,26.071,BUF,@,GNB,L 21-31,,,,,,0.0%,,,,,
