ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,tackles_solo,tackles_assists
1,2011,2011-09-11,1,23.235,CHI,,ATL,W 30-12,,,,,,,0.0%,,,,,,,,
2,2011,2011-09-18,2,23.242,CHI,@,NOR,L 13-30,,,,,,,0.0%,,,,,,,,
3,2011,2011-09-25,3,23.249,CHI,,GNB,L 17-27,,,,,,,0.0%,,,,,,,,
4,2011,2011-10-02,4,23.256,CHI,,CAR,W 34-29,,,,,,,0.0%,,,,,,,,
5,2011,2011-10-10,5,23.264,CHI,@,DET,L 13-24,,,,,,,0.0%,,,,,,,,
6,2011,2011-10-16,6,23.270,CHI,,MIN,W 39-10,,,0,0,,0,0.0%,,1,0,0.00,0,0.0,0,0
7,2011,2011-10-23,7,23.277,CHI,@,TAM,W 24-18,,,,,,,0.0%,,,,,,,,
8,2011,2011-11-07,8,23.292,CHI,@,PHI,W 30-24,,,,,,,0.0%,,,,,,,,
9,2012,2012-09-09,1,24.234,CHI,,IND,W 41-21,,1,1,17,17.00,0,100.0%,17.00,0,0,,0,0.0,0,0
10,2012,2012-09-23,3,24.248,CHI,,STL,W 23-6,,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0.0,0,0
11,2012,2012-10-01,4,24.256,CHI,@,DAL,W 34-18,*,,,,,,0.0%,,,,,,,,
12,2012,2012-10-07,5,24.262,CHI,@,JAX,W 41-3,,1,0,0,,0,0.0%,0.00,0,0,,0,0.0,0,0
13,2012,2012-10-22,6,24.277,CHI,,DET,W 13-7,,1,0,0,,0,0.0%,0.00,0,0,,0,0.0,0,0
14,2012,2012-10-28,7,24.283,CHI,,CAR,W 23-22,*,0,0,0,,0,0.0%,,1,8,8.00,0,0.0,0,0
15,2012,2012-11-04,8,24.290,CHI,@,TEN,W 51-20,,,,,,,0.0%,,,,,,,,
16,2012,2012-11-11,9,24.297,CHI,,HOU,L 6-13,,1,1,7,7.00,0,100.0%,7.00,1,15,15.00,0,0.0,0,0
17,2012,2012-11-19,10,24.305,CHI,@,SFO,L 7-32,,,,,,,0.0%,,,,,,,,
18,2012,2012-11-25,11,24.311,CHI,,MIN,W 28-10,,,,,,,0.0%,,,,,,,,
19,2012,2012-12-02,12,24.318,CHI,,SEA,L 17-23,,,,,,,0.0%,,,,,,,,
20,2012,2012-12-09,13,24.325,CHI,@,MIN,L 14-21,,3,1,9,9.00,0,33.3%,3.00,0,0,,0,0.0,0,0
21,2012,2012-12-16,14,24.332,CHI,,GNB,L 13-21,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
22,2012,2012-12-23,15,24.339,CHI,@,ARI,W 28-13,,,,,,,0.0%,,,,,,,,
23,2012,2012-12-30,16,24.346,CHI,@,DET,W 26-24,,0,0,0,,0,0.0%,,1,15,15.00,0,0.0,0,0
24,2013,2013-09-08,1,25.232,CHI,,CIN,W 24-21,,,0,0,,0,0.0%,,0,0,,0,0.0,1,0
25,2013,2013-12-01,12,25.316,TAM,@,CAR,L 6-27,,,,,,,0.0%,,,,,,,,
26,2013,2013-12-08,13,25.323,TAM,,BUF,W 27-6,,,,,,,0.0%,,,,,,,,
27,2013,2013-12-15,14,25.330,TAM,,SFO,L 14-33,*,,,,,,0.0%,,,,,,,,
28,2013,2013-12-22,15,25.337,TAM,@,STL,L 13-23,,,,,,,0.0%,,,,,,,,
29,2013,2013-12-29,16,25.344,TAM,@,NOR,L 17-42,,,,,,,0.0%,,,,,,,,
