ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1993,1993-12-05,12,23.333,MIN,@,DET,W 13-0,,,,,,0.0%,,,,,
2,1993,1993-12-12,13,23.340,MIN,,DAL,L 20-37,,,,,,0.0%,,,,,
3,1993,1993-12-26,15,23.354,MIN,,KAN,W 30-10,,,,,,0.0%,,,,,
4,1993,1993-12-31,16,23.359,MIN,@,WAS,W 14-9,,,,,,0.0%,,,,,
5,1994,1994-09-04,1,24.241,MIN,@,GNB,L 10-16,,,,,,0.0%,,,,,
6,1994,1994-09-11,2,24.248,MIN,,DET,W 10-3,,,,,,0.0%,,,,,
7,1994,1994-10-10,6,24.277,MIN,@,NYG,W 27-10,,,,,,0.0%,,,,,
8,1994,1994-10-20,7,24.287,MIN,,GNB,W 13-10,,,,,,0.0%,,,,,
9,1994,1994-10-30,8,24.297,MIN,@,TAM,W 36-13,,,,,,0.0%,,,,,
10,1994,1994-11-06,9,24.304,MIN,,NOR,W 21-20,,,,,,0.0%,,,,,
11,1994,1994-11-13,10,24.311,MIN,@,NWE,L 20-26,,,,,,0.0%,,,,,
12,1994,1994-11-20,11,24.318,MIN,,NYJ,L 21-31,,,,,,0.0%,,,,,
13,1994,1994-11-27,12,24.325,MIN,,TAM,L 17-20,,,,,,0.0%,,,,,
14,1994,1994-12-01,13,24.329,MIN,,CHI,W 33-27,,,,,,0.0%,,,,,
15,1994,1994-12-11,14,24.339,MIN,@,BUF,W 21-17,,,,,,0.0%,,,,,
16,1994,1994-12-17,15,24.345,MIN,@,DET,L 19-41,,,,,,0.0%,,,,,
17,1994,1994-12-26,16,24.354,MIN,,SFO,W 21-14,,,,,,0.0%,,,,,
18,1995,1995-09-03,1,25.240,MIN,@,CHI,L 14-31,,0,0,,0,0.0%,,0,0,,0
19,1995,1995-09-10,2,25.247,MIN,,DET,W 20-10,,0,0,,0,0.0%,,0,0,,0
20,1995,1995-09-17,3,25.254,MIN,,DAL,L 17-23,,0,0,,0,0.0%,,0,0,,0
21,1995,1995-09-24,4,25.261,MIN,@,PIT,W 44-24,,0,0,,0,0.0%,,0,0,,0
22,1995,1995-10-08,5,25.275,MIN,,HOU,W 23-17,,0,0,,0,0.0%,,0,0,,0
23,1995,1995-10-15,6,25.282,MIN,@,TAM,L 17-20,0,0,0,,0,0.0%,,1,19,19.00,0
24,1995,1995-10-22,7,25.289,MIN,@,GNB,L 21-38,,0,0,,0,0.0%,,0,0,,0
25,1995,1995-10-30,8,25.297,MIN,,CHI,L 6-14,,0,0,,0,0.0%,,0,0,,0
26,1995,1995-11-05,9,25.303,MIN,,GNB,W 27-24,,0,0,,0,0.0%,,0,0,,0
27,1995,1995-11-12,10,25.310,MIN,@,ARI,W 30-24,,0,0,,0,0.0%,,0,0,,0
28,1995,1995-11-19,11,25.317,MIN,,NOR,W 43-24,,0,0,,0,0.0%,,0,0,,0
29,1995,1995-11-23,12,25.321,MIN,@,DET,L 38-44,0,0,0,,0,0.0%,,0,0,,0
30,1995,1995-12-03,13,25.331,MIN,,TAM,W 31-17,1,1,3,3.00,0,100.0%,3.00,0,0,,0
31,1995,1995-12-09,14,25.337,MIN,,CLE,W 27-11,0,0,0,,0,0.0%,,0,0,,0
32,1995,1995-12-18,15,25.346,MIN,@,SFO,L 30-37,,0,0,,0,0.0%,,0,0,,0
33,1995,1995-12-24,16,25.352,MIN,@,CIN,L 24-27,,0,0,,0,0.0%,,0,0,,0
34,1996,1996-09-01,1,26.239,MIN,,DET,W 17-13,0,,,,,0.0%,,0,0,,0
35,1996,1996-09-08,2,26.246,MIN,@,ATL,W 23-17,,,,,,0.0%,,0,0,,0
36,1996,1996-09-15,3,26.253,MIN,@,CHI,W 20-14,0,,,,,0.0%,,0,0,,0
37,1996,1996-09-22,4,26.260,MIN,,GNB,W 30-21,,,,,,0.0%,,0,0,,0
