ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,sacks,tackles_solo,tackles_assists
1,2004,2004-09-19,2,23.069,CLE,@,DAL,L 12-19,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0.0,,
2,2004,2004-12-05,12,23.146,CLE,,NWE,L 15-42,*,20,34,58.82,277,2,2,80.1,3,36,8.15,6.68,1,11,11.00,0,0.0,,
3,2004,2004-12-12,13,23.153,CLE,@,BUF,L 7-37,*,8,20,40.00,62,1,2,25.4,6,65,3.10,-0.40,2,11,5.50,0,0.0,,
4,2004,2004-12-19,14,23.160,CLE,,SDG,L 0-21,*,11,27,40.74,108,0,1,37.3,1,3,4.00,2.33,1,4,4.00,0,0.0,,
5,2004,2004-12-26,15,23.167,CLE,@,MIA,L 7-10,*,9,16,56.25,161,1,2,72.1,2,18,10.06,5.69,2,-1,-0.50,0,0.0,,
6,2007,2007-09-09,1,26.059,TAM,@,SEA,L 6-20,,1,4,25.00,9,0,0,39.6,2,5,2.25,2.25,1,9,9.00,0,0.0,,
7,2007,2007-12-02,12,26.143,TAM,@,NOR,W 27-23,*,29,37,78.38,313,2,1,108.7,3,19,8.46,8.32,2,34,17.00,0,0.0,,
8,2007,2007-12-09,13,26.150,TAM,@,HOU,L 14-28,*,25,38,65.79,266,0,0,86.1,4,32,7.00,7.00,2,10,5.00,0,0.0,,
9,2007,2007-12-23,15,26.164,TAM,@,SFO,L 19-21,,18,32,56.25,185,1,1,70.4,2,8,5.78,5.00,2,17,8.50,0,0.0,,
10,2007,2007-12-30,16,26.171,TAM,,CAR,L 23-31,*,21,28,75.00,236,2,1,108.6,4,40,8.43,8.25,5,47,9.40,0,0.0,,
11,2008,2008-10-12,6,27.092,TAM,,CAR,W 27-3,,0,0,,0,0,0,,0,,,,1,-1,-1.00,0,0.0,0,0
12,2008,2008-12-21,15,27.162,TAM,,SDG,L 24-41,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,2,16,8.00,0,0.0,0,0
13,2009,2009-10-11,5,28.091,JAX,@,SEA,L 0-41,,1,1,100.00,2,0,0,79.2,1,3,2.00,2.00,0,0,,0,0.0,0,0
14,2009,2009-11-01,7,28.112,JAX,@,TEN,L 13-30,,0,2,0.00,0,0,0,39.6,1,4,0.00,0.00,0,0,,0,0.0,0,0
15,2009,2009-12-27,15,28.168,JAX,@,NWE,L 7-35,,,,,,,,,0,,,,,,,,,,
16,2010,2010-09-19,2,29.069,JAX,@,SDG,L 13-38,,11,19,57.89,120,0,0,76.6,0,0,6.32,6.32,1,4,4.00,0,0.0,0,0
17,2011,2011-09-11,1,30.061,JAX,,TEN,W 16-14,*,17,24,70.83,175,0,0,91.5,2,15,7.29,7.29,5,10,2.00,0,0.0,0,0
