ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,2000,2000-09-03,1,21.354,MIA,,SEA,W 23-0,,0,0,,0,3,13,4.33,0
2,2000,2000-09-24,4,22.009,MIA,,NWE,W 10-3,,0,0,,0,2,18,9.00,0
3,2001,2001-09-30,3,23.015,MIA,@,STL,L 10-42,,,,,,,,,
4,2001,2001-10-28,6,23.043,MIA,@,SEA,W 24-20,,,,,,,,,
5,2001,2001-11-25,11,23.071,NWE,,NOR,W 34-17,,2,33,16.50,0,0,0,,0
6,2001,2001-12-02,12,23.078,NWE,@,NYJ,W 17-16,,5,90,18.00,0,0,0,,0
7,2002,2002-09-09,1,23.359,NWE,,PIT,W 30-14,,,,,,,,,
8,2002,2002-09-15,2,24.000,NWE,@,NYJ,W 44-7,,,,,,,,,
9,2002,2002-09-22,3,24.007,NWE,,KAN,W 41-38,,,,,,,,,
10,2002,2002-09-29,4,24.014,NWE,@,SDG,L 14-21,,,,,,,,,
11,2002,2002-10-06,5,24.021,NWE,@,MIA,L 13-26,,,,,,,,,
12,2002,2002-10-13,6,24.028,NWE,,GNB,L 10-28,,,,,,,,,
13,2002,2002-11-03,8,24.049,NWE,@,BUF,W 38-7,,,,,,,,,
