ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2010,2010-11-14,9,23.346,CAR,@,TAM,L 16-31,,3,7,2.33,1,0,0,0,,0,0.0%,,1,6,0.0,0,0
2,2010,2010-11-21,10,23.353,CAR,,BAL,L 13-37,,,,,,,,,,,0.0%,,,,,,
3,2010,2010-11-28,11,23.360,CAR,@,CLE,L 23-24,,0,0,,0,,0,0,,0,0.0%,,0,0,0.0,0,1
4,2011,2011-11-20,10,24.352,CAR,@,DET,L 35-49,,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
5,2011,2011-11-27,11,24.359,CAR,@,IND,W 27-19,,,,,,,,,,,0.0%,,,,,,
6,2011,2011-12-04,12,25.001,CAR,@,TAM,W 38-19,,0,0,,0,,0,0,,0,0.0%,,0,0,0.0,0,2
7,2011,2011-12-11,13,25.008,CAR,,ATL,L 23-31,,,,,,,,,,,0.0%,,,,,,
8,2011,2011-12-18,14,25.015,CAR,@,HOU,W 28-13,,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
9,2011,2011-12-24,15,25.021,CAR,,TAM,W 48-16,,7,24,3.43,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
10,2011,2012-01-01,16,25.029,CAR,@,NOR,L 17-45,,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
11,2013,2013-09-22,3,26.293,ATL,@,MIA,L 23-27,,,,,,0,,,,,0.0%,,,,,,
12,2013,2013-09-29,4,26.300,ATL,,NWE,L 23-30,,,,,,,,,,,0.0%,,,,,,
13,2013,2013-10-07,5,26.308,ATL,,NYJ,L 28-30,,,,,,,,,,,0.0%,,,,,,
14,2013,2013-10-20,6,26.321,ATL,,TAM,W 31-23,,,,,,,,,,,0.0%,,,,,,
15,2013,2013-10-27,7,26.328,ATL,@,ARI,L 13-27,,,,,,,,,,,0.0%,,,,,,
16,2013,2013-11-17,10,26.349,ATL,@,TAM,L 28-41,,1,1,1.00,0,1,1,-5,-5.00,0,100.0%,-5.00,0,0,0.0,0,0
