ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,two_pt_md,all_td,scoring
1,2015,2015-11-08,9,21.157,PIT,,OAK,W 38-35,,2,2,13,6.50,1,100.0%,6.50,,1,6
2,2015,2015-11-15,10,21.164,PIT,,CLE,W 30-9,*,1,1,2,2.00,0,100.0%,2.00,,0,0
3,2015,2015-11-29,11,21.178,PIT,@,SEA,L 30-39,,2,1,8,8.00,0,50.0%,4.00,1,0,2
4,2015,2015-12-06,12,21.185,PIT,,IND,W 45-10,*,5,3,30,10.00,0,60.0%,6.00,,0,0
5,2015,2015-12-13,13,21.192,PIT,@,CIN,W 33-20,,0,0,0,,0,0.0%,,,0,0
6,2015,2015-12-20,14,21.199,PIT,,DEN,W 34-27,,0,0,0,,0,0.0%,,,0,0
7,2015,2015-12-27,15,21.206,PIT,@,BAL,L 17-20,,1,1,3,3.00,0,100.0%,3.00,,0,0
8,2015,2016-01-03,16,21.213,PIT,@,CLE,W 28-12,,0,0,0,,0,0.0%,,,0,0
9,2016,2016-09-12,1,22.100,PIT,@,WAS,W 38-16,*,7,5,31,6.20,0,71.4%,4.43,,0,0
10,2016,2016-09-18,2,22.106,PIT,,CIN,W 24-16,*,5,3,29,9.67,1,60.0%,5.80,,1,6
11,2016,2016-09-25,3,22.113,PIT,@,PHI,L 3-34,*,4,2,10,5.00,0,50.0%,2.50,,0,0
12,2016,2016-10-02,4,22.120,PIT,,KAN,W 43-14,*,2,2,15,7.50,1,100.0%,7.50,,1,6
13,2016,2016-10-09,5,22.127,PIT,,NYJ,W 31-13,*,8,6,43,7.17,1,75.0%,5.38,,1,6
14,2016,2016-10-16,6,22.134,PIT,@,MIA,L 15-30,*,3,2,13,6.50,0,66.7%,4.33,,0,0
15,2016,2016-10-23,7,22.141,PIT,,NWE,L 16-27,*,2,2,18,9.00,0,100.0%,9.00,,0,0
16,2016,2016-11-06,8,22.155,PIT,@,BAL,L 14-21,*,4,2,13,6.50,0,50.0%,3.25,,0,0
17,2016,2016-11-13,9,22.162,PIT,,DAL,L 30-35,*,4,4,59,14.75,0,100.0%,14.75,,0,0
18,2016,2016-11-20,10,22.169,PIT,@,CLE,W 24-9,*,4,1,5,5.00,0,25.0%,1.25,,0,0
19,2016,2016-11-24,11,22.173,PIT,@,IND,W 28-7,*,1,0,0,,0,0.0%,0.00,,0,0
20,2016,2016-12-04,12,22.183,PIT,,NYG,W 24-14,*,4,3,32,10.67,0,75.0%,8.00,,0,0
21,2016,2016-12-11,13,22.190,PIT,@,BUF,W 27-20,,3,1,5,5.00,0,33.3%,1.67,,0,0
22,2016,2016-12-18,14,22.197,PIT,@,CIN,W 24-20,,1,0,0,,0,0.0%,0.00,,0,0
23,2016,2016-12-25,15,22.204,PIT,,BAL,W 31-27,*,5,4,49,12.25,0,80.0%,9.80,,0,0
24,2016,2017-01-01,16,22.211,PIT,,CLE,W 27-24,,3,2,16,8.00,0,66.7%,5.33,,0,0
25,2017,2017-09-10,1,23.098,PIT,@,CLE,W 21-18,*,8,6,41,6.83,2,75.0%,5.13,,2,12
26,2017,2017-09-17,2,23.105,PIT,,MIN,W 26-9,*,5,4,27,6.75,0,80.0%,5.40,,0,0
27,2017,2017-09-24,3,23.112,PIT,@,CHI,L 17-23,*,4,2,19,9.50,0,50.0%,4.75,,0,0
28,2017,2017-10-01,4,23.119,PIT,@,BAL,W 26-9,,3,3,40,13.33,0,100.0%,13.33,,0,0
29,2017,2017-10-08,5,23.126,PIT,,JAX,L 9-30,*,5,3,24,8.00,0,60.0%,4.80,,0,0
30,2017,2017-10-15,6,23.133,PIT,@,KAN,W 19-13,*,0,0,0,,0,0.0%,,,0,0
31,2017,2017-10-22,7,23.140,PIT,,CIN,W 29-14,*,0,0,0,,0,0.0%,,,0,0
32,2017,2017-10-29,8,23.147,PIT,@,DET,W 20-15,*,3,2,42,21.00,0,66.7%,14.00,,0,0
33,2017,2017-11-12,9,23.161,PIT,@,IND,W 20-17,,2,0,0,,0,0.0%,0.00,,0,0
34,2017,2017-11-16,10,23.165,PIT,,TEN,W 40-17,*,8,5,21,4.20,1,62.5%,2.63,,1,6
35,2017,2017-11-26,11,23.175,PIT,,GNB,W 31-28,*,4,3,32,10.67,0,75.0%,8.00,,0,0
36,2017,2017-12-04,12,23.183,PIT,@,CIN,W 23-20,*,1,1,13,13.00,0,100.0%,13.00,,0,0
37,2017,2017-12-10,13,23.189,PIT,,BAL,W 39-38,*,12,10,97,9.70,0,83.3%,8.08,,0,0
38,2017,2017-12-17,14,23.196,PIT,,NWE,L 24-27,*,5,2,7,3.50,0,40.0%,1.40,,0,0
39,2017,2017-12-25,15,23.204,PIT,@,HOU,W 34-6,*,1,0,0,,0,0.0%,0.00,,0,0
40,2017,2017-12-31,16,23.210,PIT,,CLE,W 28-24,*,2,2,9,4.50,0,100.0%,4.50,,0,0
41,2018,2018-09-09,1,24.097,PIT,@,CLE,T 21-21,*,5,3,60,20.00,0,60.0%,12.00,,0,0
42,2018,2018-09-16,2,24.104,PIT,,KAN,L 37-42,*,5,5,138,27.60,1,100.0%,27.60,,1,6
43,2018,2018-09-24,3,24.112,PIT,@,TAM,W 30-27,,1,1,7,7.00,0,100.0%,7.00,,0,0
