ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1981,1981-09-06,1,22.261,SFO,@,DET,L 17-24,0,0,,0,0,0,,0,,,,,,
2,1981,1981-09-13,2,22.268,SFO,,CHI,W 28-17,0,0,,0,0,0,,0,,,,,,
3,1981,1981-09-20,3,22.275,SFO,@,ATL,L 17-34,2,34,17.00,0,1,22,22.00,0,0,0,,0,0,0
4,1981,1981-09-27,4,22.282,SFO,,NOR,W 21-14,0,0,,0,0,0,,0,,,,,,
5,1981,1981-10-04,5,22.289,SFO,@,WAS,W 30-17,0,0,,0,0,0,,0,,,,,,
6,1981,1981-10-11,6,22.296,SFO,,DAL,W 45-14,2,22,11.00,0,0,0,,0,0,0,,0,0,0
7,1981,1981-10-18,7,22.303,SFO,@,GNB,W 13-3,0,0,,0,0,0,,0,,,,,,
8,1981,1981-10-25,8,22.310,SFO,,RAM,W 20-17,1,5,5.00,0,1,8,8.00,0,0,0,,0,0,0
9,1981,1981-11-01,9,22.317,SFO,@,PIT,W 17-14,0,0,,0,2,37,18.50,0,0,0,,0,0,0
10,1981,1981-11-08,10,22.324,SFO,,ATL,W 17-14,0,0,,0,0,0,,0,,,,,,
11,1981,1981-11-15,11,22.331,SFO,,CLE,L 12-15,0,0,,0,0,0,,0,,,,,,
12,1981,1981-11-22,12,22.338,SFO,@,RAM,W 33-31,0,0,,0,0,0,,0,,,,,,
13,1981,1981-11-29,13,22.345,SFO,,NYG,W 17-10,0,0,,0,0,0,,0,,,,,,
14,1981,1981-12-06,14,22.352,SFO,@,CIN,W 21-3,2,28,14.00,0,0,0,,0,0,0,,0,0,0
15,1981,1981-12-13,15,22.359,SFO,,HOU,W 28-6,2,36,18.00,1,0,0,,0,0,0,,0,1,6
16,1981,1981-12-20,16,23.001,SFO,@,NOR,W 21-17,0,0,,0,0,0,,0,,,,,,
17,1982,1982-11-21,3,23.337,SFO,@,STL,W 31-20,0,0,,0,,,,,,,,,,
18,1982,1982-12-02,5,23.348,SFO,@,RAM,W 30-24,2,43,21.50,0,0,0,,0,0,0,,0,0,0
19,1982,1982-12-11,6,23.357,SFO,,SDG,L 37-41,1,5,5.00,0,0,0,,0,0,0,,0,0,0
20,1982,1982-12-19,7,24.000,SFO,,ATL,L 7-17,1,8,8.00,0,0,0,,0,0,0,,0,0,0
21,1982,1982-12-26,8,24.007,SFO,@,KAN,W 26-13,0,0,,0,,,,,,,,,,
22,1982,1983-01-02,9,24.014,SFO,,RAM,L 20-21,2,24,12.00,1,0,0,,0,0,0,,0,1,6
23,1983,1983-09-03,1,24.258,SFO,,PHI,L 17-22,0,0,,0,,,,,,,,,,
24,1983,1983-09-08,2,24.263,SFO,@,MIN,W 48-17,1,49,49.00,0,0,0,,0,0,0,,0,0,0
25,1983,1983-09-18,3,24.273,SFO,@,STL,W 42-27,1,3,3.00,0,0,0,,0,0,0,,0,0,0
26,1983,1983-09-25,4,24.280,SFO,,ATL,W 24-20,1,14,14.00,0,0,0,,0,0,0,,0,0,0
27,1983,1983-10-02,5,24.287,SFO,@,NWE,W 33-13,1,4,4.00,0,0,0,,0,0,0,,0,0,0
28,1983,1983-10-09,6,24.294,SFO,,RAM,L 7-10,1,10,10.00,0,0,0,,0,0,0,,0,0,0
29,1983,1983-10-23,8,24.308,SFO,@,RAM,W 45-35,2,29,14.50,0,0,0,,0,0,0,,0,0,0
30,1983,1983-10-30,9,24.315,SFO,,NYJ,L 13-27,2,51,25.50,0,0,0,,0,0,0,,0,0,0
31,1983,1983-11-06,10,24.322,SFO,,MIA,L 17-20,3,65,21.67,0,0,0,,0,0,0,,0,0,0
32,1983,1983-11-13,11,24.329,SFO,,NOR,W 27-0,4,31,7.75,0,0,0,,0,0,0,,0,0,0
33,1983,1983-11-20,12,24.336,SFO,@,ATL,L 24-28,4,50,12.50,0,0,0,,0,0,0,,0,0,0
34,1983,1983-11-27,13,24.343,SFO,@,CHI,L 3-13,6,81,13.50,0,0,0,,0,0,0,,0,0,0
35,1983,1983-12-04,14,24.350,SFO,,TAM,W 35-21,3,29,9.67,0,0,0,,0,0,0,,0,0,0
36,1983,1983-12-11,15,24.357,SFO,@,BUF,W 23-10,0,0,,0,,,,,,,,,,
