ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,safety_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2013,2013-09-15,2,23.304,DET,@,ARI,L 21-25,,,,,,,
2,2013,2013-09-29,4,23.318,DET,,CHI,W 40-32,,,0,0,0.0,0,0
3,2013,2013-10-06,5,23.325,DET,@,GNB,L 9-22,,,0,0,0.0,2,0
4,2013,2013-10-13,6,23.332,DET,@,CLE,W 31-17,,,0,0,1.0,2,1
5,2013,2013-10-20,7,23.339,DET,,CIN,L 24-27,,,0,0,0.0,1,1
6,2013,2013-10-27,8,23.346,DET,,DAL,W 31-30,,,0,0,0.0,1,0
7,2013,2013-11-10,9,23.360,DET,@,CHI,W 21-19,*,,0,0,0.0,0,0
8,2013,2013-11-17,10,24.002,DET,@,PIT,L 27-37,*,,,,,,
9,2013,2013-11-24,11,24.009,DET,,TAM,L 21-24,,,,,,,
10,2013,2013-11-28,12,24.013,DET,,GNB,W 40-10,,,0,0,1.5,2,1
11,2013,2013-12-08,13,24.023,DET,@,PHI,L 20-34,,,,,,,
12,2013,2013-12-16,14,24.031,DET,,BAL,L 16-18,,,0,0,0.0,0,1
13,2013,2013-12-22,15,24.037,DET,,NYG,L 20-23,,,0,0,0.0,1,0
14,2013,2013-12-29,16,24.044,DET,@,MIN,L 13-14,,,0,0,0.0,0,1
15,2014,2014-09-08,1,24.297,DET,,NYG,W 35-14,,,0,0,0.0,0,0
16,2014,2014-09-14,2,24.303,DET,@,CAR,L 7-24,,,0,0,0.0,1,3
17,2014,2014-09-21,3,24.310,DET,,GNB,W 19-7,,,,,,,
18,2014,2014-09-28,4,24.317,DET,@,NYJ,W 24-17,,,0,0,0.0,1,0
19,2014,2014-10-05,5,24.324,DET,,BUF,L 14-17,,,0,0,0.0,1,0
20,2014,2014-10-12,6,24.331,DET,@,MIN,W 17-3,,,,,,,
21,2014,2014-10-19,7,24.338,DET,,NOR,W 24-23,,,,,,,
22,2014,2014-10-26,8,24.345,DET,@,ATL,W 22-21,,,0,0,0.0,2,0
23,2014,2014-11-09,9,24.359,DET,,MIA,W 20-16,,,0,0,0.0,1,1
24,2014,2014-11-16,10,25.001,DET,@,ARI,L 6-14,,,0,0,0.0,2,0
25,2014,2014-11-23,11,25.008,DET,@,NWE,L 9-34,,,,,,,
26,2014,2014-11-27,12,25.012,DET,,CHI,W 34-17,,,,,,,
27,2014,2014-12-07,13,25.022,DET,,TAM,W 34-17,,,0,0,0.0,0,0
28,2014,2014-12-14,14,25.029,DET,,MIN,W 16-14,,,0,0,1.0,2,0
29,2014,2014-12-21,15,25.036,DET,@,CHI,W 20-14,,,,,,,
30,2014,2014-12-28,16,25.043,DET,@,GNB,L 20-30,,,0,0,0.0,1,0
31,2015,2015-09-13,1,25.302,DET,@,SDG,L 28-33,,,0,0,0.0,2,2
32,2015,2015-09-27,3,25.316,DET,,DEN,L 12-24,,,0,0,1.0,2,0
33,2015,2015-10-05,4,25.324,DET,@,SEA,L 10-13,,,0,0,0.5,1,2
34,2015,2015-10-11,5,25.330,DET,,ARI,L 17-42,,,0,0,0.0,0,0
35,2015,2015-10-18,6,25.337,DET,,CHI,W 37-34,,,0,0,0.0,2,0
36,2015,2015-10-25,7,25.344,DET,,MIN,L 19-28,,,0,0,0.0,3,1
37,2015,2015-11-01,8,25.351,DET,@,KAN,L 10-45,,,0,0,1.0,3,1
38,2015,2015-11-15,9,26.000,DET,@,GNB,W 18-16,,,0,0,0.0,0,0
39,2015,2015-11-22,10,26.007,DET,,OAK,W 18-13,,,0,0,0.0,0,0
40,2015,2015-11-26,11,26.011,DET,,PHI,W 45-14,,,0,0,0.5,3,1
41,2015,2015-12-03,12,26.018,DET,,GNB,L 23-27,,,0,0,2.0,3,0
42,2015,2015-12-13,13,26.028,DET,@,STL,L 14-21,,,0,0,0.0,1,0
43,2015,2015-12-21,14,26.036,DET,@,NOR,W 35-27,,,0,0,0.0,1,0
44,2015,2015-12-27,15,26.042,DET,,SFO,W 32-17,,,0,0,1.0,3,0
45,2015,2016-01-03,16,26.049,DET,@,CHI,W 24-20,,,0,0,1.0,3,1
46,2016,2016-09-11,1,26.301,DET,@,IND,W 39-35,*,,0,0,0.0,4,2
47,2016,2016-09-18,2,26.308,DET,,TEN,L 15-16,*,1,0,2,1.5,4,3
48,2016,2016-09-25,3,26.315,DET,@,GNB,L 27-34,*,,0,0,0.0,0,1
49,2016,2016-10-02,4,26.322,DET,@,CHI,L 14-17,*,,0,0,0.0,0,0
50,2016,2016-10-09,5,26.329,DET,,PHI,W 24-23,*,,0,0,1.0,3,0
51,2016,2016-10-16,6,26.336,DET,,LAR,W 31-28,*,,0,0,1.0,2,0
