ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1975,1975-09-21,1,23.055,DET,@,GNB,W 30-16,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,23,23.00,0,0,0,,0,0,0
2,1975,1975-09-28,2,23.062,DET,@,ATL,W 17-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,52,26.00,0,0,0,,0,0,0
3,1975,1975-10-06,3,23.070,DET,,DAL,L 10-36,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,4,82,20.50,0,0,0,,0,0,0
4,1975,1975-10-12,4,23.076,DET,,CHI,W 27-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,27,27.00,0,0,0,,0,0,0
5,1975,1975-10-19,5,23.083,DET,@,MIN,L 19-25,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,69,23.00,0,0,0,,0,0,0
6,1975,1975-10-26,6,23.090,DET,@,HOU,L 8-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1975,1975-11-02,7,23.097,DET,@,SFO,W 28-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1975,1975-11-09,8,23.104,DET,,CLE,W 21-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1975,1975-11-16,9,23.111,DET,,GNB,W 13-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1975,1975-11-23,10,23.118,DET,@,KAN,L 21-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1975,1975-11-27,11,23.122,DET,,RAM,L 0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1975,1975-12-07,12,23.132,DET,@,CHI,L 21-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1975,1975-12-14,13,23.139,DET,,MIN,W 17-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,18,18.00,0,0,0,,0,0,0
14,1975,1975-12-21,14,23.146,DET,,STL,L 13-24,0,0,,0,1,-12,-12.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
15,1976,1976-09-12,1,24.046,DET,@,CHI,L 3-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1976,1976-09-19,2,24.053,DET,,ATL,W 24-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1976,1976-09-26,3,24.060,DET,,MIN,L 9-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1976,1976-10-03,4,24.067,DET,@,GNB,L 14-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1976,1976-10-10,5,24.074,DET,,NWE,W 30-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1976,1976-10-17,6,24.081,DET,@,WAS,L 7-20,1,12,12.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
21,1976,1976-10-24,7,24.088,DET,@,SEA,W 41-14,1,21,21.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
22,1976,1976-10-31,8,24.095,DET,,GNB,W 27-6,0,0,,0,1,0,0.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
23,1976,1976-11-07,9,24.102,DET,@,MIN,L 23-31,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,34,17.00,0,0,0,,0,0,0
24,1976,1976-11-14,10,24.109,DET,@,NOR,L 16-17,1,19,19.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,21,21.00,0,0,0,,0,0,0
25,1976,1976-11-21,11,24.116,DET,,CHI,W 14-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1976,1976-11-25,12,24.120,DET,,BUF,W 27-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,32,32.00,0,0,0,,0,0,0
27,1976,1976-12-05,13,24.130,DET,@,NYG,L 10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1976,1976-12-11,14,24.136,DET,,RAM,L 17-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,-1,-1.00,0,0,0,,0,0,0
29,1977,1977-09-18,1,25.052,DET,@,CHI,L 20-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1977,1977-09-25,2,25.059,DET,,NOR,W 23-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1977,1977-10-02,3,25.066,DET,,PHI,W 17-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1977,1977-10-09,4,25.073,DET,@,MIN,L 7-14,1,18,18.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
33,1977,1977-10-16,5,25.080,DET,,GNB,W 10-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1977,1977-10-23,6,25.087,DET,@,SFO,L 7-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1977,1977-10-30,7,25.094,DET,@,DAL,L 0-37,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,15,15.00,0,0,0,,0,0,0
36,1977,1977-11-06,8,25.101,DET,,SDG,W 20-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1977,1977-11-13,9,25.108,DET,@,ATL,L 6-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,9,9.00,0,0,0,,0,0,0
38,1977,1977-11-20,10,25.115,DET,,TAM,W 16-7,1,7,7.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
39,1977,1977-11-24,11,25.119,DET,,CHI,L 14-31,0,0,,0,2,6,3.00,0,0,0,,0,0,0,,0,0,,,2,46,23.00,0,0,0,,0,0,0
40,1977,1977-12-04,12,25.129,DET,@,GNB,L 9-10,2,-3,-1.50,0,18,76,4.22,1,0,0,,0,0,0,,0,0,,,1,14,14.00,0,0,0,,0,1,6
41,1977,1977-12-11,13,25.136,DET,@,BAL,W 13-10,1,0,0.00,0,6,9,1.50,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,,0,0,0
42,1977,1977-12-17,14,25.142,DET,,MIN,L 21-30,2,20,10.00,0,5,0,0.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
43,1978,1978-09-03,1,26.037,DET,,GNB,L 7-13,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,53,26.50,0,2,15,7.50,0,0,0
44,1978,1978-09-09,2,26.043,DET,@,TAM,W 15-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,52,26.00,0,0,0,,0,0,0
45,1978,1978-09-17,3,26.051,DET,,CHI,L 0-19,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,49,24.50,0,0,0,,0,0,0
46,1978,1978-09-24,4,26.058,DET,@,SEA,L 16-28,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,4,4.00,0,0,0
47,1978,1978-10-01,5,26.065,DET,@,GNB,L 14-35,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,14,14.00,0,0,0,,0,0,0
48,1978,1978-10-08,6,26.072,DET,,WAS,L 19-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1978,1978-10-15,7,26.079,DET,@,ATL,L 0-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1978,1978-10-22,8,26.086,DET,,SDG,W 31-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1978,1978-10-29,9,26.093,DET,@,CHI,W 21-17,,,,,,,,,,,,,,,,,,,,0,10,,0,,,,,,
52,1978,1978-11-05,10,26.100,DET,@,MIN,L 7-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,1978,1978-11-12,11,26.107,DET,,TAM,W 34-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,1978,1978-11-19,12,26.114,DET,@,OAK,L 17-29,2,41,20.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
55,1978,1978-11-23,13,26.118,DET,,DEN,W 17-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,1978,1978-12-03,14,26.128,DET,@,STL,L 14-21,3,33,11.00,1,1,7,7.00,0,0,0,,0,0,0,,0,0,,,1,29,29.00,0,0,0,,0,1,6
57,1978,1978-12-09,15,26.134,DET,,MIN,W 45-14,5,93,18.60,3,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,3,18
58,1978,1978-12-17,16,26.142,DET,,SFO,W 33-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,1979,1979-09-01,1,27.035,DET,@,TAM,L 16-31,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,81,40.50,0,2,27,13.50,0,0,0
60,1979,1979-09-09,2,27.043,DET,,WAS,L 24-27,2,40,20.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
61,1979,1979-09-16,3,27.050,DET,@,NYJ,L 10-31,0,0,,0,1,11,11.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,0,0.00,0,0,0
62,1979,1979-09-23,4,27.057,DET,,ATL,W 24-23,4,55,13.75,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,11,11.00,0,3,65,21.67,0,0,0
63,1979,1979-09-30,5,27.064,DET,,MIN,L 10-13,4,34,8.50,0,1,16,16.00,0,0,0,,0,0,0,,0,0,,,1,19,19.00,0,0,0,,0,0,0
64,1979,1979-10-07,6,27.071,DET,@,NWE,L 17-24,2,98,49.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,18,9.00,0,2,25,12.50,0,0,0
65,1979,1979-10-14,7,27.078,DET,@,GNB,L 16-24,2,56,28.00,1,1,7,7.00,0,0,0,,0,0,0,,0,0,,,0,22,,0,0,,,0,1,6
66,1979,1979-10-21,8,27.085,DET,@,NOR,L 7-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,1979,1979-10-28,9,27.092,DET,,BUF,L 17-20,1,36,36.00,0,1,-1,-1.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
68,1979,1979-11-04,10,27.099,DET,@,CHI,L 7-35,2,28,14.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
