ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2010,2010-09-19,2,22.268,DEN,,SEA,W 31-14,,9,8,97,12.13,1,88.9%,10.78,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0.0,0,0
2,2010,2010-09-26,3,22.275,DEN,,IND,L 13-27,,6,2,43,21.50,0,33.3%,7.17,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,1,0
3,2010,2010-10-03,4,22.282,DEN,@,TEN,W 26-20,,4,1,9,9.00,0,25.0%,2.25,0,0,,0,0,0,,0,0,0,,,,,,4,144,36.00,0,,0,0,0.0,0,0
4,2010,2010-10-10,5,22.289,DEN,@,BAL,L 17-31,*,2,2,12,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,0,0,,,,,,1,21,21.00,0,,0,0,0.0,0,0
5,2010,2010-10-17,6,22.296,DEN,,NYJ,L 20-24,,4,1,17,17.00,1,25.0%,4.25,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0.0,0,0
6,2010,2010-10-24,7,22.303,DEN,,OAK,L 14-59,,1,1,6,6.00,0,100.0%,6.00,1,1,1.00,0,0,0,,0,0,0,,,,,,1,3,3.00,0,,0,0,0.0,1,0
7,2010,2010-10-31,8,22.310,DEN,@,SFO,L 16-24,,1,1,31,31.00,0,100.0%,31.00,1,0,0.00,0,0,0,,0,0,0,,,,,,5,114,22.80,0,,0,0,0.0,0,0
8,2010,2010-11-14,9,22.324,DEN,,KAN,W 49-29,,5,3,51,17.00,0,60.0%,10.20,0,0,,0,0,0,,0,0,0,,,,,,2,68,34.00,0,,0,0,0.0,0,0
9,2010,2010-11-22,10,22.332,DEN,@,SDG,L 14-35,*,5,3,17,5.67,0,60.0%,3.40,0,0,,0,0,0,,0,0,0,,,,,,3,48,16.00,0,,0,0,0.0,0,1
10,2010,2011-01-02,16,23.008,DEN,,SDG,L 28-33,,2,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2011,2011-10-23,6,23.302,DEN,@,MIA,W 18-15,,10,3,27,9.00,1,30.0%,2.70,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
12,2011,2011-10-30,7,23.309,DEN,,DET,L 10-45,*,3,1,10,10.00,0,33.3%,3.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
13,2011,2011-11-06,8,23.316,DEN,@,OAK,W 38-24,,2,1,29,29.00,0,50.0%,14.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
14,2011,2011-11-13,9,23.323,DEN,@,KAN,W 17-10,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2011,2011-11-17,10,23.327,DEN,,NYJ,W 17-13,*,6,2,37,18.50,0,33.3%,6.17,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
16,2011,2011-11-27,11,23.337,DEN,@,SDG,W 16-13,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
17,2011,2011-12-04,12,23.344,DEN,@,MIN,W 35-32,,7,4,144,36.00,2,57.1%,20.57,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,2,12,0.0,0,0
18,2011,2011-12-11,13,23.351,DEN,,CHI,W 13-10,*,13,7,78,11.14,1,53.8%,6.00,1,5,5.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
19,2011,2011-12-18,14,23.358,DEN,,NWE,L 23-41,*,13,7,116,16.57,0,53.8%,8.92,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,,0,0,0.0,0,0
