ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1995,1995-09-04,1,22.180,DAL,@,NYG,W 35-0,,0,0,,0,0.0%,,0,0,,0
2,1995,1995-09-10,2,22.186,DAL,,DEN,W 31-21,,0,0,,0,0.0%,,0,0,,0
3,1995,1995-09-17,3,22.193,DAL,@,MIN,W 23-17,,0,0,,0,0.0%,,0,0,,0
4,1995,1995-09-24,4,22.200,DAL,,ARI,W 34-20,2,1,8,8.00,0,50.0%,4.00,0,0,,0
5,1995,1995-10-01,5,22.207,DAL,@,WAS,L 23-27,0,0,0,,0,0.0%,,1,-6,-6.00,0
6,1995,1995-10-08,6,22.214,DAL,,GNB,W 34-24,,0,0,,0,0.0%,,0,0,,0
7,1995,1995-10-15,7,22.221,DAL,@,SDG,W 23-9,,0,0,,0,0.0%,,0,0,,0
8,1995,1995-10-29,8,22.235,DAL,@,ATL,W 28-13,0,0,0,,0,0.0%,,0,0,,0
9,1995,1995-11-06,9,22.243,DAL,,PHI,W 34-12,,0,0,,0,0.0%,,0,0,,0
10,1995,1995-11-12,10,22.249,DAL,,SFO,L 20-38,,0,0,,0,0.0%,,0,0,,0
11,1995,1995-11-19,11,22.256,DAL,@,OAK,W 34-21,0,0,0,,0,0.0%,,0,0,,0
12,1995,1995-11-23,12,22.260,DAL,,KAN,W 24-12,,0,0,,0,0.0%,,0,0,,0
13,1995,1995-12-03,13,22.270,DAL,,WAS,L 17-24,,0,0,,0,0.0%,,0,0,,0
14,1995,1995-12-10,14,22.277,DAL,@,PHI,L 17-20,,0,0,,0,0.0%,,0,0,,0
15,1995,1995-12-17,15,22.284,DAL,,NYG,W 21-20,,0,0,,0,0.0%,,0,0,,0
16,1995,1995-12-25,16,22.292,DAL,@,ARI,W 37-13,,0,0,,0,0.0%,,0,0,,0
