ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2006,2006-09-24,3,23.157,PHI,@,SFO,W 38-24,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,,
2,2006,2006-10-02,4,23.165,PHI,,GNB,W 31-9,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,,
3,2006,2006-10-08,5,23.171,PHI,,DAL,W 38-24,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,,
4,2006,2006-10-15,6,23.178,PHI,@,NOR,L 24-27,*,3,1,7,7.00,0,33.3%,2.33,0,0,,0,0,0,,0,,0,0,0.0,,
5,2006,2006-10-22,7,23.185,PHI,@,TAM,L 21-23,,2,2,21,10.50,0,100.0%,10.50,0,0,,0,0,0,,0,,0,0,0.0,,
6,2006,2006-10-29,8,23.192,PHI,,JAX,L 6-13,*,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,,
7,2006,2006-11-26,11,23.220,PHI,@,IND,L 21-45,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,,
8,2006,2006-12-31,16,23.255,PHI,,ATL,W 24-17,,6,4,40,10.00,1,66.7%,6.67,0,0,,0,0,0,,0,,1,6,0.0,,
9,2007,2007-09-09,1,24.142,PHI,@,GNB,L 13-16,,4,3,54,18.00,1,75.0%,13.50,0,0,,0,0,0,,0,,1,6,0.0,,
10,2007,2007-09-17,2,24.150,PHI,,WAS,L 12-20,,5,5,55,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,,0,0,0.0,,
11,2007,2007-09-23,3,24.156,PHI,,DET,W 56-21,*,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,,0,0,0.0,,
12,2007,2007-09-30,4,24.163,PHI,@,NYG,L 3-16,*,4,1,12,12.00,0,25.0%,3.00,0,0,,0,0,0,,0,,0,0,0.0,,
13,2007,2007-10-14,5,24.177,PHI,@,NYJ,W 16-9,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,,
14,2007,2007-10-21,6,24.184,PHI,,CHI,L 16-19,,3,2,15,7.50,0,66.7%,5.00,0,0,,0,0,0,,0,,0,0,0.0,,
15,2007,2007-10-28,7,24.191,PHI,@,MIN,W 23-16,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,,
16,2007,2007-11-11,9,24.205,PHI,@,WAS,W 33-25,*,2,2,27,13.50,0,100.0%,13.50,0,0,,0,0,0,,0,,0,0,0.0,,
17,2007,2007-11-18,10,24.212,PHI,,MIA,W 17-7,,2,1,4,4.00,1,50.0%,2.00,0,0,,0,0,0,,0,,1,6,0.0,,
18,2007,2007-11-25,11,24.219,PHI,@,NWE,L 28-31,,2,1,21,21.00,0,50.0%,10.50,1,1,1.00,0,0,0,,0,,0,0,0.0,,
19,2007,2007-12-02,12,24.226,PHI,,SEA,L 24-28,*,,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,,
20,2007,2007-12-09,13,24.233,PHI,,NYG,L 13-16,,2,1,5,5.00,0,50.0%,2.50,0,0,,0,0,0,,0,,0,0,0.0,,
21,2007,2007-12-16,14,24.240,PHI,@,DAL,W 10-6,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,,
22,2007,2007-12-23,15,24.247,PHI,@,NOR,W 38-23,,4,4,35,8.75,0,100.0%,8.75,0,0,,0,0,0,,0,,0,0,0.0,,
23,2007,2007-12-30,16,24.254,PHI,,BUF,W 17-9,,2,2,30,15.00,0,100.0%,15.00,0,0,,0,0,0,,0,,0,0,0.0,,
24,2008,2008-09-07,1,25.140,PHI,,STL,W 38-3,,4,3,45,15.00,0,75.0%,11.25,0,0,,0,0,0,,0,,0,0,0.0,0,0
25,2008,2008-09-15,2,25.148,PHI,@,DAL,L 37-41,,4,2,28,14.00,0,50.0%,7.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
26,2008,2008-09-21,3,25.154,PHI,,PIT,W 15-6,,4,2,24,12.00,0,50.0%,6.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
27,2008,2008-09-28,4,25.161,PHI,@,CHI,L 20-24,,5,4,29,7.25,0,80.0%,5.80,0,0,,0,0,0,,0,,0,0,0.0,0,0
28,2008,2008-10-05,5,25.168,PHI,,WAS,L 17-23,*,3,1,3,3.00,0,33.3%,1.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
29,2008,2008-10-12,6,25.175,PHI,@,SFO,W 40-26,*,2,1,17,17.00,0,50.0%,8.50,0,0,,0,0,0,,0,,0,0,0.0,0,0
30,2008,2008-10-26,7,25.189,PHI,,ATL,W 27-14,,1,,,,,0.0%,,,,,,,,,,,,,,,
31,2008,2008-11-09,9,25.203,PHI,,NYG,L 31-36,*,4,2,25,12.50,1,50.0%,6.25,0,0,,0,0,0,,0,,1,6,0.0,0,0
32,2008,2008-11-16,10,25.210,PHI,@,CIN,T 13-13,,5,3,32,10.67,0,60.0%,6.40,0,0,,0,0,0,,0,,0,0,0.0,0,0
33,2008,2008-11-23,11,25.217,PHI,@,BAL,L 7-36,*,5,2,23,11.50,0,40.0%,4.60,0,0,,0,1,13,13.00,0,,0,0,0.0,1,0
34,2008,2008-11-27,12,25.221,PHI,,ARI,W 48-20,*,6,4,25,6.25,1,66.7%,4.17,0,0,,0,0,0,,0,,1,6,0.0,0,0
35,2008,2008-12-07,13,25.231,PHI,@,NYG,W 20-14,,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
36,2008,2008-12-15,14,25.239,PHI,,CLE,W 30-10,,6,5,101,20.20,0,83.3%,16.83,0,0,,0,0,0,,0,,0,0,0.0,0,0
37,2008,2008-12-21,15,25.245,PHI,@,WAS,L 3-10,*,6,2,16,8.00,0,33.3%,2.67,0,0,,0,0,0,,0,,0,0,0.0,0,0
38,2008,2008-12-28,16,25.252,PHI,,DAL,W 44-6,,1,,,,,0.0%,,,,,,,,,,,,,,,
39,2009,2009-09-13,1,26.146,PHI,@,CAR,W 38-10,,1,1,18,18.00,0,100.0%,18.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
40,2009,2009-09-20,2,26.153,PHI,,NOR,L 22-48,,8,7,79,11.29,1,87.5%,9.88,0,0,,0,0,0,,0,,1,6,0.0,0,0
41,2009,2009-09-27,3,26.160,PHI,,KAN,W 34-14,*,4,2,14,7.00,0,50.0%,3.50,0,0,,0,0,0,,0,,0,0,0.0,0,0
42,2009,2009-10-11,4,26.174,PHI,,TAM,W 33-14,,2,1,12,12.00,0,50.0%,6.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
43,2009,2009-10-18,5,26.181,PHI,@,OAK,L 9-13,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
44,2009,2009-10-26,6,26.189,PHI,@,WAS,W 27-17,,1,,,,,0.0%,,,,,,,,,,,,,,,
45,2009,2009-11-01,7,26.195,PHI,,NYG,W 40-17,*,2,2,32,16.00,0,100.0%,16.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
46,2009,2009-11-08,8,26.202,PHI,,DAL,L 16-20,*,2,2,43,21.50,0,100.0%,21.50,0,0,,0,0,0,,0,,0,0,0.0,0,0
47,2009,2009-11-15,9,26.209,PHI,@,SDG,L 23-31,,9,8,156,19.50,0,88.9%,17.33,0,0,,0,0,0,,0,,0,0,0.0,0,0
48,2009,2009-11-22,10,26.216,PHI,@,CHI,W 24-20,,5,4,26,6.50,1,80.0%,5.20,0,0,,0,0,0,,0,,1,6,0.0,0,0
49,2009,2009-11-29,11,26.223,PHI,,WAS,W 27-24,*,6,5,94,18.80,0,83.3%,15.67,0,0,,0,0,0,,0,,0,0,0.0,0,0
50,2009,2009-12-06,12,26.230,PHI,@,ATL,W 34-7,*,5,3,36,12.00,0,60.0%,7.20,0,0,,0,0,0,,0,,0,0,0.0,0,0
51,2009,2009-12-13,13,26.237,PHI,@,NYG,W 45-38,*,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,1,0,2,0.0,0,0
52,2009,2009-12-20,14,26.244,PHI,,SFO,W 27-13,*,5,3,44,14.67,0,60.0%,8.80,0,0,,0,0,0,,0,,0,0,0.0,0,0
53,2009,2009-12-27,15,26.251,PHI,,DEN,W 30-27,*,2,2,25,12.50,1,100.0%,12.50,0,0,,0,0,0,,0,,1,6,0.0,0,0
54,2009,2010-01-03,16,26.258,PHI,@,DAL,L 0-24,*,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
55,2010,2010-09-12,1,27.145,PHI,,GNB,L 20-27,*,7,4,41,10.25,0,57.1%,5.86,0,0,,0,0,0,,0,,0,0,0.0,0,0
56,2010,2010-09-19,2,27.152,PHI,@,DET,W 35-32,*,5,3,33,11.00,0,60.0%,6.60,0,0,,0,0,0,,0,,0,0,0.0,0,0
57,2010,2010-09-26,3,27.159,PHI,@,JAX,W 28-3,,1,,,,,0.0%,,,,,,,,,,,,,,,
58,2010,2010-10-03,4,27.166,PHI,,WAS,L 12-17,,6,4,31,7.75,0,66.7%,5.17,0,0,,0,0,0,,0,,0,0,0.0,0,0
59,2010,2010-10-10,5,27.173,PHI,@,SFO,W 27-24,,2,2,13,6.50,0,100.0%,6.50,0,0,,0,0,0,,0,,0,0,0.0,0,0
60,2010,2010-10-17,6,27.180,PHI,,ATL,W 31-17,,5,5,62,12.40,0,100.0%,12.40,0,0,,0,0,0,,0,,0,0,0.0,0,0
61,2010,2010-10-24,7,27.187,PHI,@,TEN,L 19-37,*,8,6,60,10.00,0,75.0%,7.50,0,0,,0,0,0,,0,,0,0,0.0,0,0
62,2010,2010-11-07,8,27.201,PHI,,IND,W 26-24,,5,2,41,20.50,0,40.0%,8.20,0,0,,0,0,0,,0,,0,0,0.0,0,0
