ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring
1,1983,1983-09-04,1,23.234,ATL,@,CHI,W 20-17,3,32,10.67,0,0,0
2,1983,1983-09-11,2,23.241,ATL,,NYG,L 13-16,0,0,,0,,
3,1983,1983-09-18,3,23.248,ATL,@,DET,W 30-14,2,23,11.50,1,1,6
4,1983,1983-09-25,4,23.255,ATL,@,SFO,L 20-24,0,0,,0,,
5,1983,1983-10-02,5,23.262,ATL,,PHI,L 24-28,1,19,19.00,0,0,0
6,1983,1983-10-09,6,23.269,ATL,,NOR,L 17-19,0,0,,0,,
7,1983,1983-10-16,7,23.276,ATL,@,RAM,L 21-27,0,0,,0,,
8,1983,1983-10-23,8,23.283,ATL,@,NYJ,W 27-21,0,0,,0,,
9,1983,1983-11-14,11,23.305,ATL,,RAM,L 13-36,0,0,,0,,
10,1983,1983-12-04,14,23.325,ATL,@,WAS,L 21-37,0,0,,0,,
11,1983,1983-12-10,15,23.331,ATL,@,MIA,L 24-31,0,0,,0,,
