ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring
1,1967,1967-11-05,8,23.307,CHI,@,DET,W 27-13,1,11,11.00,0,0,0,,0,0,0
2,1967,1967-11-12,9,23.314,CHI,,NYG,W 34-7,2,8,4.00,0,0,0,,0,0,0
3,1967,1967-11-19,10,23.321,CHI,,STL,W 30-3,2,24,12.00,0,0,0,,0,0,0
4,1967,1967-11-26,11,23.328,CHI,,GNB,L 13-17,3,21,7.00,0,0,0,,0,0,0
5,1967,1967-12-03,12,23.335,CHI,@,SFO,W 28-14,1,10,10.00,0,0,0,,0,0,0
6,1967,1967-12-10,13,23.342,CHI,,MIN,T 10-10,2,23,11.50,0,0,0,,0,0,0
7,1967,1967-12-17,14,23.349,CHI,@,ATL,W 23-14,1,16,16.00,0,0,0,,0,0,0
8,1968,1968-09-15,1,24.257,CHI,,WAS,L 28-38,4,29,7.25,0,0,0,,0,0,0
9,1968,1968-09-22,2,24.264,CHI,@,DET,L 0-42,2,26,13.00,0,0,0,,0,0,0
10,1968,1968-10-13,5,24.285,CHI,,DET,L 10-28,3,35,11.67,0,0,0,,0,0,0
11,1968,1968-10-20,6,24.292,CHI,@,PHI,W 29-16,2,17,8.50,0,0,0,,0,0,0
12,1968,1968-11-10,9,24.313,CHI,,SFO,W 27-19,4,55,13.75,0,0,0,,0,0,0
13,1968,1968-11-17,10,24.320,CHI,,ATL,L 13-16,2,6,3.00,0,0,0,,0,0,0
14,1968,1968-12-01,12,24.334,CHI,@,NOR,W 23-17,3,53,17.67,2,0,0,,0,2,12
15,1968,1968-12-08,13,24.341,CHI,@,RAM,W 17-16,2,20,10.00,0,0,0,,0,0,0
16,1968,1968-12-15,14,24.348,CHI,,GNB,L 27-28,1,6,6.00,0,1,-1,-1.00,0,0,0
17,1969,1969-09-21,1,25.262,CHI,@,GNB,L 0-17,1,8,8.00,0,0,0,,0,0,0
18,1969,1969-09-28,2,25.269,CHI,@,STL,L 17-20,7,63,9.00,0,0,0,,0,0,0
19,1969,1969-10-05,3,25.276,CHI,@,NYG,L 24-28,4,41,10.25,1,0,0,,0,1,6
20,1969,1969-10-12,4,25.283,CHI,,MIN,L 0-31,1,5,5.00,0,0,0,,0,0,0
21,1969,1969-10-19,5,25.290,CHI,@,DET,L 7-13,1,11,11.00,0,0,0,,0,0,0
22,1969,1969-10-26,6,25.297,CHI,,RAM,L 7-9,2,6,3.00,0,0,0,,0,0,0
23,1969,1969-11-02,7,25.304,CHI,@,MIN,L 14-31,1,29,29.00,0,0,0,,0,0,0
24,1969,1969-11-09,8,25.311,CHI,,PIT,W 38-7,1,9,9.00,0,0,0,,0,0,0
25,1969,1969-11-16,9,25.318,CHI,@,ATL,L 31-48,0,0,,0,1,4,4.00,0,0,0
26,1969,1969-11-23,10,25.325,CHI,,BAL,L 21-24,1,9,9.00,0,0,0,,0,0,0
27,1969,1969-12-21,14,25.353,CHI,,DET,L 3-20,3,22,7.33,0,0,0,,0,0,0
28,1970,1970-09-20,1,26.261,BUF,,DEN,L 10-25,,,,,,,,,,
29,1970,1970-09-27,2,26.268,BUF,,RAM,L 0-19,1,15,15.00,0,0,0,,0,0,0
30,1970,1970-10-04,3,26.275,BUF,,NYJ,W 34-31,1,16,16.00,0,0,0,,0,0,0
31,1970,1970-10-11,4,26.282,BUF,@,PIT,L 10-23,,,,,,,,,,
32,1970,1970-10-18,5,26.289,BUF,,MIA,L 14-33,1,3,3.00,0,0,0,,0,0,0
33,1970,1970-10-25,6,26.296,BUF,@,NYJ,W 10-6,,,,,,,,,,
34,1970,1970-11-01,7,26.303,BUF,@,BOS,W 45-10,,,,,,,,,,
35,1970,1970-11-08,8,26.310,BUF,,CIN,L 14-43,4,66,16.50,0,0,0,,0,0,0
36,1970,1970-11-15,9,26.317,BUF,@,BAL,T 17-17,,,,,,,,,,
37,1970,1970-11-22,10,26.324,BUF,@,CHI,L 13-31,1,16,16.00,0,0,0,,0,0,0
38,1970,1970-11-29,11,26.331,BUF,,BOS,L 10-14,2,42,21.00,0,0,0,,0,0,0
39,1970,1970-12-06,12,26.338,BUF,@,NYG,L 6-20,1,10,10.00,0,0,0,,0,0,0
40,1970,1970-12-13,13,26.345,BUF,,BAL,L 14-20,1,2,2.00,0,0,0,,0,0,0
41,1970,1970-12-20,14,26.352,BUF,@,MIA,L 7-45,2,31,15.50,0,0,0,,0,0,0
42,1971,1971-10-10,4,27.281,BUF,,BAL,L 0-43,,,,,,,,,,
