ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2006,2006-09-17,2,23.017,NOR,@,GNB,W 34-27,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,28,14.00,0,,0,0,0.0,,
2,2006,2006-09-25,3,23.025,NOR,,ATL,W 23-3,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,11,11.00,0,,0,0,0.0,,
3,2006,2006-10-01,4,23.031,NOR,@,CAR,L 18-21,,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,3,1.50,0,,0,0,0.0,,
4,2006,2006-10-08,5,23.038,NOR,,TAM,W 24-21,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,3,3.00,0,,0,0,0.0,,
5,2007,2007-09-06,1,24.006,NOR,@,IND,L 10-41,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,3,65,21.67,0,1,30,30.00,0,,0,0,0.0,,
6,2007,2007-09-16,2,24.016,NOR,@,TAM,L 14-31,,5,3,46,15.33,0,60.0%,9.20,0,0,,0,0,0,,0,0,0,,,,,,3,50,16.67,0,0,0,,0,,0,0,0.0,,
7,2007,2007-09-24,3,24.024,NOR,,TEN,L 14-31,,10,6,54,9.00,0,60.0%,5.40,0,0,,0,0,0,,0,0,0,,,,,,3,54,18.00,0,0,0,,0,,0,0,0.0,,
8,2007,2007-10-07,4,24.037,NOR,,CAR,L 13-16,,4,3,32,10.67,0,75.0%,8.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,11,5.50,0,,0,0,0.0,,
9,2007,2007-10-14,5,24.044,NOR,@,SEA,W 28-17,*,4,3,35,11.67,0,75.0%,8.75,1,7,7.00,1,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,1,6,0.0,,
10,2007,2007-10-21,6,24.051,NOR,,ATL,W 22-16,,2,1,10,10.00,0,50.0%,5.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,55,27.50,0,,0,0,0.0,,
