ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,2004,2004-09-26,3,23.311,CLE,@,NYG,L 10-27,,5,91,18.20,0,0,0
2,2004,2004-11-07,8,23.353,CLE,@,BAL,L 13-27,,6,197,32.83,1,1,6
3,2004,2004-11-14,9,23.360,CLE,,PIT,L 10-24,,4,90,22.50,0,0,0
4,2004,2004-11-21,10,24.001,CLE,,NYJ,L 7-10,,3,77,25.67,0,0,0
5,2004,2004-11-28,11,24.008,CLE,@,CIN,L 48-58,,10,212,21.20,0,0,0
6,2004,2004-12-05,12,24.015,CLE,,NWE,L 15-42,,6,137,22.83,0,0,0
7,2004,2004-12-12,13,24.022,CLE,@,BUF,L 7-37,,6,119,19.83,0,0,0
8,2004,2004-12-19,14,24.029,CLE,,SDG,L 0-21,,3,42,14.00,0,0,0
9,2004,2004-12-26,15,24.036,CLE,@,MIA,L 7-10,,3,51,17.00,0,0,0
