ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2012,2012-09-09,1,22.363,IND,@,CHI,L 21-41,*,23,45,51.11,309,1,3,52.9,3,16,6.87,4.31,2,9,4.50,0,0,0,0.0,0,0
2,2012,2012-09-16,2,23.004,IND,,MIN,W 23-20,*,20,31,64.52,224,2,0,107.5,2,30,7.23,8.52,4,21,5.25,0,0,0,0.0,0,0
3,2012,2012-09-23,3,23.011,IND,,JAX,L 17-22,*,22,46,47.83,313,2,1,75.7,0,0,6.80,6.70,4,50,12.50,0,0,0,0.0,0,0
4,2012,2012-10-07,4,23.025,IND,,GNB,W 30-27,*,31,55,56.36,362,2,1,81.0,4,17,6.58,6.49,6,24,4.00,1,1,6,0.0,0,0
5,2012,2012-10-14,5,23.032,IND,@,NYJ,L 9-35,*,22,44,50.00,280,0,2,51.3,4,23,6.36,4.32,1,-1,-1.00,0,0,0,0.0,0,0
6,2012,2012-10-21,6,23.039,IND,,CLE,W 17-13,*,16,29,55.17,186,0,0,74.8,3,13,6.41,6.41,3,12,4.00,2,2,12,0.0,0,0
7,2012,2012-10-28,7,23.046,IND,@,TEN,W 19-13,*,26,38,68.42,297,1,1,89.5,2,11,7.82,7.16,6,28,4.67,0,0,0,0.0,0,0
8,2012,2012-11-04,8,23.053,IND,,MIA,W 23-20,*,30,48,62.50,433,2,0,105.6,1,14,9.02,9.85,1,5,5.00,0,0,0,0.0,0,0
9,2012,2012-11-08,9,23.057,IND,@,JAX,W 27-10,*,18,26,69.23,227,0,1,80.1,2,6,8.73,7.00,7,11,1.57,2,2,12,0.0,0,0
10,2012,2012-11-18,10,23.067,IND,@,NWE,L 24-59,*,27,50,54.00,334,2,3,63.2,1,5,6.68,4.78,1,4,4.00,0,0,0,0.0,0,0
