ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1989,1989-09-10,1,23.167,KAN,@,DEN,L 20-34,4,57,14.25,0,0,0,,0,0,0,,0
2,1989,1989-09-17,2,23.174,KAN,,RAI,W 24-19,0,0,,0,0,0,,0,0,0,,0
3,1989,1989-09-24,3,23.181,KAN,@,SDG,L 6-21,0,0,,0,0,0,,0,1,17,17.00,0
4,1989,1989-11-12,10,23.230,KAN,,DEN,L 13-16,1,12,12.00,0,0,0,,0,3,16,5.33,0
5,1989,1989-11-19,11,23.237,KAN,@,CLE,T 10-10,0,0,,0,1,19,19.00,0,6,36,6.00,0
6,1989,1989-11-26,12,23.244,KAN,,HOU,W 34-0,0,0,,0,1,21,21.00,0,3,28,9.33,0
7,1989,1989-12-03,13,23.251,KAN,,MIA,W 26-21,0,0,,0,1,27,27.00,0,0,0,,0
8,1989,1989-12-10,14,23.258,KAN,@,GNB,W 21-3,0,0,,0,2,46,23.00,0,2,16,8.00,0
9,1989,1989-12-17,15,23.265,KAN,,SDG,L 13-20,0,0,,0,0,0,,0,2,10,5.00,0
10,1989,1989-12-24,16,23.272,KAN,@,MIA,W 27-24,0,0,,0,0,0,,0,2,10,5.00,0
11,1990,1990-09-09,1,24.166,KAN,,MIN,W 24-21,0,0,,0,1,14,14.00,0,2,17,8.50,0
12,1990,1990-09-17,2,24.174,KAN,@,DEN,L 23-24,0,0,,0,1,30,30.00,0,1,0,0.00,0
13,1990,1990-09-23,3,24.180,KAN,@,GNB,W 17-3,0,0,,0,1,19,19.00,0,2,15,7.50,0
14,1990,1990-09-30,4,24.187,KAN,,CLE,W 34-0,0,0,,0,0,0,,0,4,58,14.50,0
15,1990,1990-10-07,5,24.194,KAN,@,IND,L 19-23,0,0,,0,2,49,24.50,0,3,5,1.67,0
16,1990,1990-10-14,6,24.201,KAN,,DET,W 43-24,0,0,,0,3,67,22.33,0,3,40,13.33,0
17,1990,1990-10-21,7,24.208,KAN,@,SEA,L 7-19,0,0,,0,2,36,18.00,0,2,15,7.50,0
18,1990,1990-11-04,8,24.222,KAN,,RAI,W 9-7,0,0,,0,0,0,,0,4,15,3.75,0
19,1990,1990-11-18,10,24.236,KAN,,SDG,W 27-10,0,0,,0,1,11,11.00,0,4,15,3.75,0
