ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,tackles_solo,tackles_assists
1,2006,2006-09-24,3,22.231,CAR,@,TAM,W 26-24,,,,,,,,
2,2006,2006-10-01,4,22.238,CAR,,NOR,W 21-18,,,,,,,,
3,2006,2006-10-08,5,22.245,CAR,,CLE,W 20-12,,,,,,,,
4,2006,2006-10-15,6,22.252,CAR,@,BAL,W 23-21,,,,,,,,
5,2006,2006-12-10,13,22.308,CAR,,NYG,L 13-27,,,,,,,,
6,2006,2006-12-17,14,22.315,CAR,,PIT,L 3-37,,,,,,,,
7,2006,2006-12-24,15,22.322,CAR,@,ATL,W 10-3,,,,,,,,
8,2006,2006-12-31,16,22.329,CAR,@,NOR,W 31-21,,,,,,,,
9,2008,2008-09-07,1,24.215,CAR,@,SDG,W 26-24,,1,0,0.00,0,0.0,0,0
10,2008,2008-09-14,2,24.222,CAR,,CHI,W 20-17,,,,,,,,
11,2008,2008-09-21,3,24.229,CAR,@,MIN,L 10-20,,0,0,,0,0.0,0,0
12,2008,2008-09-28,4,24.236,CAR,,ATL,W 24-9,,,,,,,,
13,2008,2008-10-05,5,24.243,CAR,,KAN,W 34-0,,0,0,,0,0.0,0,1
14,2008,2008-10-12,6,24.250,CAR,@,TAM,L 3-27,,0,0,,0,0.0,0,0
15,2008,2008-10-19,7,24.257,CAR,,NOR,W 30-7,,,,,,,,
16,2008,2008-10-26,8,24.264,CAR,,ARI,W 27-23,,,,,,,,
17,2008,2008-11-09,9,24.278,CAR,@,OAK,W 17-6,,,,,,,,
18,2008,2008-11-16,10,24.285,CAR,,DET,W 31-22,,,,,,,,
19,2008,2008-11-23,11,24.292,CAR,@,ATL,L 28-45,,,,,,,,
20,2008,2008-11-30,12,24.299,CAR,@,GNB,W 35-31,,0,0,,0,0.0,0,1
21,2008,2008-12-08,13,24.307,CAR,,TAM,W 38-23,,,,,,,,
22,2008,2008-12-14,14,24.313,CAR,,DEN,W 30-10,,,,,,,,
23,2008,2008-12-21,15,24.320,CAR,@,NYG,L 28-34,,0,0,,0,0.0,0,0
24,2008,2008-12-28,16,24.327,CAR,@,NOR,W 33-31,,0,0,,0,0.0,1,0
