ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1998,1998-09-06,1,21.286,CIN,,TEN,L 14-23,,,,,,,,,,,
2,1998,1998-09-13,2,21.293,CIN,@,DET,W 34-28,,,,,,,,,,,
3,1998,1998-09-20,3,21.300,CIN,,GNB,L 6-13,,,,,,,,,,,
4,1998,1998-09-27,4,21.307,CIN,@,BAL,L 24-31,,0,0,,0,0,0,1.0,0,0,0
5,1998,1998-10-11,5,21.321,CIN,,PIT,W 25-20,,,,,,,,,,,
6,1998,1998-10-18,6,21.328,CIN,@,TEN,L 14-44,,,,,,,,,,,
7,1998,1998-10-25,7,21.335,CIN,@,OAK,L 10-27,,,,,,,,,,,
8,1998,1998-11-01,8,21.342,CIN,,DEN,L 26-33,,,,,,,,,,,
9,1998,1998-11-08,9,21.349,CIN,@,JAX,L 11-24,,,,,,,,,,,
10,1998,1998-11-15,10,21.356,CIN,@,MIN,L 3-24,,0,0,,0,0,0,0.0,2,21,0
11,1998,1998-11-29,12,22.005,CIN,,JAX,L 17-34,,,,,,,,,,,
12,1998,1998-12-06,13,22.012,CIN,,BUF,L 20-33,,,,,,,,,,,
13,1998,1998-12-13,14,22.019,CIN,@,IND,L 26-39,,,,,,,,,,,
14,1998,1998-12-20,15,22.026,CIN,@,PIT,W 25-24,,0,0,,0,0,0,0.0,1,0,0
15,1998,1998-12-27,16,22.033,CIN,,TAM,L 0-35,,,,,,,,,,,
16,1999,1999-09-12,1,22.292,CIN,@,TEN,L 35-36,*,,,,,,,,,,
17,1999,1999-09-19,2,22.299,CIN,,SDG,L 7-34,*,,,,,,,,,,
18,1999,1999-09-26,3,22.306,CIN,@,CAR,L 3-27,*,,,,,,,,,,
19,1999,1999-10-03,4,22.313,CIN,,STL,L 10-38,*,,,,,,,,,,
20,1999,1999-10-10,5,22.320,CIN,@,CLE,W 18-17,*,,,,,,,,,,
21,1999,1999-10-17,6,22.327,CIN,,PIT,L 3-17,*,,,,,,,,,,
22,1999,1999-10-24,7,22.334,CIN,@,IND,L 10-31,*,,,,,,,,,,
