ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1980,1980-09-07,1,21.204,DEN,@,PHI,L 6-27,,,,,,,,,,,,,,
2,1980,1980-09-14,2,21.211,DEN,,DAL,W 41-20,,,,,,,,,,,,,,
3,1980,1980-09-21,3,21.218,DEN,,SDG,L 13-30,3,63,21.00,0,1,23,23.00,0,0,0,0.0,0,0,0
4,1980,1980-09-29,4,21.226,DEN,@,NWE,L 14-23,1,2,2.00,0,0,0,,0,0,0,0.0,0,0,0
5,1980,1980-10-05,5,21.232,DEN,@,CLE,W 19-16,3,49,16.33,0,0,0,,0,0,0,0.0,0,0,0
6,1980,1980-10-13,6,21.240,DEN,,WAS,W 20-17,1,20,20.00,0,0,0,,0,0,0,0.0,0,0,0
7,1980,1980-10-19,7,21.246,DEN,,KAN,L 17-23,,,,,,,,,,,,,,
8,1980,1980-10-26,8,21.253,DEN,@,NYG,W 14-9,1,18,18.00,0,0,0,,0,0,0,0.0,0,0,0
9,1980,1980-11-02,9,21.260,DEN,,HOU,L 16-20,1,6,6.00,0,0,0,,0,0,0,0.0,0,0,0
10,1980,1980-11-09,10,21.267,DEN,@,SDG,W 20-13,,,,,,,,,,,,,,
11,1980,1980-11-16,11,21.274,DEN,,NYJ,W 31-24,,,,,,,,,,,,,,
12,1980,1980-11-23,12,21.281,DEN,,SEA,W 36-20,,,,,,,,,,,,,,
13,1980,1980-12-01,13,21.289,DEN,@,OAK,L 3-9,,,,,,,,,,,,,,
14,1980,1980-12-07,14,21.295,DEN,@,KAN,L 14-31,2,56,28.00,0,0,0,,0,0,0,0.0,0,0,0
15,1980,1980-12-14,15,21.302,DEN,,OAK,L 21-24,0,0,,0,1,13,13.00,0,0,0,0.0,0,0,0
16,1980,1980-12-21,16,21.309,DEN,@,SEA,W 25-17,,,,,,,,,,,,,,
17,1981,1981-09-06,1,22.202,DEN,,OAK,W 9-7,0,0,,0,,,,,,,,,,
18,1981,1981-09-13,2,22.209,DEN,@,SEA,L 10-13,0,0,,0,,,,,,,,,,
19,1981,1981-09-20,3,22.216,DEN,,BAL,W 28-10,0,0,,0,,,,,,,,,,
20,1981,1981-09-27,4,22.223,DEN,,SDG,W 42-24,0,0,,0,,,,,,,,,,
21,1981,1981-10-04,5,22.230,DEN,@,OAK,W 17-0,0,0,,0,,,,,,,,,,
22,1981,1981-10-11,6,22.237,DEN,,DET,W 27-21,1,20,20.00,0,0,0,,0,0,0,0.0,0,0,0
23,1981,1981-10-18,7,22.244,DEN,@,KAN,L 14-28,0,0,,0,,,,,,,,,,
24,1981,1981-10-25,8,22.251,DEN,@,BUF,L 7-9,0,0,,0,,,,,,,,,,
25,1981,1981-11-02,9,22.259,DEN,,MIN,W 19-17,1,14,14.00,0,0,0,,0,0,0,0.0,0,0,0
26,1981,1981-11-08,10,22.265,DEN,,CLE,W 23-20,1,22,22.00,0,0,0,,0,0,0,0.0,0,0,0
27,1981,1981-11-15,11,22.272,DEN,@,TAM,W 24-7,0,0,,0,0,0,,0,0,0,0.0,2,34,0
28,1981,1981-11-22,12,22.279,DEN,@,CIN,L 21-38,0,0,,0,,,,,,,,,,
29,1981,1981-11-29,13,22.286,DEN,@,SDG,L 17-34,1,1,1.00,0,0,0,,0,0,0,0.0,0,0,0
30,1981,1981-12-06,14,22.293,DEN,,KAN,W 16-13,2,41,20.50,0,0,0,,0,0,0,0.0,0,0,0
31,1981,1981-12-13,15,22.300,DEN,,SEA,W 23-13,1,11,11.00,0,0,0,,0,0,0,0.0,0,0,0
32,1981,1981-12-20,16,22.307,DEN,@,CHI,L 24-35,4,69,17.25,0,0,0,,0,0,0,0.0,0,0,0
33,1982,1982-09-12,1,23.208,DEN,,SDG,L 3-23,,,,,,,,,,,,,,
34,1982,1982-09-19,2,23.215,DEN,,SFO,W 24-21,,,,,,,,,,,,,,
35,1982,1982-11-21,3,23.278,DEN,,SEA,L 10-17,0,0,,0,0,0,,0,0,0,0.0,1,0,0
36,1982,1982-11-28,4,23.285,DEN,@,SDG,L 20-30,,,,,,,,,,,,,,
37,1982,1982-12-05,5,23.292,DEN,,ATL,L 27-34,0,0,,0,0,0,,0,0,0,0.0,1,3,0
38,1983,1983-09-04,1,24.200,DEN,@,PIT,W 14-10,0,0,,0,,,,,,,,,,
39,1983,1983-09-11,2,24.207,DEN,@,BAL,W 17-10,1,9,9.00,0,0,0,,0,0,0,0.0,0,0,0
40,1983,1983-09-18,3,24.214,DEN,,PHI,L 10-13,0,0,,0,,,,,,,,,,
41,1983,1983-09-25,4,24.221,DEN,,RAI,L 7-22,0,0,,0,,,,,,,,,,
42,1983,1983-10-02,5,24.228,DEN,@,CHI,L 14-31,0,0,,0,0,0,,0,0,0,0.0,1,22,0
43,1983,1983-10-09,6,24.235,DEN,@,HOU,W 26-14,0,0,,0,,,,,,,,,,
44,1983,1983-10-16,7,24.242,DEN,,CIN,W 24-17,0,0,,0,0,0,,0,0,0,0.0,1,48,0
45,1983,1983-10-23,8,24.249,DEN,,SDG,W 14-6,0,0,,0,0,0,,0,0,0,0.0,1,29,0
46,1983,1983-10-30,9,24.256,DEN,,KAN,W 27-24,0,0,,0,0,0,,0,0,0,0.0,1,28,0
47,1983,1983-11-06,10,24.263,DEN,@,SEA,L 19-27,0,0,,0,,,,,,,,,,
48,1983,1983-11-13,11,24.270,DEN,@,RAI,L 20-22,0,0,,0,,,,,,,,,,
49,1983,1983-11-20,12,24.277,DEN,,SEA,W 38-27,0,0,,0,,,,,,,,,,
50,1983,1983-11-27,13,24.284,DEN,@,SDG,L 7-31,0,0,,0,,,,,,,,,,
51,1983,1983-12-11,15,24.298,DEN,,BAL,W 21-19,0,0,,0,,,,,,,,,,
52,1983,1983-12-18,16,24.305,DEN,@,KAN,L 17-48,0,0,,0,,,,,,,,,,
53,1984,1984-09-02,1,25.199,DEN,,CIN,W 20-17,0,0,,0,,,,,,,,,,
54,1984,1984-09-09,2,25.206,DEN,@,CHI,L 0-27,0,0,,0,,,,,,,,,,
55,1984,1984-09-16,3,25.213,DEN,@,CLE,W 24-14,0,0,,0,,,,,,,,,,
56,1984,1984-09-23,4,25.220,DEN,,KAN,W 21-0,0,0,,0,0,0,,0,1,6,0.0,1,45,1
57,1984,1984-09-30,5,25.227,DEN,,RAI,W 16-13,0,0,,0,0,0,,0,0,0,0.0,2,0,0
58,1984,1984-10-07,6,25.234,DEN,@,DET,W 28-7,0,0,,0,,,,,,,,,,
59,1984,1984-10-15,7,25.242,DEN,,GNB,W 17-14,0,0,,0,,,,,,,,,,
60,1984,1984-10-21,8,25.248,DEN,@,BUF,W 37-7,1,4,4.00,0,0,0,,0,0,0,0.0,0,0,0
61,1984,1984-10-28,9,25.255,DEN,@,RAI,W 22-19,0,0,,0,0,0,,0,0,0,0.0,1,34,0
62,1984,1984-11-04,10,25.262,DEN,,NWE,W 26-19,0,0,,0,,,,,,,,,,
63,1984,1984-11-11,11,25.269,DEN,@,SDG,W 16-13,0,0,,0,,,,,,,,,,
64,1984,1984-11-18,12,25.276,DEN,,MIN,W 42-21,0,0,,0,0,0,,0,0,0,0.0,1,0,0
65,1984,1984-11-25,13,25.283,DEN,,SEA,L 24-27,0,0,,0,,,,,,,,,,
66,1984,1984-12-02,14,25.290,DEN,@,KAN,L 13-16,0,0,,0,0,0,,0,0,0,0.0,1,0,0
67,1984,1984-12-09,15,25.297,DEN,,SDG,W 16-13,0,0,,0,,,,,,,,,,
68,1984,1984-12-15,16,25.303,DEN,@,SEA,W 31-14,0,0,,0,,,,,,,,,,
69,1985,1985-09-08,1,26.204,DEN,@,RAM,L 16-20,,,,,,,,,,,,,,
70,1985,1985-09-15,2,26.211,DEN,,NOR,W 34-23,,,,,,,,,,,,,,
71,1985,1985-09-22,3,26.218,DEN,@,ATL,W 44-28,,,,,,,,,,,,,,
72,1985,1985-09-29,4,26.225,DEN,,MIA,L 26-30,,,,,,,,,,,,,,
73,1985,1985-10-06,5,26.232,DEN,,HOU,W 31-20,0,0,,0,0,0,,0,0,0,1.0,0,0,0
