ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1991,1991-09-01,1,22.146,HOU,,RAI,W 47-17,,,,,,0,0,,0,,,,,,
2,1991,1991-09-08,2,22.153,HOU,@,CIN,W 30-7,,,,,,0,0,,0,,,,,,
3,1991,1991-09-16,3,22.161,HOU,,KAN,W 17-7,,,,,,0,0,,0,,,,,,
4,1991,1991-09-22,4,22.167,HOU,@,NWE,L 20-24,,,,,,0,0,,0,,,,,,
5,1991,1991-10-06,5,22.181,HOU,,DEN,W 42-14,,,,,,0,0,,0,,,,,,
6,1991,1991-10-13,6,22.188,HOU,@,NYJ,W 23-20,,,,,,0,0,,0,,,,,,
7,1991,1991-10-20,7,22.195,HOU,@,MIA,W 17-13,,,,,,0,0,,0,,,,,,
8,1991,1991-10-27,8,22.202,HOU,,CIN,W 35-3,,,,,,0,0,,0,,,,,,
9,1991,1991-11-03,9,22.209,HOU,@,WAS,L 13-16,,,,,,0,0,,0,,,,,,
10,1991,1991-11-10,10,22.216,HOU,,DAL,W 26-23,,0,0,,0,1,0,0.00,0,0,0,0.0,0,0,0
11,1991,1991-11-17,11,22.223,HOU,,CLE,W 28-24,,,,,,0,0,,0,,,,,,
12,1991,1991-11-24,12,22.230,HOU,@,PIT,L 14-26,,0,0,,0,0,0,,0,0,0,1.0,0,0,0
13,1991,1991-12-02,13,22.238,HOU,,PHI,L 6-13,,,,,,0,0,,0,,,,,,
14,1991,1991-12-15,15,22.251,HOU,@,CLE,W 17-14,,,,,,0,0,,0,,,,,,
15,1991,1991-12-21,16,22.257,HOU,@,NYG,L 20-24,,,,,,0,0,,0,,,,,,
16,1992,1992-09-06,1,23.151,HOU,,PIT,L 24-29,,,,,,,,,,,,,,,
17,1992,1992-09-13,2,23.158,HOU,@,IND,W 20-10,,,,,,,,,,,,,,,
18,1992,1992-09-20,3,23.165,HOU,,KAN,W 23-20,,,,,,,,,,,,,,,
19,1992,1992-09-27,4,23.172,HOU,,SDG,W 27-0,,0,0,,0,0,0,,0,0,0,0.0,1,18,0
