ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1992,1992-09-06,1,20.341,SFO,@,NYG,W 31-14,,3,4,1.33,0,,0,0,,0,0.0%,,1,27,27.00,0,0,0,,0,0,0
2,1992,1992-09-13,2,20.348,SFO,,BUF,L 31-34,,0,0,,0,,0,0,,0,0.0%,,3,56,18.67,0,0,0,,0,0,0
3,1992,1992-09-20,3,20.355,SFO,@,NYJ,W 31-14,,2,5,2.50,0,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,0,0
4,1992,1992-09-27,4,20.362,SFO,@,NOR,W 16-10,,0,0,,0,,0,0,,0,0.0%,,1,33,33.00,0,0,0,,0,0,0
5,1992,1992-10-04,5,21.003,SFO,,RAM,W 27-24,,0,0,,0,,0,0,,0,0.0%,,2,24,12.00,0,0,0,,0,0,0
6,1992,1992-10-11,6,21.010,SFO,@,NWE,W 24-12,,0,0,,0,1,0,0,,0,0.0%,0.00,0,0,,0,,,,,0,
7,1992,1992-10-18,7,21.017,SFO,,ATL,W 56-17,,9,35,3.89,0,,0,0,,0,0.0%,,2,29,14.50,0,0,0,,0,0,0
8,1992,1992-11-01,8,21.031,SFO,@,PHO,L 14-24,,1,6,6.00,0,,0,0,,0,0.0%,,2,38,19.00,0,0,0,,0,0,0
9,1992,1992-11-09,9,21.039,SFO,@,ATL,W 41-3,,6,26,4.33,0,,0,0,,0,0.0%,,1,28,28.00,0,0,0,,0,0,0
10,1992,1992-11-15,10,21.045,SFO,,NOR,W 21-20,,0,0,,0,,0,0,,0,0.0%,,2,41,20.50,0,0,0,,0,0,0
11,1992,1992-11-22,11,21.052,SFO,@,RAM,W 27-10,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,,,,,0,
12,1992,1992-11-29,12,21.059,SFO,,PHI,W 20-14,,11,25,2.27,0,4,3,8,2.67,0,75.0%,2.00,0,0,,0,0,0,,0,0,0
13,1992,1992-12-06,13,21.066,SFO,,MIA,W 27-3,,16,58,3.63,1,5,4,22,5.50,0,80.0%,4.40,0,0,,0,0,0,,0,1,6
14,1992,1992-12-13,14,21.073,SFO,@,MIN,W 20-17,,23,134,5.83,1,4,4,7,1.75,1,100.0%,1.75,0,0,,0,0,0,,0,2,12
15,1992,1992-12-19,15,21.079,SFO,,TAM,W 21-14,,10,25,2.50,0,2,1,5,5.00,0,50.0%,2.50,0,0,,0,0,0,,0,0,0
16,1992,1992-12-28,16,21.088,SFO,,DET,W 24-6,,10,44,4.40,0,8,7,56,8.00,1,87.5%,7.00,0,0,,0,0,0,,0,1,6
17,1993,1993-09-05,1,21.339,SFO,@,PIT,W 24-13,,9,19,2.11,0,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,0,0
18,1993,1993-09-13,2,21.347,SFO,@,CLE,L 13-23,,1,3,3.00,0,,0,0,,0,0.0%,,1,25,25.00,0,0,0,,0,0,0
19,1993,1993-09-19,3,21.353,SFO,,ATL,W 37-30,,3,4,1.33,0,,0,0,,0,0.0%,,1,19,19.00,0,0,0,,0,0,0
20,1993,1993-09-26,4,21.360,SFO,@,NOR,L 13-16,,0,0,,0,,0,0,,0,0.0%,,1,6,6.00,0,0,0,,0,0,0
21,1993,1993-10-03,5,22.002,SFO,,MIN,W 38-19,,1,0,0.00,0,,0,0,,0,0.0%,,1,16,16.00,0,0,0,,0,0,0
22,1993,1993-10-17,6,22.016,SFO,@,DAL,L 17-26,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,,,,,0,
23,1993,1993-10-24,7,22.023,SFO,,PHO,W 28-14,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,,,,,0,
24,1993,1993-10-31,8,22.030,SFO,,RAM,W 40-17,,0,0,,0,1,1,8,8.00,0,100.0%,8.00,2,45,22.50,0,0,0,,0,0,0
25,1993,1993-11-14,9,22.044,SFO,@,TAM,W 45-21,,4,9,2.25,0,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
26,1993,1993-11-22,10,22.052,SFO,,NOR,W 42-7,,5,10,2.00,0,,0,0,,0,0.0%,,1,15,15.00,0,0,0,,0,0,0
27,1993,1993-11-28,11,22.058,SFO,@,RAM,W 35-10,,0,0,,0,,0,0,,0,0.0%,,2,21,10.50,0,0,0,,0,0,0
28,1993,1993-12-05,12,22.065,SFO,,CIN,W 21-8,,2,-1,-0.50,0,1,0,0,,0,0.0%,0.00,1,13,13.00,0,0,0,,0,0,0
29,1993,1993-12-11,13,22.071,SFO,@,ATL,L 24-27,,13,55,4.23,0,3,3,8,2.67,1,100.0%,2.67,0,0,,0,0,0,,0,1,6
30,1993,1993-12-19,14,22.079,SFO,@,DET,W 55-17,,18,66,3.67,0,7,6,50,8.33,1,85.7%,7.14,0,0,,0,0,0,,0,1,6
31,1993,1993-12-25,15,22.085,SFO,,HOU,L 7-10,,16,65,4.06,1,7,5,45,9.00,0,71.4%,6.43,0,0,,0,0,0,,0,1,6
32,1994,1994-09-04,1,22.338,MIN,@,GNB,L 10-16,,4,13,3.25,0,2,2,7,3.50,0,100.0%,3.50,2,16,8.00,0,0,0,,0,0,0
33,1994,1994-09-11,2,22.345,MIN,,DET,W 10-3,,1,-3,-3.00,0,2,2,21,10.50,0,100.0%,10.50,0,0,,0,0,0,,0,0,0
34,1994,1994-09-25,4,22.359,MIN,,MIA,W 38-35,,1,5,5.00,0,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,0
35,1994,1994-10-20,7,23.019,MIN,,GNB,W 13-10,,1,-7,-7.00,0,5,4,39,9.75,0,80.0%,7.80,0,0,,0,0,0,,0,0,0
36,1994,1994-10-30,8,23.029,MIN,@,TAM,W 36-13,,0,0,,0,5,4,28,7.00,1,80.0%,5.60,0,0,,0,0,0,,0,1,6
37,1994,1994-11-06,9,23.036,MIN,,NOR,W 21-20,,2,11,5.50,0,8,7,59,8.43,1,87.5%,7.38,0,0,,0,0,0,,0,1,6
38,1994,1994-11-13,10,23.043,MIN,@,NWE,L 20-26,,0,0,,0,4,3,36,12.00,0,75.0%,9.00,0,0,,0,0,0,,0,0,0
39,1994,1994-11-20,11,23.050,MIN,,NYJ,L 21-31,,5,24,4.80,0,5,3,33,11.00,0,60.0%,6.60,0,0,,0,0,0,,0,0,0
40,1994,1994-11-27,12,23.057,MIN,,TAM,L 17-20,,4,25,6.25,0,7,7,71,10.14,0,100.0%,10.14,0,0,,0,0,0,,0,0,0
41,1994,1994-12-01,13,23.061,MIN,,CHI,W 33-27,,2,0,0.00,0,6,5,12,2.40,0,83.3%,2.00,0,0,,0,0,0,,0,0,0
42,1994,1994-12-11,14,23.071,MIN,@,BUF,W 21-17,,4,23,5.75,0,3,2,14,7.00,0,66.7%,4.67,0,0,,0,0,0,,0,0,0
43,1994,1994-12-17,15,23.077,MIN,@,DET,L 19-41,,3,10,3.33,0,3,2,13,6.50,0,66.7%,4.33,0,0,,0,0,0,,0,0,0
44,1994,1994-12-26,16,23.086,MIN,,SFO,W 21-14,,2,3,1.50,0,4,3,28,9.33,0,75.0%,7.00,1,26,26.00,0,0,0,,0,0,0
45,1995,1995-09-03,1,23.337,MIN,@,CHI,L 14-31,,4,22,5.50,0,11,8,36,4.50,0,72.7%,3.27,0,0,,0,0,0,,0,0,0
46,1995,1995-09-10,2,23.344,MIN,,DET,W 20-10,,8,44,5.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
47,1995,1995-09-17,3,23.351,MIN,,DAL,L 17-23,,6,12,2.00,0,4,3,4,1.33,0,75.0%,1.00,0,0,,0,0,0,,0,0,0
48,1995,1995-09-24,4,23.358,MIN,@,PIT,W 44-24,,1,0,0.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
49,1995,1995-10-08,5,24.007,MIN,,HOU,W 23-17,,5,32,6.40,0,4,4,30,7.50,0,100.0%,7.50,0,0,,0,0,0,,0,0,0
50,1995,1995-10-15,6,24.014,MIN,@,TAM,L 17-20,,3,7,2.33,0,10,10,71,7.10,0,100.0%,7.10,0,0,,0,1,17,17.00,0,0,0
51,1995,1995-10-22,7,24.021,MIN,@,GNB,L 21-38,,2,9,4.50,1,10,6,52,8.67,0,60.0%,5.20,2,47,23.50,0,4,33,8.25,0,1,6
52,1995,1995-10-30,8,24.029,MIN,,CHI,L 6-14,,7,33,4.71,0,8,4,27,6.75,0,50.0%,3.38,0,0,,0,0,0,,0,0,0
53,1995,1995-11-05,9,24.035,MIN,,GNB,W 27-24,,6,30,5.00,0,6,4,35,8.75,0,66.7%,5.83,0,0,,0,0,0,,0,0,0
54,1995,1995-11-12,10,24.042,MIN,@,ARI,W 30-24,,0,0,,0,3,3,34,11.33,0,100.0%,11.33,1,20,20.00,0,0,0,,0,0,0
55,1995,1995-11-19,11,24.049,MIN,,NOR,W 43-24,,6,10,1.67,0,8,7,65,9.29,1,87.5%,8.13,0,0,,0,0,0,,0,1,6
56,1995,1995-11-23,12,24.053,MIN,@,DET,L 38-44,,4,2,0.50,0,11,9,92,10.22,0,81.8%,8.36,0,0,,0,0,0,,0,0,0
