ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring
1,1995,1995-09-03,1,23.039,JAX,,HOU,L 3-10,3,2,0.67,0,1,1,-1,-1.00,0,100.0%,-1.00,0,0
2,1995,1995-09-10,2,23.046,JAX,@,CIN,L 17-24,0,0,,0,,0,0,,0,0.0%,,0,
3,1995,1995-09-17,3,23.053,JAX,@,NYJ,L 10-27,2,7,3.50,0,0,0,0,,0,0.0%,,0,0
4,1995,1995-09-24,4,23.060,JAX,,GNB,L 14-24,4,1,0.25,0,0,0,0,,0,0.0%,,0,0
5,1995,1995-10-01,5,23.067,JAX,@,HOU,W 17-16,5,11,2.20,1,0,0,0,,0,0.0%,,1,6
6,1995,1995-10-08,6,23.074,JAX,,PIT,W 20-16,0,0,,0,0,0,0,,0,0.0%,,0,
7,1995,1995-10-15,7,23.081,JAX,,CHI,L 27-30,1,1,1.00,0,0,0,0,,0,0.0%,,0,0
8,1995,1995-11-12,10,23.109,JAX,,SEA,L 30-47,0,0,,0,0,0,0,,0,0.0%,,0,
9,1995,1995-11-19,11,23.116,JAX,@,TAM,L 16-17,0,0,,0,,0,0,,0,0.0%,,0,
10,1995,1995-11-26,12,23.123,JAX,,CIN,L 13-17,1,-6,-6.00,0,0,0,0,,0,0.0%,,0,0
11,1995,1995-12-17,15,23.144,JAX,@,DET,L 0-44,0,0,,0,0,0,0,,0,0.0%,,0,
12,1996,1996-09-08,2,24.044,JAX,,HOU,L 27-34,,,,,,,,,,0.0%,,,
13,1996,1996-09-15,3,24.051,JAX,@,OAK,L 3-17,,,,,,,,,,0.0%,,,
14,1996,1996-10-27,8,24.093,ARI,,NYJ,L 21-31,,,,,,,,,,0.0%,,,
15,1996,1996-11-03,9,24.100,ARI,@,NYG,L 8-16,,,,,,,,,,0.0%,,,
16,1996,1996-11-10,10,24.107,ARI,@,WAS,W 37-34,,,,,,,,,,0.0%,,,
17,1996,1996-11-17,11,24.114,ARI,,NYG,W 31-23,,,,,,,,,,0.0%,,,
18,1996,1996-12-08,14,24.135,ARI,,DAL,L 6-10,,,,,,,,,,0.0%,,,
19,1996,1996-12-22,16,24.149,ARI,@,PHI,L 19-29,,,,,,,,,,0.0%,,,
