ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,def_int,def_int_yds,def_int_td
1,1995,1995-09-24,4,23.353,JAX,,GNB,L 14-24,,,,,,,,,
2,1996,1996-09-01,1,24.331,JAX,,PIT,W 24-9,,2,20,10.00,0,0.0,0,0,0
3,1996,1996-09-08,2,24.338,JAX,,HOU,L 27-34,,2,47,23.50,0,0.0,0,0,0
4,1996,1996-09-15,3,24.345,JAX,@,OAK,L 3-17,,1,16,16.00,0,0.0,1,4,0
5,1996,1996-09-22,4,24.352,JAX,@,NWE,L 25-28,,1,16,16.00,0,0.0,0,0,0
6,1996,1996-09-29,5,24.359,JAX,,CAR,W 24-14,,2,26,13.00,0,0.0,0,0,0
7,1996,1996-10-06,6,25.000,JAX,@,NOR,L 13-17,,4,70,17.50,0,0.0,0,0,0
8,1996,1996-10-13,7,25.007,JAX,,NYJ,W 21-17,,1,6,6.00,0,0.0,0,0,0
9,1996,1996-10-20,8,25.014,JAX,@,STL,L 14-17,,2,21,10.50,0,0.0,0,0,0
10,1996,1996-10-27,9,25.021,JAX,@,CIN,L 21-28,,4,39,9.75,0,0.0,0,0,0
11,1996,1996-11-10,10,25.035,JAX,,BAL,W 30-27,,1,21,21.00,0,0.0,0,0,0
12,1996,1996-11-17,11,25.042,JAX,@,PIT,L 3-28,,2,0,0.00,0,0.5,0,0,0
13,1996,1996-11-24,12,25.049,JAX,@,BAL,W 28-25,,1,0,0.00,0,0.0,0,0,0
14,1996,1996-12-01,13,25.056,JAX,,CIN,W 30-27,,2,9,4.50,0,0.0,0,0,0
15,1996,1996-12-08,14,25.063,JAX,@,HOU,W 23-17,,1,20,20.00,0,0.0,1,21,0
16,1996,1996-12-15,15,25.070,JAX,,SEA,W 20-13,,4,25,6.25,0,0.0,0,0,0
17,1996,1996-12-22,16,25.077,JAX,,ATL,W 19-17,,2,12,6.00,0,0.0,0,0,0
18,1997,1997-08-31,1,25.329,JAX,@,BAL,W 28-27,,0,0,,0,0.0,1,23,0
19,1997,1997-08-31,1,25.329,MIA,,IND,W 16-10,,,,,,,,,
20,1997,1997-09-07,2,25.336,JAX,,NYG,W 40-13,,,,,,,,,
21,1997,1997-09-22,3,25.351,JAX,,PIT,W 30-21,,,,,,,,,
22,1997,1997-09-28,4,25.357,JAX,@,WAS,L 12-24,,,,,,,,,
23,1997,1997-10-05,5,25.364,JAX,,CIN,W 21-13,,,,,,,,,
24,1997,1997-10-12,6,26.006,JAX,,PHI,W 38-21,,,,,,,,,
25,1997,1997-10-19,7,26.013,JAX,@,DAL,L 22-26,,,,,,,,,
26,1997,1997-10-26,8,26.020,JAX,@,PIT,L 17-23,,,,,,,,,
27,1997,1997-11-02,9,26.027,JAX,@,TEN,W 30-24,,0,0,,0,0.0,1,6,0
28,1997,1997-11-09,10,26.034,JAX,,KAN,W 24-10,,0,0,,0,0.0,1,-3,0
29,1997,1997-11-16,11,26.041,JAX,,TEN,W 17-9,,,,,,,,,
30,1997,1997-11-23,12,26.048,JAX,@,CIN,L 26-31,,,,,,,,,
31,1997,1997-11-30,13,26.055,NWE,,IND,W 20-17,,,,,,,,,
32,1997,1997-12-07,14,26.062,JAX,,NWE,L 20-26,,,,,,,,,
33,1997,1997-12-14,15,26.069,JAX,@,BUF,W 20-14,,,,,,,,,
34,1997,1997-12-21,16,26.076,JAX,@,OAK,W 20-9,,,,,,,,,
35,1998,1998-09-06,1,26.335,JAX,@,CHI,W 24-23,,,,,,,,,
36,1998,1998-09-13,2,26.342,JAX,,KAN,W 21-16,,,,,,,,,
37,1998,1998-09-20,3,26.349,JAX,,BAL,W 24-10,,0,0,,0,0.0,1,8,0
38,1998,1998-09-27,4,26.356,JAX,@,TEN,W 27-22,,0,0,,0,0.0,1,0,0
39,1998,1998-10-12,5,27.006,JAX,,MIA,W 28-21,,,,,,,,,
40,1998,1998-10-18,6,27.012,JAX,@,BUF,L 16-17,,,,,,,,,
41,1998,1998-10-25,7,27.019,JAX,@,DEN,L 24-37,,,,,,,,,
42,1998,1998-11-22,11,27.047,JAX,@,PIT,L 15-30,,,,,,,,,
43,1998,1998-11-29,12,27.054,JAX,@,CIN,W 34-17,,0,0,,0,0.0,1,2,0
44,1998,1998-12-06,13,27.061,JAX,,DET,W 37-22,,,,,,,,,
45,1998,1998-12-13,14,27.068,JAX,,TEN,L 13-16,,,,,,,,,
46,1998,1998-12-20,15,27.075,JAX,@,MIN,L 10-50,,,,,,,,,
47,1998,1998-12-28,16,27.083,JAX,,PIT,W 21-3,,,,,,,,,
48,1999,1999-09-12,1,27.341,CHI,,KAN,W 20-17,*,,,,,,,,
49,1999,1999-09-19,2,27.348,CHI,,SEA,L 13-14,*,,,,,,,,
50,1999,1999-09-26,3,27.355,CHI,@,OAK,L 17-24,*,,,,,,,,
51,1999,1999-10-03,4,27.362,CHI,,NOR,W 14-10,*,,,,,,,,
52,1999,1999-10-10,5,28.004,CHI,@,MIN,W 24-22,*,,,,,,,,
53,1999,1999-10-17,6,28.011,CHI,,PHI,L 16-20,*,,,,,,,,
54,1999,1999-10-24,7,28.018,CHI,@,TAM,L 3-6,*,,,,,,,,
55,1999,1999-10-31,8,28.025,CHI,@,WAS,L 22-48,*,,,,,,,,
56,1999,1999-11-07,9,28.032,CHI,@,GNB,W 14-13,*,0,0,,0,0.0,1,0,0
57,1999,1999-11-14,10,28.039,CHI,,MIN,L 24-27,*,0,0,,0,1.0,0,0,0
58,1999,1999-11-21,11,28.046,CHI,@,SDG,W 23-20,*,,,,,,,,
59,1999,1999-11-25,12,28.050,CHI,@,DET,L 17-21,*,,,,,,,,
60,1999,1999-12-05,13,28.060,CHI,,GNB,L 19-35,*,0,0,,0,0.0,1,0,0
61,1999,1999-12-19,14,28.074,CHI,,DET,W 28-10,*,0,0,,0,0.0,1,28,0
62,1999,1999-12-26,15,28.081,CHI,@,STL,L 12-34,*,,,,,,,,
63,1999,2000-01-02,16,28.088,CHI,,TAM,L 6-20,*,,,,,,,,
64,2001,2001-09-09,1,29.338,ATL,@,SFO,L 13-16,,0,0,,0,,,,
65,2001,2001-09-23,2,29.352,ATL,,CAR,W 24-16,,,,,,,,,
66,2001,2001-09-30,3,29.359,ATL,@,ARI,W 34-14,,1,22,22.00,0,0.0,0,0,0
67,2001,2001-10-07,4,30.001,ATL,,CHI,L 3-31,,,,,,,,,
68,2001,2001-10-21,6,30.015,ATL,@,NOR,W 20-13,,,,,,,,,
69,2001,2001-11-04,7,30.029,ATL,,NWE,L 10-24,*,,,,,,,,
70,2001,2001-11-11,8,30.036,ATL,,DAL,W 20-13,,,,,,,,,
71,2001,2001-11-18,9,30.043,ATL,@,GNB,W 23-20,,,,,,,,,
72,2001,2001-11-25,10,30.050,ATL,@,CAR,W 10-7,,,,,,,,,
73,2001,2001-12-02,11,30.057,ATL,,STL,L 6-35,,,,,,,,,
74,2001,2001-12-09,12,30.064,ATL,,NOR,L 10-28,,,,,,,,,
75,2001,2001-12-16,13,30.071,ATL,@,IND,L 27-41,,,,,,,,,
76,2001,2001-12-23,14,30.078,ATL,,BUF,W 33-30,,,,,,,,,
77,2001,2001-12-30,15,30.085,ATL,@,MIA,L 14-21,,1,4,4.00,0,0.0,0,0,0
78,2001,2002-01-06,16,30.092,ATL,@,STL,L 13-31,,,,,,,,,
