ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,2000,2000-12-03,13,23.223,BUF,,MIA,L 6-33,,0,0,0,,0,0.0%,,5,97,19.40,0,0,0,,0,0,0
2,2000,2000-12-23,16,23.243,BUF,@,SEA,W 42-23,,0,0,0,,0,0.0%,,4,68,17.00,0,0,0,,0,0,0
3,2001,2001-09-09,1,24.138,BUF,,NOR,L 6-24,,0,0,0,,0,0.0%,,0,0,,0,1,34,34.00,0,0,0
4,2001,2001-09-23,2,24.152,BUF,@,IND,L 26-42,,2,,,,,0.0%,,,,,,,,,,,
5,2001,2001-09-30,3,24.159,BUF,,PIT,L 3-20,,3,2,14,7.00,0,66.7%,4.67,1,20,20.00,0,0,0,,0,0,0
6,2001,2001-10-07,4,24.166,BUF,,NYJ,L 36-42,,0,0,0,,0,0.0%,,3,48,16.00,0,0,0,,0,0,0
7,2001,2001-10-18,5,24.177,BUF,@,JAX,W 13-10,,1,1,25,25.00,0,100.0%,25.00,2,37,18.50,0,0,0,,0,0,0
8,2001,2001-10-28,6,24.187,BUF,@,SDG,L 24-27,,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,0
9,2001,2001-11-04,7,24.194,BUF,,IND,L 14-30,,1,1,11,11.00,0,100.0%,11.00,4,104,26.00,0,0,0,,0,0,0
10,2001,2001-11-11,8,24.201,BUF,@,NWE,L 11-21,,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,0,0
11,2001,2001-12-02,11,24.222,BUF,@,SFO,L 0-35,,2,1,16,16.00,0,50.0%,8.00,1,19,19.00,0,0,0,,0,0,0
12,2001,2001-12-09,12,24.229,BUF,,CAR,W 25-24,,0,0,0,,0,0.0%,,3,56,18.67,0,0,0,,0,0,0
13,2001,2001-12-16,13,24.236,BUF,,NWE,L 9-12,,1,,,,,0.0%,,,,,,,,,,,
14,2001,2001-12-23,14,24.243,BUF,@,ATL,L 30-33,,0,0,0,,0,0.0%,,4,71,17.75,0,0,0,,0,0,0
15,2001,2001-12-30,15,24.250,BUF,@,NYJ,W 14-9,,0,0,0,,0,0.0%,,3,56,18.67,0,0,0,,0,0,0
16,2001,2002-01-06,16,24.257,BUF,@,MIA,L 7-34,,2,1,15,15.00,0,50.0%,7.50,4,87,21.75,0,0,0,,0,0,0
17,2002,2002-09-08,1,25.137,HOU,,DAL,W 19-10,,,,,,,0.0%,,,,,,,,,,,
18,2002,2002-09-15,2,25.144,HOU,@,SDG,L 3-24,,2,1,7,7.00,0,50.0%,3.50,0,0,,0,0,0,,0,0,0
19,2002,2002-09-22,3,25.151,HOU,,IND,L 3-23,,3,1,14,14.00,0,33.3%,4.67,4,101,25.25,0,1,12,12.00,0,0,0
20,2002,2002-09-29,4,25.158,HOU,@,PHI,L 17-35,,1,0,0,,0,0.0%,0.00,7,173,24.71,0,2,15,7.50,0,0,0
21,2002,2002-10-13,5,25.172,HOU,,BUF,L 24-31,,,,,,,0.0%,,,,,,,,,,,
22,2002,2002-10-20,6,25.179,HOU,@,CLE,L 17-34,,4,4,31,7.75,0,100.0%,7.75,0,0,,0,0,0,,0,0,0
23,2002,2002-10-27,7,25.186,HOU,@,JAX,W 21-19,,0,,,,,0.0%,,,,,,,,,,,
24,2002,2002-11-10,9,25.200,HOU,@,TEN,L 10-17,,,,,,,0.0%,,,,,,,,,,,
25,2002,2002-12-15,14,25.235,HOU,,BAL,L 19-23,,0,0,0,,0,0.0%,,6,114,19.00,0,3,92,30.67,1,1,6
26,2002,2002-12-22,15,25.242,HOU,@,WAS,L 10-26,,0,0,0,,0,0.0%,,4,81,20.25,0,4,37,9.25,0,0,0
27,2002,2002-12-29,16,25.249,HOU,,TEN,L 3-13,,2,0,0,,0,0.0%,0.00,3,60,20.00,0,4,32,8.00,0,0,0
