ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1965,1965-11-14,9,22.195,SFO,@,DET,W 27-21,1,22,22.00,0,0,0,,0
2,1965,1965-11-28,11,22.209,SFO,@,MIN,W 45-24,1,16,16.00,0,1,18,18.00,0
3,1965,1965-12-12,13,22.223,SFO,@,CHI,L 20-61,2,23,11.50,0,1,0,0.00,0
4,1966,1966-11-13,9,23.194,SFO,@,CHI,T 30-30,0,0,,0,1,-1,-1.00,0
5,1966,1966-11-20,10,23.201,SFO,,PHI,L 34-35,0,0,,0,2,14,7.00,0
6,1966,1966-11-24,11,23.205,SFO,@,DET,W 41-14,0,0,,0,1,0,0.00,0
7,1966,1966-12-04,12,23.215,SFO,@,GNB,L 7-20,1,17,17.00,0,1,0,0.00,0
8,1966,1966-12-11,13,23.222,SFO,,CHI,W 41-14,2,37,18.50,0,2,0,0.00,0
9,1966,1966-12-18,14,23.229,SFO,,BAL,L 14-30,1,19,19.00,0,1,-1,-1.00,0
10,1967,1967-10-08,4,24.158,SFO,@,RAM,W 27-24,2,51,25.50,0,0,0,,0
