ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1983,1983-11-06,10,22.171,NYJ,,BAL,L 14-17,,,,,,,,,,,,
2,1983,1983-11-13,11,22.178,NYJ,,BUF,L 17-24,,,,,,,,,,,,
3,1983,1983-11-21,12,22.186,NYJ,@,NOR,W 31-28,,,,,,,,,,,,
4,1983,1983-11-27,13,22.192,NYJ,,NWE,W 26-3,,,,,,,,,,,,
5,1983,1983-12-04,14,22.199,NYJ,@,BAL,W 10-6,,,,,,,,,,,,
6,1983,1983-12-10,15,22.205,NYJ,,PIT,L 7-34,,,,,,,,,,,,
7,1983,1983-12-16,16,22.211,NYJ,@,MIA,L 14-34,,,,,,,,,,,,
8,1984,1984-09-02,1,23.106,NYJ,@,IND,W 23-14,0,0,,0,0,0,,0,0,0,,0
9,1984,1984-09-06,2,23.110,NYJ,,PIT,L 17-23,0,0,,0,0,0,,0,1,20,20.00,0
10,1984,1984-09-16,3,23.120,NYJ,,CIN,W 43-23,0,0,,0,0,0,,0,0,0,,0
11,1984,1984-09-23,4,23.127,NYJ,@,BUF,W 28-26,0,0,,0,0,0,,0,0,0,,0
12,1984,1984-09-30,5,23.134,NYJ,,NWE,L 21-28,0,0,,0,0,0,,0,0,0,,0
13,1984,1984-10-07,6,23.141,NYJ,@,KAN,W 17-16,0,0,,0,1,17,17.00,0,0,0,,0
14,1984,1984-10-14,7,23.148,NYJ,@,CLE,W 24-20,0,0,,0,0,0,,0,0,0,,0
15,1984,1984-10-21,8,23.155,NYJ,,KAN,W 28-7,0,0,,0,0,0,,0,0,0,,0
16,1984,1984-10-28,9,23.162,NYJ,@,NWE,L 20-30,0,0,,0,0,0,,0,0,0,,0
17,1984,1984-11-04,10,23.169,NYJ,,MIA,L 17-31,0,0,,0,0,0,,0,0,0,,0
18,1984,1984-11-11,11,23.176,NYJ,,IND,L 5-9,,,,,,,,,1,5,5.00,0
19,1984,1984-11-18,12,23.183,NYJ,@,HOU,L 20-31,0,0,,0,0,0,,0,1,5,5.00,0
20,1984,1984-11-26,13,23.191,NYJ,@,MIA,L 17-28,1,11,11.00,0,0,0,,0,0,0,,0
21,1984,1984-12-02,14,23.197,NYJ,,NYG,L 10-20,0,0,,0,0,0,,0,0,0,,0
22,1984,1984-12-08,15,23.203,NYJ,,BUF,W 21-17,0,0,,0,0,0,,0,0,0,,0
23,1984,1984-12-16,16,23.211,NYJ,@,TAM,L 21-41,0,0,,0,0,0,,0,0,0,,0
24,1985,1985-09-08,1,24.112,NYJ,@,RAI,L 0-31,,,,,,,,,,,,
25,1985,1985-09-15,2,24.119,NYJ,,BUF,W 42-3,,,,,,,,,,,,
26,1985,1985-09-22,3,24.126,NYJ,@,GNB,W 24-3,,,,,,,,,,,,
27,1985,1985-09-29,4,24.133,NYJ,,IND,W 25-20,,,,,,,,,,,,
28,1985,1985-10-06,5,24.140,NYJ,@,CIN,W 29-20,,,,,,,,,,,,
29,1985,1985-10-14,6,24.148,NYJ,,MIA,W 23-7,,,,,,,,,,,,
30,1985,1985-10-20,7,24.154,NYJ,@,NWE,L 13-20,,,,,,,,,,,,
31,1985,1985-10-27,8,24.161,NYJ,,SEA,W 17-14,,,,,,,,,,,,
32,1985,1985-11-03,9,24.168,NYJ,@,IND,W 35-17,,,,,,,,,,,,
