ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1996,1996-09-15,3,24.243,KAN,@,SEA,W 35-17,,,0,0,,0,0.0%,,0,0,,0,,,,,,,,,,,,,,,,,,,,0,
2,1996,1996-09-22,4,24.250,KAN,,DEN,W 17-14,,,0,0,,0,0.0%,,0,0,,0,,,,,,,,,,,,,,,,,,,,0,
3,1996,1996-10-07,6,24.265,KAN,,PIT,L 7-17,,,0,0,,0,0.0%,,0,0,,0,,,,,,,,,,,,,,,,,,,,0,
4,1996,1996-10-17,7,24.275,KAN,,SEA,W 34-16,,1,0,0,,0,0.0%,0.00,0,0,,0,,,,,,,,,,,,,,,,,,,,0,
5,1996,1996-10-27,8,24.285,KAN,@,DEN,L 7-34,,3,1,9,9.00,0,33.3%,3.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
6,1996,1996-11-03,9,24.292,KAN,@,MIN,W 21-6,,,0,0,,0,0.0%,,0,0,,0,,,,,,,,,,,,,,,,,,,,0,
7,1996,1996-11-10,10,24.299,KAN,,GNB,W 27-20,,4,1,21,21.00,0,25.0%,5.25,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
8,1996,1996-11-17,11,24.306,KAN,,CHI,W 14-10,,1,0,0,,0,0.0%,0.00,1,8,8.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
9,1996,1996-11-28,13,24.317,KAN,@,DET,W 28-24,,,0,0,,0,0.0%,,0,0,,0,,,,,,,,,,,,,,,,,,,,0,
10,1997,1997-09-28,5,25.255,KAN,,SEA,W 20-17,,,0,0,,0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1997,1997-11-09,10,25.297,KAN,@,JAX,L 10-24,,1,1,47,47.00,0,100.0%,47.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
12,1997,1997-11-16,11,25.304,KAN,,DEN,W 24-22,,1,1,18,18.00,0,100.0%,18.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
13,1997,1997-11-23,12,25.311,KAN,@,SEA,W 19-14,,2,0,0,,0,0.0%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,
14,1997,1997-11-30,13,25.318,KAN,,SFO,W 44-9,,,0,0,,0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1997,1997-12-07,14,25.325,KAN,,OAK,W 30-0,,,0,0,,0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1997,1997-12-14,15,25.332,KAN,@,SDG,W 29-7,,2,0,0,,0,0.0%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,
17,1997,1997-12-21,16,25.339,KAN,,NOR,W 25-13,,1,0,0,,0,0.0%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,
18,1998,1998-09-06,1,26.233,KAN,,OAK,W 28-8,,4,2,15,7.50,0,50.0%,3.75,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,6.00,0,0,0
19,1998,1998-09-13,2,26.240,KAN,@,JAX,L 16-21,,3,2,29,14.50,0,66.7%,9.67,0,0,,0,0,0,,0,0,0,,0,0,,,3,66,22.00,0,0,0,,0,0,0
20,1998,1998-09-20,3,26.247,KAN,,SDG,W 23-7,,2,1,10,10.00,0,50.0%,5.00,1,0,0.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
21,1998,1998-09-27,4,26.254,KAN,@,PHI,W 24-21,,2,2,68,34.00,0,100.0%,34.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
22,1998,1998-10-04,5,26.261,KAN,,SEA,W 17-6,,1,1,13,13.00,0,100.0%,13.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
23,1998,1998-10-11,6,26.268,KAN,@,NWE,L 10-40,,1,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1998,1998-10-26,7,26.283,KAN,,PIT,L 13-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,1,37,37.00,0,0,0,,0,0,0
25,1998,1998-11-01,8,26.289,KAN,,NYJ,L 17-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,3,60,20.00,0,0,0,,0,0,0
26,1998,1998-11-08,9,26.296,KAN,@,SEA,L 12-24,,1,1,2,2.00,0,100.0%,2.00,0,0,,0,0,0,,0,0,0,,0,0,,,4,70,17.50,0,0,0,,0,0,0
27,1998,1998-11-16,10,26.304,KAN,,DEN,L 7-30,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1998,1998-11-22,11,26.310,KAN,@,SDG,L 37-38,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1998,1998-11-29,12,26.317,KAN,,ARI,W 34-24,,2,1,17,17.00,0,50.0%,8.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
30,1998,1998-12-06,13,26.324,KAN,@,DEN,L 31-35,,3,2,34,17.00,1,66.7%,11.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6
31,1998,1998-12-13,14,26.331,KAN,,DAL,W 20-17,,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
32,1998,1998-12-20,15,26.338,KAN,@,NYG,L 7-28,,2,1,1,1.00,0,50.0%,0.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
33,1998,1998-12-26,16,26.344,KAN,@,OAK,W 31-24,,2,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1999,1999-09-12,1,27.239,KAN,@,CHI,L 17-20,,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
35,1999,1999-09-19,2,27.246,KAN,,DEN,W 26-10,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1999,1999-09-26,3,27.253,KAN,,DET,W 31-21,,2,2,35,17.50,1,100.0%,17.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6
37,1999,1999-10-03,4,27.260,KAN,@,SDG,L 14-21,,3,2,41,20.50,1,66.7%,13.67,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6
38,1999,1999-10-10,5,27.267,KAN,,NWE,W 16-14,,5,4,75,18.75,0,80.0%,15.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
39,1999,1999-10-21,6,27.278,KAN,@,BAL,W 35-8,,1,1,17,17.00,0,100.0%,17.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
40,1999,1999-10-31,7,27.288,KAN,,SDG,W 34-0,,4,3,26,8.67,1,75.0%,6.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6
41,1999,1999-11-07,8,27.295,KAN,@,IND,L 17-25,*,5,2,20,10.00,0,40.0%,4.00,0,0,,0,0,0,,0,0,0,,,,,,6,131,21.83,0,0,0,,0,0,0
42,1999,1999-11-14,9,27.302,KAN,@,TAM,L 10-17,,5,3,63,21.00,1,60.0%,12.60,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6
43,1999,1999-11-21,10,27.309,KAN,,SEA,L 19-31,,3,2,10,5.00,0,66.7%,3.33,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
44,1999,1999-11-28,11,27.316,KAN,@,OAK,W 37-34,,2,1,11,11.00,0,50.0%,5.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
45,1999,1999-12-05,12,27.323,KAN,@,DEN,W 16-10,,4,2,36,18.00,0,50.0%,9.00,1,6,6.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
46,1999,1999-12-12,13,27.330,KAN,,MIN,W 31-28,,6,4,65,16.25,0,66.7%,10.83,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
47,1999,1999-12-18,14,27.336,KAN,,PIT,W 35-19,,2,1,23,23.00,0,50.0%,11.50,1,9,9.00,0,0,0,,0,0,0,,,,,,0,0,,0,1,18,18.00,0,0,0
