ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1977,1977-09-18,1,22.090,NYJ,@,HOU,L 0-20,4,33,8.25,0,2,22,11.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,3,70,23.33,0,3,17,5.67,0,0,0
2,1977,1977-09-25,2,22.097,NYJ,,BAL,L 12-20,6,8,1.33,0,4,32,8.00,0,0,0,,0,0,0,,0,0,,,2,32,16.00,0,3,33,11.00,0,0,0
3,1977,1977-10-02,3,22.104,NYJ,,NWE,W 30-27,8,33,4.13,0,2,12,6.00,0,0,0,,0,0,0,,0,0,,,4,103,25.75,0,3,45,15.00,0,0,0
4,1977,1977-10-09,4,22.111,NYJ,@,BUF,W 24-19,7,31,4.43,0,1,55,55.00,0,0,0,,0,0,0,,0,0,,,3,97,32.33,0,0,0,,0,0,0
5,1977,1977-10-16,5,22.118,NYJ,@,MIA,L 17-21,5,23,4.60,0,3,12,4.00,0,0,0,,0,0,0,,0,0,,,3,72,24.00,0,2,51,25.50,0,0,0
6,1977,1977-10-23,6,22.125,NYJ,,OAK,L 27-28,1,3,3.00,0,1,4,4.00,0,0,0,,0,0,0,,0,0,,,5,77,15.40,0,3,39,13.00,0,0,0
7,1977,1977-10-30,7,22.132,NYJ,@,NWE,L 13-24,5,17,3.40,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,60,20.00,0,2,14,7.00,0,0,0
8,1977,1977-11-06,8,22.139,NYJ,,MIA,L 10-14,0,0,,0,1,9,9.00,0,0,0,,0,0,0,,0,0,,,2,43,21.50,0,3,25,8.33,0,0,0
9,1977,1977-11-13,9,22.146,NYJ,,SEA,L 0-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,79,26.33,0,1,22,22.00,0,0,0
10,1977,1977-11-20,10,22.153,NYJ,@,BAL,L 12-33,4,26,6.50,0,2,24,12.00,0,0,0,,0,0,0,,0,0,,,4,117,29.25,0,2,30,15.00,0,0,0
11,1977,1977-11-27,11,22.160,NYJ,,PIT,L 20-23,4,24,6.00,0,2,8,4.00,1,0,0,,0,0,0,,0,0,,,2,64,32.00,0,2,16,8.00,0,1,6
12,1977,1977-12-04,12,22.167,NYJ,@,NOR,W 16-13,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,122,40.67,0,4,64,16.00,0,0,0
13,1977,1977-12-11,13,22.174,NYJ,,BUF,L 10-14,0,0,,0,1,1,1.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,5,66,13.20,0,0,0
14,1977,1977-12-18,14,22.181,NYJ,@,PHI,L 0-27,0,0,,0,2,30,15.00,0,0,0,,0,0,0,,0,0,,,5,99,19.80,0,1,3,3.00,0,0,0
15,1978,1978-09-03,1,23.075,NYJ,,MIA,W 33-20,4,26,6.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,88,29.33,0,1,13,13.00,0,0,0
16,1978,1978-09-10,2,23.082,NYJ,@,BUF,W 21-20,5,23,4.60,0,2,16,8.00,0,0,0,,0,0,0,,0,0,,,3,79,26.33,0,3,25,8.33,0,0,0
17,1978,1978-09-17,3,23.089,NYJ,,SEA,L 17-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,38,19.00,0,0,0,,0,0,0
18,1978,1978-09-24,4,23.096,NYJ,@,WAS,L 3-23,2,4,2.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,5,86,17.20,0,2,13,6.50,0,0,0
19,1978,1978-10-01,5,23.103,NYJ,,PIT,L 17-28,5,26,5.20,1,0,0,,0,0,0,,0,0,0,,0,0,,,3,62,20.67,0,1,0,0.00,0,1,6
20,1978,1978-10-08,6,23.110,NYJ,,BUF,W 45-14,3,16,5.33,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,37,18.50,0,3,88,29.33,1,1,6
21,1978,1978-10-15,7,23.117,NYJ,@,BAL,W 33-10,3,8,2.67,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,29,29.00,0,0,0,,0,0,0
22,1978,1978-10-22,8,23.124,NYJ,,STL,W 23-10,2,17,8.50,0,1,6,6.00,0,0,0,,0,0,0,,0,0,,,3,43,14.33,0,3,53,17.67,0,0,0
23,1978,1978-10-29,9,23.131,NYJ,@,NWE,L 21-55,4,32,8.00,1,3,36,12.00,0,0,0,,0,0,0,,0,0,,,8,180,22.50,0,1,17,17.00,0,1,6
24,1978,1978-11-05,10,23.138,NYJ,@,DEN,W 31-28,5,25,5.00,0,1,15,15.00,0,0,0,,0,0,0,,0,0,,,3,107,35.67,0,5,25,5.00,0,0,0
25,1978,1978-11-12,11,23.145,NYJ,@,PHI,L 9-17,7,13,1.86,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,81,27.00,0,2,24,12.00,0,0,0
26,1978,1978-11-19,12,23.152,NYJ,,NWE,L 17-19,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,5,106,21.20,0,2,44,22.00,0,0,0
27,1978,1978-11-26,13,23.159,NYJ,@,MIA,W 24-13,9,24,2.67,0,2,42,21.00,0,0,0,,0,0,0,,0,0,,,2,54,27.00,0,0,0,,0,0,0
28,1978,1978-12-03,14,23.166,NYJ,,BAL,W 24-16,2,15,7.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,82,27.33,0,5,50,10.00,0,0,0
29,1978,1978-12-10,15,23.173,NYJ,@,CLE,L 34-37,4,49,12.25,0,4,81,20.25,2,0,0,,0,0,0,,0,0,,,4,98,24.50,0,1,17,17.00,0,2,12
30,1978,1978-12-17,16,23.180,NYJ,,DAL,L 7-30,3,25,8.33,0,0,0,,0,0,0,,0,0,0,,0,0,,,5,110,22.00,0,1,9,9.00,0,0,0
31,1979,1979-09-02,1,24.074,NYJ,,CLE,L 22-25,7,44,6.29,0,1,3,3.00,0,0,0,,0,0,0,,0,0,,,6,133,22.17,0,1,4,4.00,0,0,0
32,1979,1979-09-09,2,24.081,NYJ,@,NWE,L 3-56,0,0,,0,1,7,7.00,0,0,0,,0,0,0,,0,0,,,8,204,25.50,0,0,0,,0,0,0
33,1979,1979-09-16,3,24.088,NYJ,,DET,W 31-10,7,33,4.71,0,2,19,9.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,5,41,8.20,0,0,0
34,1979,1979-09-23,4,24.095,NYJ,@,BUF,L 31-46,4,12,3.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,6,123,20.50,0,3,23,7.67,0,0,0
35,1979,1979-09-30,5,24.102,NYJ,,MIA,W 33-27,7,16,2.29,0,1,11,11.00,0,0,0,,0,0,0,,0,0,,,5,83,16.60,0,1,0,0.00,0,0,0
36,1979,1979-10-07,6,24.109,NYJ,@,BAL,L 8-10,5,24,4.80,0,2,13,6.50,0,0,0,,0,0,0,,0,0,,,3,42,14.00,0,1,5,5.00,0,0,0
37,1979,1979-10-15,7,24.117,NYJ,,MIN,W 14-7,5,19,3.80,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,22,22.00,0,1,0,0.00,0,0,0
