ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td
1,1950,1950-10-08,3,23.346,NYG,@,WAS,W 21-17,1,43,43.00,0,0,0,,0
2,1950,1950-10-22,5,23.360,NYG,,CLE,W 17-13,1,7,7.00,0,0,0,,0
3,1950,1950-11-05,7,24.009,NYG,,WAS,W 24-21,4,66,16.50,1,0,0,,0
4,1950,1950-11-12,8,24.016,NYG,,CRD,W 51-21,2,57,28.50,1,0,0,,0
5,1950,1950-11-19,9,24.023,NYG,@,BAL,W 55-20,2,29,14.50,2,0,0,,0
6,1950,1950-12-03,11,24.037,NYG,,NYY,W 51-7,2,40,20.00,1,0,0,,0
7,1950,1950-12-10,12,24.044,NYG,@,PHI,W 9-7,2,43,21.50,1,0,0,,0
8,1951,1951-10-07,2,24.345,NYG,@,WAS,W 35-14,1,21,21.00,1,0,0,,0
9,1951,1951-10-28,5,25.001,NYG,@,CLE,L 13-14,1,29,29.00,1,0,0,,0
10,1951,1951-11-04,6,25.008,NYG,,NYY,W 37-31,3,67,22.33,0,0,0,,0
11,1951,1951-11-18,8,25.022,NYG,,CLE,L 0-10,1,14,14.00,0,0,0,,0
12,1952,1952-09-28,1,25.337,NYG,@,DTX,W 24-6,2,40,20.00,1,0,0,,0
13,1952,1952-10-04,2,25.343,NYG,@,PHI,W 31-7,2,36,18.00,1,0,0,,0
14,1952,1952-10-19,4,25.358,NYG,,CRD,L 23-24,3,61,20.33,2,0,0,,0
15,1952,1952-10-26,5,25.365,NYG,,PHI,L 10-14,0,0,,0,1,2,2.00,0
16,1952,1952-11-02,6,26.006,NYG,@,CRD,W 28-6,1,39,39.00,1,0,0,,0
17,1952,1952-11-09,7,26.013,NYG,,SFO,W 23-14,3,67,22.33,0,0,0,,0
18,1952,1952-11-30,10,26.034,NYG,@,PIT,L 7-63,3,30,10.00,0,0,0,,0
19,1952,1952-12-07,11,26.041,NYG,,WAS,L 17-27,3,85,28.33,1,0,0,,0
20,1952,1952-12-14,12,26.048,NYG,,CLE,W 37-34,1,41,41.00,0,0,0,,0
