ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1984,1984-09-02,1,23.198,SFO,@,DET,W 30-27,,,,,,,,0,0,,0,,
2,1984,1984-09-10,2,23.206,SFO,,WAS,W 37-31,,,,,,,,0,0,,0,,
3,1984,1984-09-16,3,23.212,SFO,,NOR,W 30-20,,,,,,,,0,0,,0,,
4,1984,1984-09-23,4,23.219,SFO,@,PHI,W 21-9,,,,,,,,0,0,,0,,
5,1984,1984-10-08,6,23.234,SFO,@,NYG,W 31-10,,,,,,,,0,0,,0,,
6,1984,1984-10-14,7,23.240,SFO,,PIT,L 17-20,,,,,,,,0,0,,0,,
7,1984,1984-10-21,8,23.247,SFO,@,HOU,W 34-21,,0,0,,0,,,1,0,0.00,0,0,0
8,1984,1984-10-28,9,23.254,SFO,@,RAM,W 33-0,,,,,,,,0,0,,0,,
9,1984,1984-11-04,10,23.261,SFO,,CIN,W 23-17,,,,,,,,0,0,,0,,
10,1984,1984-11-11,11,23.268,SFO,@,CLE,W 41-7,,,,,,,,0,0,,0,,
11,1984,1984-11-18,12,23.275,SFO,,TAM,W 24-17,,,,,,,,0,0,,0,,
12,1984,1984-11-25,13,23.282,SFO,@,NOR,W 35-3,,,,,,,,0,0,,0,,
13,1984,1984-12-02,14,23.289,SFO,@,ATL,W 35-17,,,,,,,,0,0,,0,,
14,1984,1984-12-08,15,23.295,SFO,,MIN,W 51-7,,,,,,,,0,0,,0,,
15,1984,1984-12-14,16,23.301,SFO,,RAM,W 19-16,,,,,,,,0,0,,0,,
16,1985,1985-09-15,2,24.210,SFO,,ATL,W 35-16,,,,,,,,,,,,,
17,1985,1985-09-22,3,24.217,SFO,@,RAI,W 34-10,,,,,,,,,,,,,
18,1985,1985-09-29,4,24.224,SFO,,NOR,L 17-20,,,,,,,,,,,,,
19,1985,1985-10-06,5,24.231,SFO,@,ATL,W 38-17,,,,,,,,,,,,,
20,1985,1985-10-13,6,24.238,SFO,,CHI,L 10-26,,,,,,,,,,,,,
21,1985,1985-10-20,7,24.245,SFO,@,DET,L 21-23,,,,,,,,,,,,,
22,1985,1985-10-27,8,24.252,SFO,@,RAM,W 28-14,,,,,,,,,,,,,
23,1985,1985-11-03,9,24.259,SFO,,PHI,W 24-13,,,,,,,,,,,,,
24,1985,1985-11-11,10,24.267,SFO,@,DEN,L 16-17,,,,,,,,,,,,,
25,1985,1985-11-17,11,24.273,SFO,,KAN,W 31-3,,,,,,,,,,,,,
26,1985,1985-11-25,12,24.281,SFO,,SEA,W 19-6,,,,,,,,,,,,,
27,1985,1985-12-01,13,24.287,SFO,@,WAS,W 35-8,,,,,,,,,,,,,
28,1985,1985-12-09,14,24.295,SFO,,RAM,L 20-27,,,,,,,,,,,,,
29,1985,1985-12-15,15,24.301,SFO,@,NOR,W 31-19,,,,,,,,,,,,,
30,1985,1985-12-22,16,24.308,SFO,,DAL,W 31-16,,,,,,,,,,,,,
31,1986,1986-09-07,1,25.202,SFO,@,TAM,W 31-7,,,,,,,,,,,,,
32,1986,1986-09-14,2,25.209,SFO,@,RAM,L 13-16,,,,,,,,,,,,,
33,1986,1986-09-21,3,25.216,SFO,,NOR,W 26-17,,,,,,,,,,,,,
34,1986,1986-09-28,4,25.223,SFO,@,MIA,W 31-16,,,,,,,,,,,,,
35,1986,1986-10-05,5,25.230,SFO,,IND,W 35-14,,,,,,,,,,,,,
36,1986,1986-10-12,6,25.237,SFO,,MIN,L 24-27,,,,,,,,,,,,,
37,1986,1986-10-19,7,25.244,SFO,@,ATL,T 10-10,,,,,,,,,,,,,
38,1986,1986-10-26,8,25.251,SFO,@,GNB,W 31-17,,,,,,,,,,,,,
39,1986,1986-11-02,9,25.258,SFO,@,NOR,L 10-23,,,,,,,,,,,,,
40,1986,1986-11-09,10,25.265,SFO,,STL,W 43-17,,,,,,,,,,,,,
41,1986,1986-11-17,11,25.273,SFO,@,WAS,L 6-14,,,,,,,,,,,,,
42,1986,1986-11-23,12,25.279,SFO,,ATL,W 20-0,,,,,,,,,,,,,
43,1986,1986-12-01,13,25.287,SFO,,NYG,L 17-21,,,,,,,,,,,,,
44,1986,1986-12-07,14,25.293,SFO,,NYJ,W 24-10,,,,,,,,,,,,,
45,1986,1986-12-14,15,25.300,SFO,@,NWE,W 29-24,,,,,,,,,,,,,
46,1986,1986-12-19,16,25.305,SFO,,RAM,W 24-14,,,,,,,,,,,,,
