ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,sacks,tackles_solo,tackles_assists
1,2014,2014-09-07,1,23.206,STL,,MIN,L 6-34,,,,,,,,,,,0.0%,,,,
2,2014,2014-09-21,3,23.220,STL,,DAL,L 31-34,,5,24,4.80,0,0,0,0,,0,0.0%,,0.0,1,0
3,2014,2014-10-05,4,23.234,STL,@,PHI,L 28-34,,2,6,3.00,0,2,2,12,6.00,0,100.0%,6.00,0.0,0,0
4,2014,2014-10-13,5,23.242,STL,,SFO,L 17-31,,0,0,,0,0,0,0,,0,0.0%,,0.0,1,0
5,2014,2014-10-19,6,23.248,STL,,SEA,W 28-26,,,,,,,,,,,0.0%,,,,
6,2014,2014-10-26,7,23.255,STL,@,KAN,L 7-34,,,,,,,,,,,0.0%,,,,
7,2014,2014-11-02,8,23.262,STL,@,SFO,W 13-10,,0,0,,0,1,1,6,6.00,0,100.0%,6.00,0.0,0,0
8,2014,2014-11-16,10,23.276,STL,,DEN,W 22-7,,0,0,,0,,0,0,,0,0.0%,,0.0,0,1
9,2014,2014-11-23,11,23.283,STL,@,SDG,L 24-27,,,,,,,,,,,0.0%,,,,
10,2014,2014-11-30,12,23.290,STL,,OAK,W 52-0,,0,0,,0,1,0,0,,0,0.0%,0.00,0.0,1,0
11,2014,2014-12-07,13,23.297,STL,@,WAS,W 24-0,,0,0,,0,,0,0,,0,0.0%,,0.0,1,0
12,2014,2014-12-11,14,23.301,STL,,ARI,L 6-12,,,,,,0,,,,,0.0%,,,,
13,2014,2014-12-21,15,23.311,STL,,NYG,L 27-37,,,,,,,,,,,0.0%,,,,
14,2014,2014-12-28,16,23.318,STL,@,SEA,L 6-20,,,,,,,,,,,0.0%,,,,
15,2015,2015-10-25,6,24.254,STL,,CLE,W 24-6,,0,0,,0,0,0,0,,0,0.0%,,0.0,0,0
