ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1975,1975-09-21,1,22.180,DEN,,KAN,W 37-33,,,,,,,,,,,,
2,1975,1975-09-29,2,22.188,DEN,,GNB,W 23-13,,,,,,,,,,,,
3,1975,1975-10-05,3,22.194,DEN,@,BUF,L 14-38,,,,,,,,,,,,
4,1975,1975-10-12,4,22.201,DEN,@,PIT,L 9-20,,,,,,,,,,,,
5,1975,1975-10-19,5,22.208,DEN,,CLE,W 16-15,,,,,,,,,,,,
6,1975,1975-10-26,6,22.215,DEN,@,KAN,L 13-26,,,,,,,,,,,,
7,1975,1975-11-02,7,22.222,DEN,,OAK,L 17-42,,,,,,,,,,,,
8,1975,1975-11-09,8,22.229,DEN,,CIN,L 16-17,,,,,,,,,,,,
9,1975,1975-11-16,9,22.236,DEN,@,SDG,W 27-17,,,,,,,,,,,,
10,1975,1975-11-23,10,22.243,DEN,@,ATL,L 21-35,,,,,,,,,,,,
11,1975,1975-11-30,11,22.250,DEN,,SDG,W 13-10,,,,,,,,,,,,
12,1975,1975-12-08,12,22.258,DEN,@,OAK,L 10-17,,,,,,,,,,,,
13,1975,1975-12-14,13,22.264,DEN,,PHI,W 25-10,1,1,1.00,0,0,0,,0,0,0,,0
14,1975,1975-12-20,14,22.270,DEN,@,MIA,L 13-14,,,,,,,,,,,,
15,1976,1976-09-12,1,23.171,DEN,@,CIN,L 7-17,1,3,3.00,0,0,0,,0,0,0,,0
16,1976,1976-09-19,2,23.178,DEN,,NYJ,W 46-3,,,,,,,,,,,,
17,1976,1976-09-26,3,23.185,DEN,,CLE,W 44-13,2,3,1.50,0,0,0,,0,0,0,,0
18,1976,1976-10-03,4,23.192,DEN,,SDG,W 26-0,8,18,2.25,0,3,31,10.33,0,0,0,,0
19,1976,1976-10-10,5,23.199,DEN,@,HOU,L 3-17,,,,,,,,,,,,
20,1976,1976-10-17,6,23.206,DEN,,OAK,L 10-17,,,,,,,,,,,,
21,1976,1976-10-24,7,23.213,DEN,@,KAN,W 35-26,,,,,,,,,,,,
22,1976,1976-10-31,8,23.220,DEN,@,OAK,L 6-19,,,,,,,,,,,,
23,1976,1976-11-07,9,23.227,DEN,,TAM,W 48-13,1,1,1.00,0,0,0,,0,1,14,14.00,0
24,1976,1976-11-14,10,23.234,DEN,@,SDG,W 17-0,,,,,,,,,,,,
25,1976,1976-11-21,11,23.241,DEN,,NYG,W 14-13,,,,,,,,,,,,
26,1976,1976-11-28,12,23.248,DEN,@,NWE,L 14-38,,,,,,,,,,,,
27,1976,1976-12-05,13,23.255,DEN,,KAN,W 17-16,0,0,,0,1,11,11.00,0,1,8,8.00,0
28,1976,1976-12-12,14,23.262,DEN,@,CHI,W 28-14,,,,,,,,,,,,
29,1977,1977-09-25,2,24.184,BUF,@,DEN,L 6-26,,,,,,,,,,,,
30,1977,1977-10-02,3,24.191,BUF,@,BAL,L 14-17,1,0,0.00,0,0,0,,0,0,0,,0
31,1977,1977-10-09,4,24.198,BUF,,NYJ,L 19-24,,,,,,,,,,,,
32,1977,1977-10-16,5,24.205,BUF,,ATL,W 3-0,,,,,,,,,,,,
33,1977,1977-10-23,6,24.212,BUF,,CLE,L 16-27,,,,,,,,,,,,
34,1977,1977-10-30,7,24.219,BUF,@,SEA,L 17-56,,,,,,,,,,,,
35,1977,1977-11-06,8,24.226,BUF,@,NWE,W 24-14,0,0,,0,0,0,,0,1,9,9.00,0
36,1977,1977-11-13,9,24.233,BUF,,BAL,L 13-31,,,,,,,,,,,,
37,1977,1977-11-20,10,24.240,BUF,,NWE,L 7-20,,,,,,,,,,,,
38,1977,1977-11-28,11,24.248,BUF,@,OAK,L 13-34,,,,,,,,,,,,
39,1977,1977-12-04,12,24.254,BUF,,WAS,L 0-10,,,,,,,,,,,,
