ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,2006,2006-09-24,3,22.225,CLE,,BAL,L 14-15,,,0,0,,0,0.0%,
2,2006,2006-12-17,14,22.309,CLE,@,BAL,L 17-27,,2,1,16,16.00,0,50.0%,8.00
3,2006,2006-12-24,15,22.316,CLE,,TAM,L 7-22,,3,0,0,,0,0.0%,0.00
4,2006,2006-12-31,16,22.323,CLE,@,HOU,L 6-14,*,1,1,16,16.00,0,100.0%,16.00
