ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1966,1966-09-11,1,25.068,STL,,PHI,W 16-13,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,58,29.00,0,1,0,0.00,0,0,0
2,1966,1966-09-18,2,25.075,STL,,WAS,W 23-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,33,16.50,0,2,31,15.50,0,0,0
3,1966,1966-09-25,3,25.082,STL,@,CLE,W 34-28,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,108,54.00,1,1,6,6.00,0,1,6
4,1966,1966-10-02,4,25.089,STL,@,PHI,W 41-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,64,32.00,0,2,5,2.50,0,0,0
5,1966,1966-10-16,6,25.103,STL,,DAL,T 10-10,0,0,,0,4,72,18.00,0,0,0,,0,0,0,,0,0,,,3,60,20.00,0,1,-1,-1.00,0,0,0
6,1966,1966-10-23,7,25.110,STL,@,WAS,L 20-26,0,0,,0,1,9,9.00,0,0,0,,0,0,0,,0,0,,,3,107,35.67,0,2,2,1.00,0,0,0
7,1966,1966-10-31,8,25.118,STL,,CHI,W 24-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,17,17.00,0,1,0,0.00,0,0,0
8,1966,1966-11-27,11,25.145,STL,,PIT,W 6-3,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,24,24.00,0,1,7,7.00,0,0,0
9,1966,1966-12-04,12,25.152,STL,@,DAL,L 17-31,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,87,29.00,0,2,-1,-0.50,0,0,0
10,1966,1966-12-11,13,25.159,STL,@,ATL,L 10-16,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,97,32.33,0,3,0,0.00,0,0,0
11,1966,1966-12-17,14,25.165,STL,,CLE,L 10-38,1,5,5.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,5,107,21.40,0,0,0,,0,0,0
12,1967,1967-09-17,1,26.074,STL,,NYG,L 20-37,5,26,5.20,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,18,18.00,0,2,-3,-1.50,0,0,0
13,1967,1967-09-24,2,26.081,STL,@,PIT,W 28-14,1,3,3.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,32,16.00,0,1,31,31.00,0,0,0
14,1967,1967-10-01,3,26.088,STL,,DET,W 38-28,4,8,2.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,35,17.50,0,1,-2,-2.00,0,0,0
15,1967,1967-10-08,4,26.095,STL,@,MIN,W 34-24,1,3,3.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,37,18.50,0,1,0,0.00,0,0,0
16,1967,1967-10-15,5,26.102,STL,@,CLE,L 16-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,23,23.00,0,1,-3,-3.00,0,0,0
