ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,1982,1982-09-12,1,22.024,NOR,,STL,L 7-21,,,,,,,,,
2,1982,1982-11-21,3,22.094,NOR,,KAN,W 27-17,,,,,,,,,
3,1982,1982-11-28,4,22.101,NOR,@,SFO,W 23-20,,,,,,,,,
4,1982,1982-12-05,5,22.108,NOR,,TAM,L 10-13,,,,,1,2,50.0,0,3
5,1982,1982-12-12,6,22.115,NOR,@,ATL,L 0-35,,,,,,,,,
6,1982,1982-12-19,7,22.122,NOR,@,DAL,L 7-21,,,,,,1,0.0,0,0
7,1982,1982-12-26,8,22.129,NOR,,WAS,L 10-27,,1,1,100.0,1,1,100.0,0,4
8,1982,1983-01-02,9,22.136,NOR,,ATL,W 35-6,,5,5,100.0,,1,0.0,0,5
9,1983,1983-09-04,1,23.016,NOR,,STL,W 28-17,,4,4,100.0,,,,0,4
10,1983,1983-09-11,2,23.023,NOR,@,RAM,L 27-30,,3,3,100.0,2,3,66.7,0,9
11,1983,1983-09-18,3,23.030,NOR,,CHI,W 34-31,,4,4,100.0,2,2,100.0,0,10
12,1983,1983-09-25,4,23.037,NOR,@,DAL,L 20-21,,2,2,100.0,2,4,50.0,0,8
13,1983,1983-10-02,5,23.044,NOR,,MIA,W 17-7,,2,2,100.0,1,1,100.0,0,5
14,1983,1983-10-09,6,23.051,NOR,@,ATL,W 19-17,,1,1,100.0,4,4,100.0,0,13
15,1983,1983-10-16,7,23.058,NOR,,SFO,L 13-32,,1,1,100.0,2,2,100.0,0,7
16,1983,1983-10-23,8,23.065,NOR,@,TAM,W 24-21,,3,3,100.0,1,1,100.0,0,6
17,1983,1983-10-30,9,23.072,NOR,@,BUF,L 21-27,,3,3,100.0,,,,0,3
18,1983,1983-11-06,10,23.079,NOR,,ATL,W 27-10,,3,4,75.0,,1,0.0,0,3
19,1983,1983-11-13,11,23.086,NOR,@,SFO,L 0-27,,,,,,,,,
20,1983,1983-11-21,12,23.094,NOR,,NYJ,L 28-31,,4,4,100.0,,1,0.0,0,4
21,1983,1983-11-27,13,23.100,NOR,,MIN,W 17-16,,2,2,100.0,1,1,100.0,0,5
22,1983,1983-12-04,14,23.107,NOR,@,NWE,L 0-7,,,,,,1,0.0,0,0
23,1983,1983-12-11,15,23.114,NOR,@,PHI,W 20-17,,2,2,100.0,2,2,100.0,0,8
24,1983,1983-12-18,16,23.121,NOR,,RAM,L 24-26,,3,3,100.0,1,1,100.0,0,6
25,1984,1984-09-02,1,24.014,NOR,,ATL,L 28-36,,4,4,100.0,,,,0,4
26,1984,1984-09-09,2,24.021,NOR,,TAM,W 17-13,,2,2,100.0,1,1,100.0,0,5
27,1984,1984-09-16,3,24.028,NOR,@,SFO,L 20-30,,2,2,100.0,2,3,66.7,0,8
28,1984,1984-09-23,4,24.035,NOR,,STL,W 34-24,,4,4,100.0,2,2,100.0,0,10
29,1984,1984-09-30,5,24.042,NOR,@,HOU,W 27-10,,3,3,100.0,2,3,66.7,0,9
30,1984,1984-10-07,6,24.049,NOR,@,CHI,L 7-20,,1,1,100.0,,,,0,1
