ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1959,1959-11-22,9,24.061,BAL,,SFO,W 45-14,1,1,1.00,0,2,39,19.50,0,,,,,,,,
2,1959,1959-11-29,10,24.068,BAL,,RAM,W 35-21,3,1,0.33,0,1,15,15.00,0,,,,,,,,
3,1960,1960-10-02,4,25.010,BUF,,LAC,L 10-24,0,0,,0,0,0,,0,2,46,23.00,0,1,2,2.00,0
4,1960,1960-10-16,5,25.024,BUF,,NYT,L 13-17,0,0,,0,0,0,,0,2,51,25.50,0,0,0,,0
5,1962,1962-09-09,1,26.352,OAK,,NYT,L 17-28,1,1,1.00,0,0,0,,0,0,0,,0,1,12,12.00,0
6,1962,1962-09-23,2,27.001,OAK,,DTX,L 16-26,0,0,,0,0,0,,0,0,0,,0,3,32,10.67,0
7,1962,1962-09-30,3,27.008,OAK,,SDG,L 33-42,0,0,,0,0,0,,0,0,0,,0,3,16,5.33,0
8,1962,1962-10-05,4,27.013,OAK,@,DEN,L 7-44,0,0,,0,0,0,,0,1,2,2.00,0,0,0,,0
9,1962,1962-11-04,8,27.043,OAK,@,NYT,L 21-31,0,0,,0,0,0,,0,1,29,29.00,0,0,0,,0
10,1962,1962-11-11,9,27.050,OAK,,HOU,L 20-28,1,0,0.00,0,0,0,,0,0,0,,0,2,5,2.50,0
11,1962,1962-11-18,10,27.057,OAK,,BUF,L 6-10,7,17,2.43,0,4,25,6.25,0,1,34,34.00,0,0,0,,0
12,1962,1962-11-25,11,27.064,OAK,@,DTX,L 7-35,0,0,,0,1,3,3.00,0,0,0,,0,0,0,,0
13,1962,1962-12-02,12,27.071,OAK,@,SDG,L 21-31,0,0,,0,1,12,12.00,0,0,0,,0,0,0,,0
14,1962,1962-12-09,13,27.078,OAK,@,HOU,L 17-32,0,0,,0,1,13,13.00,0,0,0,,0,0,0,,0
