ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1993,1993-09-19,3,24.257,NOR,,DET,W 14-3,4,1,6,6.00,0,25.0%,1.50,4,19,4.75,0,0,0,,0,0,0
2,1993,1993-09-26,4,24.264,NOR,,SFO,W 16-13,,0,0,,0,0.0%,,0,0,,0,,,,,0,
3,1993,1993-10-03,5,24.271,NOR,@,RAM,W 37-6,,0,0,,0,0.0%,,1,35,35.00,1,0,0,,0,1,6
4,1993,1993-10-17,6,24.285,NOR,@,PIT,L 14-37,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,0,0
5,1993,1993-10-24,7,24.292,NOR,,ATL,L 15-26,6,5,46,9.20,0,83.3%,7.67,1,7,7.00,0,0,0,,0,0,0
6,1993,1993-10-31,8,24.299,NOR,@,PHO,W 20-17,,0,0,,0,0.0%,,0,0,,0,,,,,0,
7,1993,1993-11-14,9,24.313,NOR,,GNB,L 17-19,,0,0,,0,0.0%,,0,0,,0,,,,,0,
8,1993,1993-11-22,10,24.321,NOR,@,SFO,L 7-42,1,1,7,7.00,0,100.0%,7.00,3,10,3.33,0,0,0,,0,0,0
9,1993,1993-11-28,11,24.327,NOR,@,MIN,W 17-14,1,1,-15,-15.00,0,100.0%,-15.00,0,0,,0,0,0,,0,0,0
10,1993,1993-12-05,12,24.334,NOR,@,CLE,L 13-17,,0,0,,0,0.0%,,0,0,,0,,,,,0,
11,1993,1993-12-12,13,24.341,NOR,,RAM,L 20-23,,0,0,,0,0.0%,,0,0,,0,,,,,0,
12,1993,1993-12-20,14,24.349,NOR,,NYG,L 14-24,,0,0,,0,0.0%,,0,0,,0,,,,,0,
13,1993,1993-12-26,15,24.355,NOR,@,PHI,L 26-37,,0,0,,0,0.0%,,0,0,,0,,,,,0,
14,1993,1994-01-02,16,24.362,NOR,,CIN,W 20-13,,0,0,,0,0.0%,,0,0,,0,,,,,0,
15,1994,1994-09-04,1,25.242,NOR,,KAN,L 17-30,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,
16,1994,1994-09-11,2,25.249,NOR,,WAS,L 24-38,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,
17,1994,1994-09-18,3,25.256,NOR,@,TAM,W 9-7,6,5,38,7.60,0,83.3%,6.33,5,28,5.60,0,0,0,,0,0,0
18,1994,1994-09-25,4,25.263,NOR,@,SFO,L 13-24,5,4,20,5.00,0,80.0%,4.00,5,5,1.00,0,1,9,9.00,0,0,0
19,1994,1994-10-02,5,25.270,NOR,,NYG,W 27-22,4,2,21,10.50,0,50.0%,5.25,1,3,3.00,0,0,0,,0,0,0
20,1994,1994-10-09,6,25.277,NOR,@,CHI,L 7-17,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,
21,1994,1994-10-16,7,25.284,NOR,,SDG,L 22-36,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,
22,1994,1994-10-23,8,25.291,NOR,,RAM,W 37-34,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,
23,1994,1994-11-06,9,25.305,NOR,@,MIN,L 20-21,,0,0,,0,0.0%,,0,0,,0,2,0,0.00,0,0,0
24,1994,1994-11-13,10,25.312,NOR,,ATL,W 33-32,2,2,7,3.50,0,100.0%,3.50,0,0,,0,0,0,,0,0,0
25,1994,1994-11-20,11,25.319,NOR,@,RAI,L 19-24,0,0,0,,0,0.0%,,0,0,,0,1,19,19.00,0,0,0
26,1994,1994-11-28,12,25.327,NOR,,SFO,L 14-35,0,0,0,,0,0.0%,,0,0,,0,1,19,19.00,0,0,0
27,1994,1994-12-04,13,25.333,NOR,@,RAM,W 31-15,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,
28,1994,1994-12-11,14,25.340,NOR,@,ATL,W 29-20,0,0,0,,0,0.0%,,0,0,,0,1,14,14.00,0,0,0
29,1994,1994-12-19,15,25.348,NOR,,DAL,L 16-24,0,0,0,,0,0.0%,,0,0,,0,1,16,16.00,0,0,0
30,1994,1994-12-24,16,25.353,NOR,@,DEN,W 30-28,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,
31,1995,1995-09-10,2,26.248,NOR,@,STL,L 13-17,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,0,0
32,1995,1995-09-17,3,26.255,NOR,,ATL,L 24-27,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,
33,1995,1995-09-24,4,26.262,NOR,@,NYG,L 29-45,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,
34,1995,1995-10-01,5,26.269,NOR,,PHI,L 10-15,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,
35,1995,1995-10-15,6,26.283,NOR,,MIA,W 33-30,1,1,-6,-6.00,0,100.0%,-6.00,0,0,,0,0,0,,0,0,0
36,1995,1995-10-22,7,26.290,NOR,@,CAR,L 3-20,1,1,9,9.00,0,100.0%,9.00,3,1,0.33,0,0,0,,0,0,0
37,1995,1995-11-19,11,26.318,NOR,@,MIN,L 24-43,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,
38,1995,1995-11-26,12,26.325,NOR,,CAR,W 34-26,0,0,0,,0,0.0%,,0,0,,0,2,33,16.50,0,0,0
39,1995,1995-12-03,13,26.332,NOR,@,NWE,W 31-17,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,
40,1995,1995-12-10,14,26.339,NOR,@,ATL,L 14-19,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,
41,1995,1995-12-16,15,26.345,NOR,,GNB,L 23-34,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,
42,1995,1995-12-24,16,26.353,NOR,@,NYJ,W 12-0,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,
