ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td
1,1971,1971-10-10,4,23.223,DEN,,OAK,L 16-27,,,,,,,,
2,1971,1971-10-17,5,23.230,DEN,,SDG,W 20-16,,,,,,,,
3,1971,1971-10-24,6,23.237,DEN,@,CLE,W 27-0,1,-6,-6.00,0,0,0,,0
4,1971,1971-10-31,7,23.244,DEN,@,PHI,L 16-17,,,,,,,,
5,1971,1971-11-07,8,23.251,DEN,,DET,L 20-24,,,,,,,,
6,1971,1971-11-14,9,23.258,DEN,,CIN,L 10-24,1,3,3.00,0,0,0,,0
7,1971,1971-11-21,10,23.265,DEN,@,KAN,L 10-28,1,5,5.00,0,0,0,,0
8,1971,1971-11-28,11,23.272,DEN,@,PIT,W 22-10,,,,,,,,
9,1971,1971-12-05,12,23.279,DEN,,CHI,W 6-3,1,29,29.00,0,1,5,5.00,0
10,1971,1971-12-12,13,23.286,DEN,@,SDG,L 17-45,0,0,,0,1,12,12.00,0
11,1971,1971-12-19,14,23.293,DEN,@,OAK,L 13-21,0,0,,0,1,19,19.00,0
12,1972,1972-09-17,1,24.200,BAL,,STL,L 3-10,,,,,,,,
13,1972,1972-09-24,2,24.207,BAL,,NYJ,L 34-44,,,,,,,,
14,1972,1972-10-01,3,24.214,BAL,@,BUF,W 17-0,,,,,,,,
15,1972,1972-10-08,4,24.221,BAL,,SDG,L 20-23,,,,,,,,
16,1972,1972-10-15,5,24.228,BAL,,DAL,L 0-21,,,,,,,,
17,1972,1972-10-22,6,24.235,BAL,@,NYJ,L 20-24,0,0,,0,1,53,53.00,0
18,1972,1972-10-29,7,24.242,BAL,,MIA,L 0-23,,,,,,,,
19,1972,1972-11-06,8,24.250,BAL,@,NWE,W 24-17,,,,,,,,
20,1972,1972-11-12,9,24.256,BAL,@,SFO,L 21-24,,,,,,,,
21,1972,1972-11-19,10,24.263,BAL,@,CIN,W 20-19,,,,,,,,
22,1972,1972-11-26,11,24.270,BAL,,NWE,W 31-0,,,,,,,,
23,1972,1972-12-03,12,24.277,BAL,,BUF,W 35-7,,,,,,,,
24,1972,1972-12-10,13,24.284,BAL,@,KAN,L 10-24,,,,,,,,
25,1972,1972-12-16,14,24.290,BAL,@,MIA,L 0-16,,,,,,,,
