ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring
1,1991,1991-09-01,1,23.242,MIA,@,BUF,L 31-35,,,,,,,,,,,,,,,,,,
2,1991,1991-09-08,2,23.249,MIA,,IND,W 17-6,,,,,,,,,,,,,,,,,,
3,1992,1992-09-14,1,24.256,MIA,@,CLE,W 27-23,,0,0,,0,0,0,,0,,,,0,0,,0,,
4,1992,1992-09-20,2,24.262,MIA,,RAM,W 26-10,,0,0,,0,0,0,,0,,,,0,0,,0,,
5,1992,1992-09-27,3,24.269,MIA,@,SEA,W 19-17,,1,1,100.00,18,0,0,118.7,0,0,18.00,18.00,0,0,,0,0,0
6,1992,1992-10-04,4,24.276,MIA,@,BUF,W 37-10,,0,0,,0,0,0,,0,,,,1,-1,-1.00,0,0,0
7,1992,1992-10-11,5,24.283,MIA,,ATL,W 21-17,,0,0,,0,0,0,,0,,,,0,0,,0,,
8,1992,1992-10-18,6,24.290,MIA,,NWE,W 38-17,,0,2,0.00,0,0,1,0.0,0,0,0.00,-22.50,4,5,1.25,0,0,0
9,1992,1992-10-25,7,24.297,MIA,,IND,L 20-31,,0,0,,0,0,0,,0,,,,0,0,,0,,
10,1992,1992-11-01,8,24.304,MIA,@,NYJ,L 14-26,,0,0,,0,0,0,,0,,,,0,0,,0,,
11,1992,1992-11-08,9,24.311,MIA,@,IND,W 28-0,,0,0,,0,0,0,,0,,,,2,-2,-1.00,0,0,0
12,1992,1992-11-16,10,24.319,MIA,,BUF,L 20-26,,0,0,,0,0,0,,0,,,,0,0,,0,,
13,1992,1992-11-22,11,24.325,MIA,,HOU,W 19-16,,0,0,,0,0,0,,0,,,,0,0,,0,,
14,1992,1992-11-29,12,24.332,MIA,@,NOR,L 13-24,,0,0,,0,0,0,,0,,,,0,0,,0,,
15,1992,1992-12-06,13,24.339,MIA,@,SFO,L 3-27,,1,5,20.00,14,0,0,39.6,0,0,2.80,2.80,1,8,8.00,0,0,0
16,1992,1992-12-14,14,24.347,MIA,,RAI,W 20-7,,0,0,,0,0,0,,0,,,,0,0,,0,,
17,1992,1992-12-20,15,24.353,MIA,,NYJ,W 19-17,,0,0,,0,0,0,,0,,,,0,0,,0,,
18,1992,1992-12-27,16,24.360,MIA,@,NWE,W 16-13,,0,0,,0,0,0,,0,,,,0,0,,0,,
19,1993,1993-09-05,1,25.246,MIA,@,IND,W 24-20,,0,0,,0,0,0,,0,,,,0,0,,0,,
20,1993,1993-09-12,2,25.253,MIA,,NYJ,L 14-24,,0,0,,0,0,0,,0,,,,0,0,,0,,
21,1993,1993-09-26,3,25.267,MIA,@,BUF,W 22-13,,0,0,,0,0,0,,0,,,,1,1,1.00,0,0,0
22,1993,1993-10-04,4,25.275,MIA,,WAS,W 17-10,,0,0,,0,0,0,,0,,,,0,0,,0,,
23,1993,1993-10-10,5,25.281,MIA,@,CLE,W 24-14,,10,16,62.50,118,2,1,98.4,0,0,7.38,7.06,3,14,4.67,0,0,0
24,1993,1993-10-24,6,25.295,MIA,,IND,W 41-27,*,12,19,63.16,190,1,0,113.9,1,6,10.00,11.05,3,2,0.67,0,0,0
25,1993,1993-10-31,7,25.302,MIA,,KAN,W 30-10,*,22,33,66.67,344,3,0,131.4,0,0,10.42,12.24,3,12,4.00,0,0,0
26,1993,1993-11-07,8,25.309,MIA,@,NYJ,L 10-27,*,23,44,52.27,297,1,1,71.9,1,8,6.75,6.18,3,12,4.00,0,0,0
27,1993,1993-11-14,9,25.316,MIA,@,PHI,W 19-14,*,8,17,47.06,150,1,1,73.2,1,6,8.82,7.35,3,37,12.33,0,0,0
28,1993,1993-12-13,13,25.345,MIA,,PIT,L 20-21,,0,0,,0,0,0,,0,,,,0,0,,0,,
29,1993,1993-12-19,14,25.351,MIA,,BUF,L 34-47,*,12,24,50.00,155,2,2,63.7,0,0,6.46,4.38,1,2,2.00,0,0,0
30,1993,1993-12-27,15,25.359,MIA,@,SDG,L 20-45,*,24,40,60.00,260,1,3,56.2,0,0,6.50,3.63,1,-2,-2.00,0,0,0
31,1993,1994-01-02,16,26.000,MIA,@,NWE,L 27-33,*,22,40,55.00,259,1,0,83.2,4,29,6.48,6.98,3,11,3.67,0,0,0
32,1994,1994-09-04,1,26.245,DET,,ATL,W 31-28,*,16,31,51.61,203,3,1,91.2,0,0,6.55,7.03,1,5,5.00,0,0,0
33,1994,1994-09-11,2,26.252,DET,@,MIN,L 3-10,*,18,40,45.00,212,0,1,51.2,6,37,5.30,4.18,1,7,7.00,0,0,0
34,1994,1994-09-19,3,26.260,DET,@,DAL,W 20-17,*,13,27,48.15,174,2,0,93.7,1,1,6.44,7.93,2,3,1.50,0,0,0
35,1994,1994-09-25,4,26.266,DET,,NWE,L 17-23,*,14,29,48.28,189,0,2,40.7,1,6,6.52,3.41,2,3,1.50,0,0,0
36,1994,1994-10-02,5,26.273,DET,@,TAM,L 14-24,*,13,30,43.33,130,0,0,56.2,1,5,4.33,4.33,1,5,5.00,1,1,6
37,1994,1994-10-09,6,26.280,DET,,SFO,L 21-27,*,18,27,66.67,246,2,1,104.9,2,4,9.11,8.93,2,-3,-1.50,0,0,0
38,1994,1994-10-23,7,26.294,DET,,CHI,W 21-16,*,6,17,35.29,59,1,1,41.1,1,10,3.47,2.00,5,3,0.60,0,0,0
39,1994,1994-10-30,8,26.301,DET,@,NYG,W 28-25,*,16,30,53.33,180,2,3,54.2,0,0,6.00,2.83,1,1,1.00,0,0,0
40,1994,1994-11-06,9,26.308,DET,@,GNB,L 30-38,*,5,15,33.33,63,0,2,7.8,0,0,4.20,-1.80,0,0,,0,0,0
41,1995,1995-09-03,1,27.244,DET,@,PIT,L 20-23,*,18,32,56.25,195,2,1,82.2,2,15,6.09,5.94,0,0,,0,0,0
42,1995,1995-09-10,2,27.251,DET,@,MIN,L 10-20,*,27,47,57.45,279,1,1,72.9,4,7,5.94,5.40,1,18,18.00,0,0,0
43,1995,1995-09-17,3,27.258,DET,,ARI,L 17-20,*,17,26,65.38,217,1,0,104.2,2,19,8.35,9.12,3,8,2.67,0,0,0
44,1995,1995-09-25,4,27.266,DET,,SFO,W 27-24,*,28,42,66.67,291,1,0,94.4,3,5,6.93,7.40,5,6,1.20,1,1,6
45,1995,1995-10-08,5,27.279,DET,,CLE,W 38-20,*,24,38,63.16,273,2,1,91.2,3,5,7.18,7.05,0,0,,0,0,0
46,1995,1995-10-15,6,27.286,DET,@,GNB,L 21-30,*,17,41,41.46,205,3,1,71.7,0,0,5.00,5.37,2,5,2.50,0,0,0
47,1995,1995-10-22,7,27.293,DET,@,WAS,L 30-36,*,30,50,60.00,327,3,1,91.0,2,5,6.54,6.84,2,7,3.50,0,0,0
48,1995,1995-10-29,8,27.300,DET,,GNB,W 24-16,*,15,23,65.22,249,3,0,141.1,2,11,10.83,13.43,3,2,0.67,0,0,0
49,1995,1995-11-05,9,27.307,DET,@,ATL,L 22-34,*,23,50,46.00,321,2,2,63.8,1,7,6.42,5.42,3,14,4.67,1,1,6
