ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att
1,1953,1953-09-27,1,21.261,DET,,PIT,W 38-21,2,0,0.00,1,2,19,9.50,0,0,0,,0,0,,,,,,
2,1953,1953-10-03,2,21.267,DET,@,BAL,W 27-17,6,20,3.33,0,0,0,,0,0,0,,0,0,,,,,,
3,1953,1953-10-11,3,21.275,DET,,SFO,W 24-21,6,11,1.83,0,1,-1,-1.00,0,0,0,,0,0,,,,,,
4,1953,1953-10-18,4,21.282,DET,,RAM,L 19-31,9,41,4.56,0,3,40,13.33,0,0,0,,0,0,,,,,,
5,1953,1953-10-25,5,21.289,DET,@,SFO,W 14-10,13,42,3.23,0,2,-3,-1.50,0,0,0,,0,0,,,,,,
6,1953,1953-11-01,6,21.296,DET,@,RAM,L 24-37,1,-7,-7.00,0,0,0,,0,0,0,,0,0,,,,,,
7,1953,1953-11-07,7,21.302,DET,,BAL,W 17-7,9,35,3.89,0,1,9,9.00,0,0,0,,0,0,,,,,,
8,1953,1953-11-15,8,21.310,DET,@,GNB,W 14-7,6,-3,-0.50,0,0,0,,0,0,0,,0,0,,,,,,
9,1953,1953-11-22,9,21.317,DET,@,CHI,W 20-16,7,20,2.86,0,1,11,11.00,0,0,0,,0,0,,,,,,
10,1953,1953-11-26,10,21.321,DET,,GNB,W 34-15,5,44,8.80,1,1,8,8.00,0,0,0,,0,0,,,,,,
11,1953,1953-12-06,11,21.331,DET,,CHI,W 13-7,9,29,3.22,0,1,5,5.00,0,0,0,,0,0,,,,,,
12,1953,1953-12-13,12,21.338,DET,@,NYG,W 27-16,10,23,2.30,1,2,33,16.50,0,0,0,,0,0,,,,,,
13,1956,1956-09-30,1,24.265,DET,@,GNB,W 20-16,1,3,3.00,0,0,0,,0,0,0,,0,0,,,,,,
14,1956,1956-10-06,2,24.271,DET,@,BAL,W 31-14,15,44,2.93,1,3,22,7.33,0,0,0,,0,0,,,,,,
15,1956,1956-10-14,3,24.279,DET,,RAM,W 24-21,16,65,4.06,1,3,63,21.00,0,0,0,,0,0,,,,,,
16,1956,1956-10-21,4,24.286,DET,,SFO,W 20-17,3,14,4.67,0,2,-5,-2.50,0,0,0,,0,0,,,,,,
17,1956,1956-10-28,5,24.293,DET,@,RAM,W 16-7,6,25,4.17,0,1,4,4.00,0,0,0,,0,0,,,,,,
18,1956,1956-11-04,6,24.300,DET,@,SFO,W 17-13,6,18,3.00,0,3,32,10.67,0,0,0,,0,0,,,,,,
19,1956,1956-11-11,7,24.307,DET,@,WAS,L 17-18,11,23,2.09,1,0,0,,0,0,0,,0,0,,,,,,
20,1956,1956-11-18,8,24.314,DET,,BAL,W 27-3,17,78,4.59,1,0,0,,0,0,0,,0,0,,,,,,
21,1956,1956-11-22,9,24.318,DET,,GNB,L 20-24,22,103,4.68,0,0,0,,0,0,0,,0,0,,,,,,
22,1956,1956-12-02,10,24.328,DET,,CHI,W 42-10,17,85,5.00,1,2,13,6.50,1,0,0,,0,0,,,,,,
23,1956,1956-12-09,11,24.335,DET,,PIT,W 45-7,8,20,2.50,2,0,0,,0,0,0,,0,0,,,,,,
24,1956,1956-12-16,12,24.342,DET,@,CHI,L 21-38,13,1,0.08,0,1,13,13.00,0,0,0,,0,0,,,,,,
25,1957,1957-09-29,1,25.263,DET,@,BAL,L 14-34,12,17,1.42,0,0,0,,0,0,0,,0,0,,,,,,
