ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1996,1996-11-10,10,24.142,TAM,,OAK,W 20-17,2,2,27,13.50,0,100.0%,13.50,4,79,19.75,0,4,24,6.00,0
2,1996,1996-11-17,11,24.149,TAM,@,SDG,W 25-17,0,0,0,,0,0.0%,,4,115,28.75,0,3,38,12.67,0
3,1996,1996-11-24,12,24.156,TAM,,NOR,W 13-7,0,0,0,,0,0.0%,,1,17,17.00,0,3,19,6.33,0
4,1996,1996-12-01,13,24.163,TAM,@,CAR,L 0-24,0,0,0,,0,0.0%,,3,53,17.67,0,3,14,4.67,0
5,1996,1996-12-22,16,24.184,TAM,,CHI,W 34-19,,0,0,,0,0.0%,,0,0,,0,0,0,,0
